Date,Open,High,Low,Close
2022-03-01,1.2679,1.2752,1.2653,1.274
2022-02-28,1.2763,1.2811,1.2659,1.2675
2022-02-25,1.2816,1.2822,1.2695,1.2705
2022-02-24,1.2734,1.2879,1.2727,1.281
2022-02-23,1.2771,1.2773,1.2681,1.2731
2022-02-22,1.275,1.2784,1.2718,1.2769
2022-02-21,1.2752,1.2763,1.2721,1.2751
2022-02-18,1.2704,1.2761,1.2673,1.2749
2022-02-17,1.2688,1.2736,1.2675,1.2702
2022-02-16,1.272,1.2728,1.2664,1.2681
2022-02-15,1.2729,1.2776,1.27,1.2715
2022-02-14,1.2744,1.2785,1.2719,1.2728
2022-02-11,1.2719,1.2756,1.2668,1.2736
2022-02-10,1.2671,1.2729,1.2636,1.2719
2022-02-09,1.2712,1.2717,1.2664,1.267
2022-02-08,1.2668,1.2723,1.2663,1.2711
2022-02-07,1.2763,1.2763,1.2657,1.2667
2022-02-04,1.2679,1.2789,1.2662,1.2764
2022-02-03,1.267,1.2717,1.2657,1.2676
2022-02-02,1.2688,1.2707,1.2649,1.2667
2022-02-01,1.2708,1.2728,1.2655,1.2686
2022-01-31,1.2763,1.2779,1.2681,1.2705
2022-01-28,1.2743,1.2798,1.2712,1.2761
2022-01-27,1.267,1.2749,1.2649,1.274
2022-01-26,1.2623,1.269,1.2559,1.2665
2022-01-25,1.2637,1.2671,1.2597,1.2627
2022-01-24,1.2583,1.2703,1.2554,1.2634
2022-01-21,1.2504,1.259,1.2497,1.2581
2022-01-20,1.2514,1.2518,1.2452,1.2502
2022-01-19,1.2515,1.2526,1.245,1.2513
2022-01-18,1.2516,1.2565,1.2485,1.2512
2022-01-17,1.2556,1.2559,1.2499,1.2519
2022-01-14,1.2521,1.2572,1.2468,1.2553
2022-01-13,1.251,1.2523,1.2451,1.252
2022-01-12,1.2575,1.2582,1.2493,1.2507
2022-01-11,1.2681,1.2684,1.2565,1.2574
2022-01-10,1.2649,1.2699,1.261,1.2678
2022-01-07,1.2733,1.2733,1.2632,1.2644
2022-01-06,1.2757,1.2815,1.2706,1.273
2022-01-05,1.2707,1.2767,1.2691,1.2752
2022-01-04,1.2746,1.2767,1.2666,1.2706
2022-01-03,1.2634,1.278,1.263,1.2741
2021-12-31,1.2741,1.2752,1.262,1.2634
2021-12-30,1.2796,1.2814,1.2734,1.274
2021-12-29,1.282,1.2837,1.2788,1.2788
2021-12-28,1.2787,1.2833,1.278,1.2822
2021-12-27,1.2812,1.2849,1.2779,1.2783
2021-12-24,1.2809,1.2836,1.2786,1.281
2021-12-23,1.2836,1.2855,1.2798,1.2809
2021-12-22,1.2917,1.2925,1.2832,1.2833
2021-12-21,1.2941,1.2949,1.2911,1.291
2021-12-20,1.2893,1.2965,1.2883,1.2941
2021-12-17,1.2773,1.2903,1.277,1.2886
