Date,Open,High,Low,Close
2025-02-17,105.029,105.029,104.961,104.961
2025-02-16,105.029,105.029,105.029,105.029
2025-02-14,106.05,106.05,105.055,105.5
2025-02-13,106.75,106.75,106.019,106.05
2025-02-12,106.85,106.85,106.295,106.75
2025-02-11,107.375,107.375,106.798,106.85
2025-02-10,106.686,107.375,106.686,107.375
2025-02-09,106.686,106.686,106.686,106.686
2025-02-07,106.75,107.05,106.188,107.05
2025-02-06,106.25,106.75,105.998,106.75
2025-02-05,107.125,107.125,105.912,106.25
2025-02-04,107.6,107.6,106.811,107.125
2025-02-03,107.944,107.944,107.503,107.6
2025-02-02,107.944,107.944,107.944,107.944
2025-01-31,106.15,106.23,106.139,106.23
2025-01-30,106.3,106.3,105.819,106.15
2025-01-29,106.15,106.3,105.707,106.3
2025-01-28,105.25,106.15,105.25,106.15
2025-01-27,104.959,105.38,9.785,105.25
2025-01-26,104.959,104.959,104.959,104.959
2025-01-24,106.25,106.25,105.188,105.188
2025-01-23,106.3,106.3,105.984,106.25
2025-01-22,107.625,107.625,105.607,106.3
2025-01-21,106.841,107.625,106.328,107.625
2025-01-20,106.996,107.146,106.841,106.841
2025-01-19,106.996,106.996,106.996,106.996
2025-01-17,107.41,107.625,106.997,107.625
2025-01-16,107.45,107.45,107.162,107.41
2025-01-15,107.4,107.45,107.026,107.45
2025-01-14,108.3,108.3,107.4,107.4
2025-01-13,107.507,108.3,107.375,108.3
2025-01-12,107.507,107.507,107.507,107.507
2025-01-10,107.375,107.375,107.027,107.027
2025-01-09,107.225,107.375,106.904,107.375
2025-01-08,106.7,107.225,106.506,107.225
2025-01-07,107.2,107.2,105.933,106.7
2025-01-06,106.903,107.85,105.902,107.2
2025-01-05,106.903,106.903,106.903,106.903
2025-01-03,107.85,107.85,107.102,107.102
2025-01-02,105.468,107.85,105.468,107.85
2025-01-01,105.763,105.763,105.468,105.468
2024-12-31,105.468,105.932,105.468,105.763
2024-12-30,105.755,105.763,105.468,105.468
2024-12-29,105.755,105.755,105.755,105.755
2024-12-27,105.907,105.907,105.636,105.636
2024-12-26,105.907,105.907,105.907,105.907
2024-12-25,106.009,106.009,105.907,105.907
2024-12-24,106.152,106.152,105.995,106.009
2024-12-23,105.684,106.152,105.658,106.152
2024-12-22,105.684,105.684,105.684,105.684
2024-12-20,106.008,106.397,106.008,106.08
2024-12-19,105.049,106.24,105.049,106.008
2024-12-18,105.098,105.098,104.99,105.049
2024-12-17,105.039,105.109,104.8,105.098
2024-12-16,104.939,105.039,104.826,105.039
2024-12-15,104.939,104.939,104.939,104.939
2024-12-13,105.063,105.38,105.063,105.078
2024-12-12,105.25,105.25,104.95,105.063
2024-12-11,105.25,105.25,104.668,104.862
2024-12-10,104.483,105.25,104.483,105.25
2024-12-09,104.265,104.675,104.265,104.483
2024-12-08,104.265,104.265,104.265,104.265
2024-12-06,104.375,104.375,104.177,104.177
2024-12-05,105.25,105.25,104.375,104.375
2024-12-04,105,105.25,104.954,105.25
2024-12-03,105.4,105.4,104.858,105
2024-12-02,104.196,105.4,104.196,105.4
2024-12-01,104.196,104.196,104.196,104.196
2024-11-29,104.502,104.95,104.418,104.95
2024-11-28,105.675,105.675,104.438,104.502
2024-11-27,105.675,105.675,104.789,104.789
2024-11-26,105.45,105.675,104.576,105.675
2024-11-25,105.826,106.3,105.238,105.45
2024-11-24,105.826,105.826,105.826,105.826
2024-11-22,105.625,106.3,105.297,106.3
2024-11-21,105.15,105.625,104.558,105.625
2024-11-20,104.625,105.15,104.023,105.15
2024-11-19,104.55,104.625,104.091,104.625
2024-11-18,104.561,104.85,104.117,104.55
2024-11-17,104.561,104.561,104.561,104.561
2024-11-15,104.9,104.9,104.317,104.85
2024-11-14,104.85,104.9,104.457,104.9
2024-11-13,104.35,104.85,103.724,104.85
2024-11-12,103.429,104.35,103.429,104.35
2024-11-11,102.826,103.429,102.826,103.429
2024-11-10,102.826,102.826,102.826,102.826
2024-11-08,105.062,105.062,102.22,102.5
2024-11-07,101.35,111.375,101.35,105.062
2024-11-06,101.3,102.968,101.3,101.35
2024-11-05,101.65,101.65,101.189,101.3
2024-11-04,101.333,101.95,101.1,101.65
2024-11-03,101.333,101.333,101.333,101.333
2024-11-01,101.95,101.95,101.348,101.474
2024-10-31,101.875,101.95,101.396,101.95
2024-10-30,102.475,102.475,101.86,101.875
2024-10-29,102.425,102.475,101.948,102.475
2024-10-28,102.084,102.425,101.856,102.425
2024-10-27,102.084,102.084,102.084,102.084
2024-10-25,102.4,102.4,101.868,102.084
2024-10-24,102.45,102.45,102.115,102.4
2024-10-23,102.45,102.45,102.09,102.289
2024-10-22,102.3,102.45,101.838,102.45
2024-10-21,101.379,102.3,101.379,102.3
2024-10-20,101.379,101.379,101.379,101.379
2024-10-18,102.25,102.25,101.684,101.875
2024-10-17,101.65,102.25,101.47,102.25
2024-10-16,101.575,101.68,101.234,101.65
2024-10-15,100.973,101.575,100.973,101.575
2024-10-14,100.703,100.973,100.703,100.973
2024-10-13,100.703,100.703,100.703,100.703
2024-10-11,101.4,101.4,100.812,101.29
2024-10-10,101.25,101.4,100.786,101.4
2024-10-09,100.95,101.25,100.472,101.25
2024-10-08,100.85,100.95,100.4,100.95
2024-10-07,100.401,101.05,100.401,100.85
2024-10-06,100.401,100.401,100.401,100.401
2024-10-04,99.935,101.05,99.924,101.05
