Date,Open,High,Low,Close
2017-01-25,18.9,18.9,18.9,18.9
2017-01-24,18.775,19.125,18.575,18.98
2017-01-23,18.725,19.49,18.65,19
2017-01-22,18.725,19.11,18.35,18.825
2017-01-21,18.65,18.65,18.65,18.65
2017-01-20,18.65,18.865,18.65,18.84
2017-01-19,18.9,19.15,18.625,18.9
2017-01-18,18.87,19.16,18.625,18.9
2017-01-17,18.85,19.51,18.575,18.7
2017-01-16,18.75,19.175,18.525,18.925
2017-01-15,18.8,19.15,18.075,18.94
2017-01-14,18.85,18.975,18.55,18.725
2017-01-13,18.775,18.92,18.62,18.92
2017-01-12,18.95,19.175,18.45,18.925
2017-01-11,18.525,19.175,18.05,18.7
2017-01-10,18.375,18.975,18.025,18.72
2017-01-09,18.125,18.925,17.98,18.375
2017-01-08,17.975,19.18,17.975,18.1
2017-01-07,18.21,18.225,18.21,18.225
2017-01-06,18.225,18.225,17.985,17.985
2017-01-05,18.075,19.025,17.875,18.075
2017-01-04,18.075,19.325,17.9,18.225
2017-01-03,18.125,19.475,17.925,18.225
2017-01-02,18.15,19.35,17.9,18.1
2017-01-01,18.025,18.025,18.025,18.025
2016-12-31,18.125,18.13,18.125,18.13
2016-12-30,18.5,18.5,18.125,18.13
2016-12-29,18.75,19.575,17.9,18.13
2016-12-28,19.195,19.6523,18.575,18.8
2016-12-27,19.005,19.6525,18.725,19.075
2016-12-26,18.625,19.62,18.575,19.1
2016-12-25,19.1,19.525,18.625,18.8
2016-12-24,19.15,19.37,18.75,19
2016-12-23,19.15,19.255,18.75,18.925
2016-12-22,18.95,19.815,18.6,19
2016-12-21,19.575,19.895,18.775,19.025
2016-12-20,18.95,19.825,18.7,19.635
2016-12-19,18.4,19.45,18.2,19.225
2016-12-18,18.45,18.82,18.05,18.675
2016-12-17,18.275,18.6,18.275,18.275
2016-12-16,18.705,18.755,18.25,18.275
2016-12-15,18.375,18.94,18.125,18.425
2016-12-14,18.375,18.97,18.075,18.5
2016-12-13,18.3,18.65,17.93,18.425
2016-12-12,18.15,18.55,17.65,18.2
2016-12-11,18.175,18.175,18.175,18.175
2016-12-10,18.28,18.35,18.04,18.05
2016-12-09,18.1,18.3038,17.99,18.075
2016-12-08,18.175,18.485,17.8,18.125
2016-12-07,18.075,18.425,17.55,18.125
2016-12-06,17.625,18.265,17.515,17.925
2016-12-05,17.625,18.25,17.575,17.95
2016-12-04,17.875,18.15,17.42,17.85
2016-12-03,17.825,17.95,17.65,17.7
2016-12-02,17.75,18.275,17.675,17.85
2016-12-01,17.775,18.325,17.575,17.85
2016-11-30,17.9,18.325,17.575,17.865
2016-11-29,17.725,18.35,17.5,18
2016-11-28,17.7,18.05,17.325,17.75
2016-11-27,17.7,17.975,17.25,17.625
2016-11-26,17.575,17.85,17.525,17.6
2016-11-25,17.65,17.85,17.45,17.7
2016-11-24,17.585,18.225,17.34,17.625
2016-11-23,17.4,17.855,17.225,17.475
2016-11-22,17.505,17.93,17.245,17.65
2016-11-21,17.49,17.97,17.05,17.4
2016-11-20,16.2,17.775,15.675,17.325
2016-11-19,16.125,16.525,15.765,16.2
2016-11-18,16.025,16.5,15.375,16.25
2016-11-17,15.6,16.725,15.325,16.075
2016-11-16,15.425,16.605,15.3,15.75
2016-11-15,15.45,16.1,14.925,15.45
2016-11-14,15.7,16.805,15.125,15.5
2016-11-13,16.375,17.1,15.3,15.63
2016-11-12,16.5,17.15,15.75,16
2016-11-11,16.525,16.825,16.065,16.525
2016-11-10,17.025,18.625,16.125,16.875
2016-11-09,17.725,18.025,16.85,17.025
2016-11-08,17.35,18.175,16.6,18
2016-11-07,16.15,17.5,15.8,16.8
2016-11-06,15.65,16.3,14.29,16.15
2016-11-05,15.5,15.825,15.15,15.55
2016-11-04,15.25,16.005,15.0725,15.5
2016-11-03,8.88,16,8.875,15.25
2016-11-02,8.88,8.88,8.8775,8.88
2016-11-01,8.88,8.88,8.88,8.88
2016-10-31,8.8799,8.88,8.8799,8.88
2016-10-30,8.8799,8.88,8.8799,8.88
2016-10-29,8.88,8.88,8.88,8.88
2016-10-28,8.88,8.88,8.88,8.88
2016-10-27,8.875,8.88,8.875,8.88
2016-10-26,8.88,8.88,8.8799,8.88
2016-10-25,8.88,8.88,8.8799,8.88
2016-10-24,8.88,8.88,8.8799,8.88
2016-10-23,8.88,8.88,8.8799,8.88
2016-10-22,8.88,8.88,8.88,8.88
2016-10-21,8.88,8.88,8.88,8.88
2016-10-20,8.88,8.88,8.8799,8.88
2016-10-19,8.88,8.88,8.8799,8.88
2016-10-18,8.88,8.88,8.875,8.88
2016-10-17,8.88,8.88,8.875,8.88
2016-10-16,8.88,8.88,8.8799,8.88
2016-10-15,8.88,8.88,8.88,8.88
2016-10-14,8.88,8.88,8.88,8.88
2016-10-13,8.88,8.88,8.8799,8.88
2016-10-12,8.88,8.88,8.88,8.88
2016-10-11,8.88,8.88,8.8799,8.88
2016-10-10,8.88,8.88,8.88,8.88
2016-10-09,8.88,8.88,8.88,8.88
2016-10-08,8.88,8.88,8.88,8.88
2016-10-07,8.88,8.88,8.88,8.88
2016-10-06,8.88,8.88,8.88,8.88
2016-10-05,8.88,8.88,8.8799,8.88
2016-10-04,8.88,8.88,8.8799,8.88
2016-10-03,8.88,8.88,8.8799,8.88
2016-10-02,8.88,8.88,8.88,8.88
2016-10-01,8.88,8.88,8.88,8.88
2016-09-30,8.88,8.88,8.88,8.88
2016-09-29,8.88,8.88,8.8799,8.88
2016-09-28,8.88,8.88,8.8799,8.88
2016-09-27,8.88,8.88,8.8799,8.88
2016-09-26,8.88,8.88,8.8799,8.88
2016-09-25,8.88,8.88,8.8799,8.88
2016-09-24,8.88,8.88,8.88,8.88
2016-09-23,8.88,8.88,8.88,8.88
2016-09-22,8.88,8.88,8.8799,8.88
2016-09-21,8.88,8.88,8.8799,8.88
2016-09-20,8.88,8.88,8.8799,8.88
2016-09-19,8.88,8.88,8.8799,8.88
2016-09-18,8.88,8.88,8.8799,8.88
2016-09-17,8.88,8.88,8.88,8.88
2016-09-16,8.88,8.88,8.88,8.88
2016-09-15,8.88,8.88,8.88,8.88
2016-09-14,8.88,8.88,8.8799,8.88
2016-09-13,8.88,8.88,8.88,8.88
2016-09-12,8.88,8.88,8.88,8.88
2016-09-11,8.88,8.88,8.88,8.88
2016-09-10,8.88,8.88,8.88,8.88
2016-09-09,8.88,8.88,8.88,8.88
2016-09-08,8.88,8.88,8.875,8.88
2016-09-07,8.88,8.88,8.875,8.88
2016-09-06,8.88,8.88,8.8799,8.88
2016-09-05,8.88,8.88,8.8799,8.88
2016-09-04,8.88,8.88,8.8799,8.88
2016-09-03,8.88,8.88,8.88,8.88
2016-09-02,8.88,8.88,8.88,8.88
2016-09-01,8.88,8.88,8.8799,8.88
2016-08-31,8.88,8.88,8.8799,8.88
2016-08-30,8.88,8.88,8.8788,8.88
2016-08-29,8.88,8.88,8.8799,8.88
2016-08-28,8.88,8.88,8.8799,8.88
2016-08-27,8.88,8.88,8.88,8.88
2016-08-26,8.88,8.88,8.88,8.88
2016-08-25,8.88,8.88,8.8799,8.88
2016-08-24,8.88,8.88,8.875,8.88
2016-08-23,8.88,8.88,8.88,8.88
2016-08-22,8.875,8.88,8.875,8.88
2016-08-21,8.875,8.88,8.875,8.88
2016-08-20,8.88,8.88,8.88,8.88
2016-08-19,8.88,8.88,8.88,8.88
2016-08-18,8.88,8.88,8.8799,8.88
2016-08-17,8.88,8.88,8.8799,8.88
2016-08-16,8.88,8.88,8.8799,8.88
2016-08-15,8.88,8.88,8.8799,8.88
2016-08-14,8.88,8.88,8.88,8.88
2016-08-13,8.88,8.88,8.88,8.88
2016-08-12,8.88,8.88,8.88,8.88
2016-08-11,8.88,8.88,8.8799,8.88
2016-08-10,8.88,8.88,8.8799,8.88
2016-08-09,8.88,8.88,8.8788,8.88
2016-08-08,8.88,8.88,8.8799,8.88
2016-08-07,8.88,8.88,8.88,8.88
2016-08-06,8.88,8.88,8.88,8.88
2016-08-05,8.88,8.88,8.88,8.88
2016-08-04,8.88,8.88,8.8799,8.88
2016-08-03,8.88,8.88,8.8799,8.88
2016-08-02,8.88,8.88,8.88,8.88
2016-08-01,8.88,8.88,8.8788,8.88
2016-07-31,8.88,8.88,8.88,8.88
2016-07-30,8.88,8.88,8.88,8.88
2016-07-29,8.88,8.88,8.88,8.88
2016-07-28,8.88,8.88,8.88,8.88
2016-07-27,8.88,8.88,8.88,8.88
2016-07-26,8.88,8.88,8.8799,8.88
2016-07-25,8.88,8.88,8.88,8.88
2016-07-24,8.88,8.88,8.8799,8.88
2016-07-23,8.88,8.88,8.88,8.88
2016-07-22,8.88,8.88,8.88,8.88
2016-07-21,8.88,8.88,8.88,8.88
2016-07-20,8.88,8.88,8.8799,8.88
2016-07-19,8.8799,8.88,8.8799,8.88
2016-07-18,8.88,8.88,8.8799,8.88
2016-07-17,8.88,8.88,8.8799,8.88
2016-07-16,8.88,8.88,8.88,8.88
2016-07-15,8.88,8.88,8.88,8.88
2016-07-14,8.88,8.88,8.88,8.88
2016-07-13,8.88,8.88,8.8799,8.88
2016-07-12,8.8799,8.88,8.8799,8.88
2016-07-11,8.88,8.88,8.8799,8.88
2016-07-10,8.88,8.88,8.8799,8.88
2016-07-09,8.88,8.88,8.88,8.88
2016-07-08,8.88,8.88,8.88,8.88
2016-07-07,8.88,8.88,8.88,8.88
2016-07-06,8.88,8.88,8.88,8.88
2016-07-05,8.88,8.88,8.88,8.88
2016-07-04,8.88,8.88,8.8799,8.88
2016-07-03,8.88,8.88,8.8799,8.88
2016-07-02,8.88,8.88,8.88,8.88
2016-07-01,8.88,8.88,8.88,8.88
2016-06-30,8.88,8.88,8.88,8.88
2016-06-29,8.88,8.88,8.88,8.88
2016-06-28,8.88,8.88,8.8799,8.88
2016-06-27,8.88,8.88,8.8799,8.88
2016-06-26,8.8799,8.88,8.8799,8.88
2016-06-25,8.88,8.88,8.88,8.88
2016-06-24,8.88,8.88,8.88,8.88
2016-06-23,8.8799,8.88,8.8799,8.88
2016-06-22,8.8799,8.88,8.8799,8.88
2016-06-21,8.88,8.88,8.8799,8.88
2016-06-20,8.88,8.88,8.8799,8.88
2016-06-19,8.8799,8.88,8.8799,8.88
2016-06-18,8.88,8.88,8.88,8.88
2016-06-17,8.88,8.88,8.88,8.88
2016-06-16,8.8799,8.88,8.8799,8.88
2016-06-15,8.88,8.88,8.8799,8.88
2016-06-14,8.88,8.88,8.8799,8.88
2016-06-13,8.88,8.88,8.8799,8.88
2016-06-12,8.88,8.88,8.8799,8.88
2016-06-11,8.88,8.88,8.88,8.88
2016-06-10,8.88,8.88,8.88,8.88
2016-06-09,8.88,8.88,8.8799,8.88
2016-06-08,8.88,8.88,8.8799,8.88
2016-06-07,8.88,8.88,8.8799,8.88
2016-06-06,8.8799,8.88,8.8799,8.88
2016-06-05,8.88,8.88,8.875,8.88
2016-06-04,8.88,8.88,8.88,8.88
2016-06-03,8.88,8.88,8.88,8.88
2016-06-02,8.88,8.88,8.8799,8.88
2016-06-01,8.88,8.88,8.8799,8.88
2016-05-31,8.88,8.88,8.8799,8.88
2016-05-30,8.88,8.88,8.8799,8.8799
2016-05-29,8.88,8.88,8.88,8.88
2016-05-28,8.88,8.88,8.88,8.88
2016-05-27,8.88,8.88,8.88,8.88
2016-05-26,8.88,8.88,8.8799,8.88
2016-05-25,8.88,8.88,8.8799,8.88
2016-05-24,8.88,8.88,8.8799,8.88
2016-05-23,8.88,8.88,8.8799,8.88
2016-05-22,8.875,8.88,8.875,8.88
2016-05-21,8.88,8.88,8.88,8.88
2016-05-20,8.88,8.88,8.88,8.88
2016-05-19,8.88,8.88,8.8799,8.88
2016-05-18,8.88,8.88,8.875,8.88
2016-05-17,8.88,8.88,8.8799,8.88
2016-05-16,8.88,8.88,8.875,8.88
2016-05-15,8.88,8.88,8.88,8.88
2016-05-14,8.88,8.88,8.88,8.88
2016-05-13,8.88,8.88,8.88,8.88
2016-05-12,8.88,8.88,8.8799,8.88
2016-05-11,8.88,8.88,8.8799,8.88
2016-05-10,8.88,8.88,8.8799,8.88
2016-05-09,8.88,8.88,8.8799,8.88
2016-05-08,8.88,8.88,8.8799,8.88
2016-05-07,8.88,8.88,8.88,8.88
2016-05-06,8.88,8.88,8.88,8.88
2016-05-05,8.88,8.88,8.8799,8.88
2016-05-04,8.88,8.88,8.8799,8.88
2016-05-03,8.88,8.88,8.8799,8.88
2016-05-02,8.88,8.88,8.88,8.88
2016-05-01,8.88,8.88,8.88,8.88
2016-04-30,8.88,8.88,8.88,8.88
2016-04-29,8.88,8.88,8.88,8.88
2016-04-28,8.88,8.88,8.8799,8.88
2016-04-27,8.88,8.88,8.8799,8.88
2016-04-26,8.88,8.88,8.8799,8.88
2016-04-25,8.88,8.88,8.88,8.88
2016-04-24,8.88,8.88,8.875,8.88
2016-04-23,8.88,8.88,8.88,8.88
2016-04-22,8.88,8.88,8.88,8.88
2016-04-21,8.88,8.88,8.8799,8.88
2016-04-20,8.88,8.88,8.8799,8.88
2016-04-19,8.88,8.88,8.8799,8.88
2016-04-18,8.88,8.88,8.8799,8.88
2016-04-17,8.88,8.88,8.8799,8.88
2016-04-16,8.88,8.88,8.88,8.88
2016-04-15,8.88,8.88,8.88,8.88
2016-04-14,8.88,8.88,8.8799,8.88
2016-04-13,8.88,8.88,8.8799,8.88
2016-04-12,8.88,8.88,8.8799,8.88
2016-04-11,8.88,8.88,8.8799,8.88
2016-04-10,8.88,8.88,8.8799,8.88
2016-04-09,8.88,8.88,8.88,8.88
2016-04-08,8.88,8.88,8.88,8.88
2016-04-07,8.88,8.88,8.8799,8.88
2016-04-06,8.8799,8.88,8.8799,8.88
2016-04-05,8.88,8.95,8.8799,8.88
2016-04-04,8.88,8.88,8.8799,8.8799
2016-04-03,8.88,8.88,8.8799,8.88
2016-04-02,8.88,8.88,8.88,8.88
2016-04-01,8.88,8.88,8.88,8.88
2016-03-31,8.88,8.88,8.8799,8.88
2016-03-30,8.88,8.88,8.8799,8.88
2016-03-29,8.88,8.88,8.8799,8.88
2016-03-28,8.95,8.95,8.8799,8.88
2016-03-27,8.88,8.88,8.875,8.88
2016-03-26,8.88,8.88,8.88,8.88
2016-03-25,8.88,8.88,8.88,8.88
2016-03-24,8.88,8.95,8.875,8.88
2016-03-23,8.88,8.88,8.8799,8.88
2016-03-22,8.8799,8.88,8.875,8.88
2016-03-21,8.88,8.88,8.8799,8.8799
2016-03-20,8.88,8.88,8.8799,8.88
2016-03-19,8.88,8.88,8.88,8.88
2016-03-18,8.88,8.88,8.88,8.88
2016-03-17,8.88,8.8899,8.8775,8.88
2016-03-16,8.95,8.95,8.88,8.88
2016-03-15,8.95,8.9501,8.9499,8.95
2016-03-14,7.83,8.9501,7.83,8.95
2016-03-13,7.8301,7.8301,7.83,7.8301
2016-03-12,7.8301,7.8301,7.8301,7.8301
