Date,Open,High,Low,Close
2022-03-02,0.8987,0.9044,0.8971,0.8991
2022-03-01,0.8915,0.9018,0.8902,0.8988
2022-02-28,0.8946,0.8991,0.8891,0.8912
2022-02-25,0.8935,0.8956,0.8869,0.8874
2022-02-24,0.884,0.9004,0.8839,0.8935
2022-02-23,0.8829,0.8849,0.8803,0.8841
2022-02-22,0.884,0.886,0.8797,0.8829
2022-02-21,0.8838,0.8845,0.8779,0.8841
2022-02-18,0.8802,0.8839,0.8789,0.8832
2022-02-17,0.8792,0.8832,0.8782,0.8802
2022-02-16,0.8803,0.8815,0.8775,0.8792
2022-02-15,0.8845,0.8849,0.8796,0.8805
2022-02-14,0.8815,0.8866,0.8796,0.8845
2022-02-11,0.8751,0.8827,0.8748,0.881
2022-02-10,0.875,0.8792,0.8699,0.8751
2022-02-09,0.8759,0.8771,0.8735,0.8754
2022-02-08,0.8739,0.8776,0.8734,0.8761
2022-02-07,0.872,0.8761,0.872,0.874
2022-02-04,0.8742,0.8764,0.8708,0.8736
2022-02-03,0.8846,0.8876,0.8732,0.8742
2022-02-02,0.8874,0.8876,0.8826,0.8847
2022-02-01,0.8902,0.8912,0.8866,0.8873
2022-01-31,0.8972,0.8978,0.889,0.8901
2022-01-28,0.8972,0.8993,0.8949,0.8973
2022-01-27,0.8897,0.8984,0.8893,0.8973
2022-01-26,0.8849,0.8901,0.8841,0.8898
2022-01-25,0.8831,0.8879,0.8826,0.8849
2022-01-24,0.8816,0.8858,0.8814,0.883
2022-01-21,0.884,0.8849,0.8803,0.8817
2022-01-20,0.8817,0.8848,0.8796,0.8841
2022-01-19,0.8834,0.8836,0.8805,0.8817
2022-01-18,0.8766,0.8839,0.8755,0.8829
2022-01-17,0.8762,0.8779,0.8745,0.8765
2022-01-14,0.8729,0.8774,0.8708,0.876
2022-01-13,0.8739,0.8745,0.8709,0.873
2022-01-12,0.8799,0.8808,0.8731,0.8739
2022-01-11,0.883,0.884,0.8791,0.8798
2022-01-10,0.8809,0.8862,0.8802,0.883
2022-01-07,0.8855,0.8858,0.8799,0.8802
2022-01-06,0.8839,0.8862,0.8824,0.8855
2022-01-05,0.886,0.8868,0.8813,0.8838
2022-01-04,0.8852,0.8872,0.8831,0.886
2022-01-03,0.8799,0.8866,0.8787,0.8853
2021-12-31,0.8833,0.8848,0.8782,0.8796
2021-12-30,0.8811,0.8851,0.8803,0.8831
2021-12-29,0.8842,0.8871,0.8796,0.8811
2021-12-28,0.8829,0.8858,0.8823,0.8841
2021-12-27,0.8836,0.8848,0.8822,0.8828
2021-12-24,0.8827,0.8847,0.8815,0.8835
2021-12-23,0.883,0.8858,0.8817,0.8827
2021-12-22,0.8866,0.8878,0.8816,0.883
2021-12-21,0.8868,0.8881,0.8847,0.8862
2021-12-20,0.8896,0.8902,0.8846,0.8868
2021-12-17,0.8826,0.8901,0.8811,0.8897
2021-12-16,0.8861,0.8865,0.8802,0.8827
2021-12-15,0.8882,0.8912,0.885,0.886
2021-12-14,0.8862,0.8887,0.8829,0.8882
2021-12-13,0.8837,0.8882,0.8834,0.8862
2021-12-10,0.8855,0.8878,0.883,0.884
2021-12-09,0.8817,0.8867,0.8813,0.8855
2021-12-08,0.8876,0.8878,0.8806,0.8817
2021-12-07,0.886,0.8907,0.8849,0.8875
2021-12-06,0.8834,0.8876,0.8834,0.886
2021-12-03,0.8849,0.8877,0.8823,0.8838
2021-12-02,0.8834,0.8854,0.8812,0.8849
2021-12-01,0.882,0.8848,0.8803,0.8834
2021-11-30,0.8856,0.8901,0.8785,0.882
2021-11-29,0.8848,0.8883,0.8837,0.8857
2021-11-26,0.8922,0.8925,0.8825,0.8835
2021-11-25,0.8929,0.8929,0.8904,0.8923
2021-11-24,0.8891,0.894,0.8884,0.8931
2021-11-23,0.89,0.8908,0.8869,0.8891
2021-11-22,0.8856,0.8905,0.8856,0.89
2021-11-19,0.8795,0.8889,0.8792,0.8858
2021-11-18,0.8835,0.8839,0.8791,0.8795
2021-11-17,0.8834,0.8878,0.8824,0.8835
2021-11-16,0.8797,0.8843,0.8782,0.8834
2021-11-15,0.8733,0.8806,0.8723,0.8796
2021-11-12,0.8731,0.8747,0.8724,0.8733
2021-11-11,0.871,0.8739,0.8704,0.8733
2021-11-10,0.8626,0.8714,0.8623,0.8711
2021-11-09,0.8629,0.8644,0.8614,0.8626
2021-11-08,0.8655,0.8658,0.8624,0.8629
2021-11-05,0.8656,0.8686,0.864,0.8645
2021-11-04,0.8612,0.8675,0.8608,0.8655
2021-11-03,0.8637,0.865,0.8609,0.8612
2021-11-02,0.8615,0.864,0.861,0.8637
2021-11-01,0.8652,0.8662,0.8614,0.8617
2021-10-29,0.8562,0.867,0.8554,0.8649
2021-10-28,0.8617,0.8635,0.8552,0.8561
2021-10-27,0.8623,0.8632,0.8601,0.8617
2021-10-26,0.8616,0.8632,0.8601,0.8625
2021-10-25,0.8589,0.8628,0.8572,0.8615
2021-10-22,0.8604,0.8606,0.858,0.8585
2021-10-21,0.8584,0.8606,0.8571,0.8604
2021-10-20,0.8596,0.8609,0.8577,0.8583
2021-10-19,0.8613,0.8615,0.8569,0.8596
2021-10-18,0.8623,0.8643,0.8603,0.8613
2021-10-15,0.8622,0.863,0.8606,0.8621
2021-10-14,0.8626,0.8633,0.8602,0.8624
2021-10-13,0.8675,0.8676,0.8622,0.8626
2021-10-12,0.8655,0.8678,0.8643,0.8674
2021-10-11,0.8638,0.8659,0.863,0.8657
2021-10-08,0.8658,0.8665,0.8632,0.8644
2021-10-07,0.8654,0.866,0.8641,0.8657
2021-10-06,0.8619,0.8674,0.8617,0.8653
2021-10-05,0.8604,0.8636,0.8603,0.8623
2021-10-04,0.8626,0.8631,0.8591,0.8605
2021-10-01,0.8635,0.8649,0.8615,0.8624
2021-09-30,0.8624,0.8649,0.8612,0.8634
2021-09-29,0.856,0.8629,0.8554,0.8623
2021-09-28,0.855,0.8571,0.8544,0.856
2021-09-27,0.853,0.8558,0.8527,0.8551
2021-09-24,0.852,0.8547,0.8512,0.8536
2021-09-23,0.8558,0.856,0.851,0.852
2021-09-22,0.8529,0.8559,0.8506,0.8556
2021-09-21,0.8529,0.8537,0.851,0.8529
2021-09-20,0.8524,0.8547,0.852,0.8528
2021-09-17,0.8502,0.853,0.8482,0.8528
2021-09-16,0.8464,0.851,0.8459,0.85
2021-09-15,0.8471,0.8476,0.8451,0.8463
2021-09-14,0.8466,0.8475,0.8441,0.8472
2021-09-13,0.8465,0.8497,0.8462,0.8468
2021-09-10,0.8456,0.8469,0.8438,0.8464
2021-09-09,0.8463,0.8471,0.8444,0.8456
2021-09-08,0.8446,0.8474,0.8438,0.8464
2021-09-07,0.8425,0.8448,0.8414,0.8446
2021-09-06,0.8419,0.8436,0.8412,0.8425
2021-09-03,0.8421,0.8428,0.8397,0.8416
2021-09-02,0.8446,0.8451,0.842,0.8421
2021-09-01,0.8468,0.848,0.8434,0.8447
2021-08-31,0.8477,0.8479,0.8441,0.8469
2021-08-30,0.848,0.8487,0.8467,0.8477
2021-08-27,0.851,0.8522,0.8473,0.8479
2021-08-26,0.8495,0.8514,0.8489,0.851
2021-08-25,0.8508,0.8529,0.8492,0.8495
2021-08-24,0.8514,0.8528,0.85,0.8507
2021-08-23,0.8552,0.8553,0.851,0.8515
2021-08-20,0.8566,0.8574,0.8543,0.8549
2021-08-19,0.8539,0.8572,0.8535,0.8565
2021-08-18,0.854,0.8552,0.8516,0.8539
2021-08-17,0.8492,0.8542,0.8485,0.854
2021-08-16,0.8479,0.8499,0.8474,0.849
2021-08-13,0.8527,0.8527,0.8471,0.848
2021-08-12,0.852,0.853,0.8512,0.8525
2021-08-11,0.8533,0.8543,0.8508,0.8519
2021-08-10,0.852,0.854,0.8515,0.8533
2021-08-09,0.8502,0.8522,0.8497,0.8519
2021-08-06,0.8451,0.8508,0.8449,0.8502
2021-08-05,0.8449,0.8455,0.8433,0.8451
2021-08-04,0.8429,0.8451,0.8403,0.8449
2021-08-03,0.8426,0.8437,0.8408,0.8431
2021-08-02,0.8429,0.8433,0.8405,0.8426
2021-07-30,0.8412,0.8438,0.8397,0.8424
2021-07-29,0.8443,0.8446,0.8408,0.8412
2021-07-28,0.8463,0.8494,0.8439,0.8444
2021-07-27,0.8472,0.8497,0.8445,0.8464
2021-07-26,0.8491,0.8502,0.8462,0.8474
2021-07-23,0.8497,0.8508,0.8483,0.8495
2021-07-22,0.848,0.8506,0.8453,0.8496
2021-07-21,0.8488,0.851,0.8471,0.8479
2021-07-20,0.8474,0.8507,0.8471,0.8489
2021-07-19,0.8469,0.8501,0.8457,0.8475
2021-07-16,0.8465,0.8481,0.8458,0.847
2021-07-15,0.8449,0.8478,0.8438,0.8465
