Date,Open,High,Low,Close
2007-07-01,9307,9307,9307,9307
2007-06-01,9267,9267,9267,9267
2007-05-01,9276,9276,9276,9276
2007-04-01,9270,9270,9270,9270
2007-03-01,9263,9263,9263,9263
2007-02-01,9295,9295,9295,9295
2007-01-01,9210,9210,9210,9210
2006-12-01,9223,9223,9223,9223
2006-11-01,9214,9214,9214,9214
2006-10-01,9243,9243,9243,9243
2006-09-01,9230,9230,9230,9230
2006-08-01,9200,9200,9200,9200
2006-07-01,9225,9225,9225,9225
2006-06-01,9160,9160,9160,9160
2006-05-01,9153,9153,9153,9153
2006-04-01,9140,9140,9140,9140
2006-03-01,9163,9163,9163,9163
2006-02-01,9140,9140,9140,9140
2006-01-01,9095,9095,9095,9095
2005-12-01,9100,9100,9100,9100
2005-11-01,9100,9100,9100,9100
2005-10-01,9075,9075,9075,9075
2005-09-01,9062,9062,9062,9062
2005-08-01,9050,9050,9050,9050
2005-07-01,9040,9040,9040,9040
2005-06-01,9038,9038,9038,9038
2005-05-01,9025,9025,9025,9025
2005-04-01,9027,9027,9027,9027
2005-03-01,9025,9025,9025,9025
2005-02-01,9018,9018,9018,9018
2005-01-01,9000,9000,9000,9000
2004-12-01,9000,9000,9000,9000
2004-11-01,9020,9020,9020,9020
2004-10-01,9000,9000,9000,9000
2004-09-01,9010,9010,9010,9010
2004-08-01,9012,9012,9012,9012
2004-07-01,9032,9032,9032,9032
2004-06-01,9000,9000,9000,9000
2004-05-01,9008,9008,9008,9008
2004-04-01,8850,8850,8850,8850
2004-03-01,8813,8813,8813,8813
2004-02-01,8800,8800,8800,8800
2004-01-01,8675,8675,8675,8675
2003-12-01,8650,8650,8650,8650
2003-11-01,8800,8800,8800,8800
2003-10-01,8538,8538,8538,8538
2003-09-01,8550,8550,8550,8550
2003-08-01,8550,8550,8550,8550
2003-07-01,8450,8450,8450,8450
2003-06-01,8680,8680,8680,8680
2003-05-01,8675,8675,8675,8675
2003-04-01,8635,8635,8635,8635
2003-03-01,8375,8375,8375,8375
2003-02-01,8300,8300,8300,8300
2003-01-01,8375,8375,8375,8375
