Date,Open,High,Low,Close
2022-03-02,6.85,6.975,6.65,6.875
2022-03-01,6.785,6.845,6.625,6.65
2022-02-28,6.825,6.835,6.62,6.725
2022-02-25,6.77,6.8525,6.645,6.74
2022-02-24,6.7,6.8,6.5213,6.7
2022-02-23,6.65,6.785,6.54,6.7
2022-02-22,6.55,6.775,6.5,6.6
2022-02-21,6.59,6.775,6.425,6.6
2022-02-18,6.56,6.675,6.35,6.55
2022-02-17,6.55,6.56,6.32,6.55
2022-02-16,6.495,6.605,6.4,6.5
2022-02-15,6.53,6.59,6.45,6.59
2022-02-14,6.455,6.535,6.35,6.535
2022-02-11,6.4,6.525,6.275,6.4
2022-02-10,6.4,6.51,6.2,6.41
2022-02-09,6.375,6.495,6.245,6.4
2022-02-08,6.08,6.45,6.05,6.4
2022-02-07,6.41,6.475,6.195,6.275
2022-02-04,6.35,6.475,6.175,6.4
2022-02-03,6.295,6.45,6.2,6.35
2022-02-02,6.425,6.515,6.175,6.375
2022-02-01,6.2,6.4,6.15,6.275
2022-01-31,6.375,6.375,5.9975,6.275
2022-01-28,6.275,6.3825,6.125,6.3
2022-01-27,6.275,6.35,6.15,6.295
2022-01-26,6.275,6.3863,6.105,6.24
2022-01-25,6.27,6.33,6.0375,6.245
2022-01-24,6.33,6.33,6.0375,6.245
2022-01-21,6.24,6.33,6.115,6.245
2022-01-20,6.2675,6.35,6.12,6.265
2022-01-19,6.24,6.355,6.09,6.27
2022-01-18,6.1925,6.325,6.1125,6.24
2022-01-17,6.23,6.3413,6.12,6.2675
2022-01-14,6.22,6.3,6.11,6.24
2022-01-13,6.175,6.3,6.08,6.175
2022-01-12,6.175,6.3,6.105,6.175
2022-01-11,6.175,6.3,6.09,6.165
2022-01-10,6.205,6.3,6.14,6.165
2022-01-07,6.1845,6.1845,6.1845,6.1845
2022-01-06,6.28,6.28,6.105,6.1845
2022-01-05,6.29,6.29,6.135,6.175
2022-01-04,6.08,6.28,6.08,6.1843
2022-01-03,6.15,6.15,6.15,6.15
2021-12-31,6.1843,6.1843,6.095,6.15
2021-12-30,6.165,6.28,6.095,6.15
2021-12-29,6.175,6.28,6.095,6.15
2021-12-28,6.15,6.15,6.15,6.15
2021-12-27,6.15,6.15,6.15,6.15
2021-12-24,6.22,6.28,6.095,6.15
2021-12-23,6.095,6.28,6.095,6.12
2021-12-22,6.175,6.28,6.095,6.175
2021-12-21,6.175,6.28,6.09,6.175
2021-12-20,6.155,6.28,6.095,6.175
2021-12-17,6.225,6.275,6.0875,6.175
2021-12-16,6.175,6.275,6.1,6.175
2021-12-15,6.0875,6.275,6.0725,6.115
2021-12-14,6.13,6.27,6.075,6.115
2021-12-13,6.0875,6.27,6.0375,6.13
2021-12-10,6.26,6.26,6.085,6.13
2021-12-09,6.175,6.25,6.07,6.1275
2021-12-08,6.09,6.24,6.0725,6.125
2021-12-07,6.09,6.23,6.075,6.09
2021-12-06,6.22,6.23,6.075,6.175
2021-12-03,6.165,6.165,6.0875,6.165
2021-12-02,6.22,6.22,6.08,6.1
2021-12-01,6.15,6.21,6.09,6.1375
2021-11-30,6.145,6.175,6.0875,6.135
2021-11-29,6.09,6.21,6.0725,6.1375
2021-11-26,6.0875,6.19,6.0725,6.09
2021-11-25,6.1275,6.2,6.075,6.1275
2021-11-24,6.15,6.18,6.055,6.1275
2021-11-23,6.135,6.18,6.0125,6.15
2021-11-22,6.06,6.17,6.03,6.14
2021-11-19,6.15,6.19,6.03,6.15
2021-11-18,6.15,6.175,6.045,6.15
2021-11-17,6.15,6.175,6.02,6.15
2021-11-16,6.15,6.175,6.035,6.15
2021-11-15,6.06,6.18,6.025,6.15
2021-11-12,6.125,6.17,6.025,6.125
2021-11-11,6.125,6.17,6.03,6.125
2021-11-10,6.125,6.17,6.03,6.125
2021-11-09,6.11,6.2,6.0063,6.125
2021-11-08,6.06,6.1175,6.005,6.11
2021-11-05,6.1,6.112,6.005,6.1
2021-11-04,6.1,6.225,6.005,6.1
2021-11-03,6.1,6.11,6.0225,6.11
2021-11-02,6.11,6.175,5.96,6.11
2021-11-01,6.1,6.1267,6.005,6.11
2021-10-29,6.06,6.1275,5.97,6.11
2021-10-28,6.075,6.1,6.0275,6.075
2021-10-27,6.0688,6.25,5.97,6.075
2021-10-26,6.1,6.195,6.0275,6.11
2021-10-25,6.1,6.26,5.975,6.1
