Date,Open,High,Low,Close
2020-09-14,52.7,52.75,51.5,52.4
2020-09-11,52.4,52.775,51.5,52.4
2020-09-10,52.4,52.775,51.75,52.4
2020-09-09,52.4,52.75,51.5,52.4
2020-09-08,52.4,52.75,51.5,52.4
2020-09-07,52.8,52.8,51.5,52.4
2020-09-04,52.4,52.8,51.5,52.4
2020-09-03,52.4,52.75,52.3,52.4
2020-09-02,52.4,52.75,52.3,52.4
2020-09-01,52.4,52.8,52.3,52.4
2020-08-31,52.7,52.81,51.925,52.4
2020-08-28,52.4,52.75,52.3,52.4
2020-08-27,52.4,52.75,52.3,52.4
2020-08-26,52.7,52.8,52.35,52.4
2020-08-25,52.4,52.75,51.925,52.4
2020-08-24,52.7,52.75,51.25,52.4
2020-08-21,52.4,52.8,51.975,52.4
2020-08-20,52.6,52.8,51.25,52.4
2020-08-19,52.7,52.75,51.25,52.4
2020-08-18,52.4,52.8,51.75,52.7
2020-08-17,52.7,52.8,51.75,52.4
2020-08-14,52.4,52.75,51.925,52.4
2020-08-13,52.4,52.75,51.725,52.4
2020-08-12,52.4,52.75,51.75,52.4
2020-08-11,52.4,52.65,51.7,52.4
2020-08-10,52.6,52.75,51.75,52.4
2020-08-07,52.4,52.8,51.85,52.4
2020-08-06,52.375,52.85,51.775,52.4
2020-08-05,52.5,52.625,52.225,52.375
2020-08-04,52.375,52.625,52.225,52.375
2020-08-03,52.6,52.8,51.74,52.375
2020-07-31,52.35,52.7,52.255,52.35
2020-07-30,52.45,52.8,51.75,52.35
2020-07-29,52.45,52.8,51.75,52.635
2020-07-28,52.45,52.75,51.75,52.45
2020-07-27,52.68,52.85,51.8,52.45
2020-07-24,52.45,52.85,51.8,52.45
2020-07-23,52.45,52.85,51.8,52.45
2020-07-22,52.45,52.9,51.8,52.45
2020-07-21,52.45,52.85,51.75,52.45
2020-07-20,52.3,52.75,51.65,52.45
2020-07-17,52.45,52.65,51.65,52.45
2020-07-16,52.45,52.7,51.7,52.45
2020-07-15,52.4,52.7,51.75,52.45
2020-07-14,52.4,52.9,51.7,52.4
2020-07-13,52.5,52.9,51.75,52.4
2020-07-10,52.4,52.65,51.675,52.4
2020-07-09,52.4,52.825,51.685,52.4
2020-07-08,52.4,52.85,51.7,52.4
2020-07-07,52.4,52.85,51.7,52.4
2020-07-06,52.4,52.925,51.72,52.4
2020-07-03,52.8,52.95,51.55,52.4
2020-07-02,52.4,52.9,51.57,52.8
2020-07-01,52.4,53.025,51.6,52.4
2020-06-30,52.475,53.04,51.55,52.4
2020-06-29,52.475,52.975,51.55,52.475
2020-06-26,52.475,52.95,51.55,52.475
2020-06-25,52.475,52.79,51.445,52.475
2020-06-24,52.475,52.8,51.445,52.475
2020-06-23,52.35,52.8,51.2,52.475
2020-06-22,52.95,52.975,51.225,52.35
2020-06-19,52.5,52.99,51.6,52.5
2020-06-18,52.475,52.995,51.55,52.475
2020-06-17,52.475,52.95,51.625,52.475
2020-06-16,51.925,52.92,51.7,52.475
2020-06-15,51.925,52.88,51.7,51.85
2020-06-12,51.925,52.85,51.5,51.85
2020-06-11,51.925,52.85,51.5,51.85
2020-06-10,51.875,52.835,51.5,51.85
2020-06-09,51.875,52.725,51.5,51.75
2020-06-08,52.55,52.725,51.55,51.75
2020-06-05,51.85,52.7,51.45,51.8
2020-06-04,51.85,52.625,51.45,51.7
2020-06-03,51.825,52.56,51.45,51.7
2020-06-02,51.825,52.515,51.5,51.65
2020-06-01,52.1,52.525,51.4,51.65
2020-05-29,51.825,52.4,51.35,51.65
2020-05-28,51.825,52.375,51.335,51.65
2020-05-27,51.775,52.35,51.345,51.65
2020-05-26,51.775,52.325,51.345,52.04
2020-05-25,52.08,52.325,51.54,51.55
2020-05-22,51.775,52.5,51.375,51.55
2020-05-21,51.775,52.5,51.35,51.55
2020-05-20,52.45,52.525,51.35,51.55
2020-05-19,51.775,52.55,51.275,52.45
2020-05-18,52.25,52.45,51.37,51.55
2020-05-15,52.25,52.45,51.395,52.175
2020-05-14,52.22,52.43,51.45,52.3
2020-05-13,51.525,52.47,51.225,52.045
2020-05-12,51.775,52.315,51.365,52.115
2020-05-11,51.85,52.29,51.26,51.55
2020-05-08,51.92,52.315,51.08,51.85
2020-05-07,51.59,52.125,50.735,51.885
2020-05-06,51.8,51.89,50.885,51.625
2020-05-05,52.02,52.31,51,51.8
2020-05-04,52.04,52.315,51.05,51.55
2020-05-01,51.75,52.3,51.05,52.04
2020-04-30,51.75,52.335,51.05,51.5
2020-04-29,51.75,52.375,51.025,51.5
2020-04-28,51.75,52.26,51.05,51.5
2020-04-27,51.75,52.245,51,51.5
2020-04-24,51.65,52.245,51.05,51.5
2020-04-23,51.65,52.225,50.99,51.35
2020-04-22,51.65,52.22,51.025,51.45
2020-04-21,51.99,52.235,51,51.45
2020-04-20,51.99,52.245,50.975,51.45
2020-04-17,51.65,52.22,51,51.45
2020-04-16,51.65,52.22,51.015,51.45
2020-04-15,51.6,52.22,51,51.45
2020-04-14,51.25,52.17,51,51.35
2020-04-13,51.98,52.07,51.025,51
2020-04-10,51.25,51.995,51,51
2020-04-09,51.25,52.075,51,51
2020-04-08,51.25,52.07,51,51
2020-04-07,51.25,52.07,50.95,51
2020-04-06,51.99,52.07,50.9,51
2020-04-03,51.25,51.995,50.9,51
2020-04-02,51.25,52.005,50.955,51
2020-04-01,51.25,51.995,51.1,51
2020-03-31,51.25,51.995,50.9,51
2020-03-30,51.97,51.995,50.925,51
2020-03-27,51.25,51.995,50.9,51
2020-03-26,51.25,51.995,50.77,51
2020-03-25,51.25,51.995,50.95,51
2020-03-24,51.25,51.99,50.9,51
2020-03-23,51.95,51.99,50.825,51
2020-03-20,51.25,51.99,50.84,51
2020-03-19,51.25,51.99,50.925,51
2020-03-18,51.25,51.99,50.875,51
2020-03-17,51.44,51.99,50.77,51
2020-03-16,52,52.015,50.59,51.275
2020-03-14,52,52,52,52
2020-03-13,51.25,52.04,50.7,51
2020-03-12,51.25,52,50.75,51
2020-03-11,51.25,52,50.945,51
2020-03-10,51.25,52,50.9,51
2020-03-09,52,52,50.895,51
2020-03-07,51.25,51.25,51.25,51.25
2020-03-06,52,52.07,51,51
2020-03-05,51.25,52.04,51,51
2020-03-04,51.25,52,50.875,51
2020-03-03,51.25,52,50.95,51
2020-03-02,52,52.04,50.95,51
2020-02-29,52,52,52,52
2020-02-28,51.25,52.09,50.975,50.8
2020-02-27,51.25,52.05,51.05,51
2020-02-26,51.25,52.085,51,51
2020-02-25,51.25,52.05,51.1,51
2020-02-24,52,52.05,51,51
2020-02-22,52,52,52,52
2020-02-21,52,52.035,50.95,51
2020-02-20,51.25,52,50.87,51
2020-02-19,51.25,52,50.85,51
2020-02-18,51.25,52.015,50.84,51
2020-02-17,52,52,50.95,51
2020-02-15,52,52,52,52
2020-02-14,51.25,52,51.075,51
2020-02-13,51.25,52,51,52
2020-02-12,51.25,52.07,50.95,51
2020-02-11,51.25,52.045,50.9,51
2020-02-10,51.25,52.02,50.9,51
2020-02-08,52.02,52.02,52.02,52.02
2020-02-07,51.275,52.035,50.9,51
2020-02-06,51.275,52.035,50.85,51.05
2020-02-05,51.275,52.175,50.9,51.05
2020-02-04,51.98,52.165,50.95,51.05
2020-02-03,51.98,52.135,51.05,51.05
2020-02-01,51.98,51.98,51.98,51.98
2020-01-31,51.25,52.055,50.875,51.98
2020-01-30,51.25,51.99,51.125,51
2020-01-29,51.25,51.99,51.025,51
2020-01-28,51.25,51.99,50.975,51
2020-01-27,51.98,51.99,50.975,50.85
2020-01-25,51.91,51.91,51.91,51.91
2020-01-24,51.26,51.995,50.95,51.98
2020-01-23,51.25,52.02,50.95,51
2020-01-22,51.25,51.995,50.9,51
2020-01-21,51.25,51.99,51.05,51
2020-01-20,51.98,52.04,51.05,51
2020-01-18,51.95,51.95,51.95,51.95
2020-01-17,51.25,51.975,50.94,51
2020-01-16,51.25,51.84,50.89,51
2020-01-15,51.25,51.885,50.865,51
2020-01-14,51.25,51.925,50.875,51
2020-01-13,51.25,51.9,50.95,51
2020-01-11,51.25,51.25,51.25,51.25
2020-01-10,51.4,51.47,51,51
2020-01-09,51.4,51.445,51,51.3
2020-01-08,51.4,51.475,51.025,51.3
2020-01-07,51.4,52.14,51,51.3
2020-01-06,51.78,52.125,51.015,51.3
2020-01-04,51.78,51.78,51.78,51.78
2020-01-03,51.4,52.09,50.74,51.3
2020-01-02,51.4,51.825,50.74,51.3
2020-01-01,51.4,51.825,50.925,51.3
2019-12-31,51.4,51.875,50.9,51.3
2019-12-30,51.3,51.8,50.9,51.3
2019-12-28,51.3,51.3,51.3,51.3
2019-12-27,51.4,51.8,50.75,51.3
2019-12-26,51.4,51.65,50.75,51.3
2019-12-25,51.4,51.4,51.4,51.3
2019-12-24,51.4,51.68,51.2,51.3
2019-12-23,51.35,51.665,50.915,51.3
2019-12-21,51.35,51.35,51.35,51.35
2019-12-20,51.35,51.505,51.2,51.2
2019-12-19,51.35,51.685,51.2,51.2
2019-12-18,51.35,51.695,51.25,51.2
2019-12-17,51.35,51.69,51.25,51.2
2019-12-16,51.625,51.68,51.275,51.2
2019-12-14,51.4,51.4,51.4,51.4
2019-12-13,51.4,51.65,51.175,51.3
2019-12-12,51.4,52.255,51.175,51.3
2019-12-11,51.4,52.255,51.325,51.3
2019-12-10,51.4,52.155,51.2,51.3
2019-12-09,51.4,52.24,51.175,51.3
2019-12-07,51.4,51.4,51.4,51.4
2019-12-06,51.4,51.64,51.25,51.3
2019-12-05,51.4,51.55,51.25,51.3
2019-12-04,51.4,51.625,51.15,51.3
2019-12-03,51.4,52.39,51.15,51.3
2019-12-02,52.1,52.325,51.15,51.3
2019-11-30,51.4,51.4,51.4,51.4
2019-11-29,51.4,52.225,51.14,51.3
2019-11-28,51.4,52.15,51.25,51.3
2019-11-27,51.4,52.15,51.14,51.3
2019-11-26,51.4,52.14,51.15,51.3
2019-11-25,51.9,52.15,51.15,51.3
2019-11-24,51.9,51.9,51.9,51.9
2019-11-23,51.9,51.9,51.9,51.9
2019-11-22,51.4,52.275,50.99,51.3
2019-11-21,51.4,52.25,51.15,51.3
2019-11-20,51.4,52.23,51.15,51.3
2019-11-19,51.4,52.25,51.15,51.3
2019-11-18,51.99,52.275,51.15,51.3
2019-11-16,51.99,51.99,51.99,51.99
2019-11-15,51.4,52.145,51.15,51.3
2019-11-14,51.6,52.17,50.525,51.3
2019-11-13,51.4,52.455,50.525,51.6
2019-11-12,51.4,52.42,50.525,51.3
2019-11-11,51.45,51.875,50.92,51.3
2019-11-09,51.4,51.4,51.4,51.4
2019-11-08,51.4,52.38,50.5,51.3
2019-11-07,51.4,52.31,50.5,51.3
2019-11-06,51.4,52.245,50.5,51.3
2019-11-05,50.5,52.16,50.45,51.3
2019-11-04,50.9,51.99,50.475,50.5
2019-11-02,50.9,50.9,50.9,50.9
2019-11-01,51.52,51.67,50.825,50.9
2019-10-31,51.4,51.855,50.815,51.52
2019-10-30,51.51,51.97,50.825,51.4
2019-10-29,51.05,51.92,50.675,51.45
2019-10-28,52.25,52.25,50.43,51.305
2019-10-26,52.25,52.25,52.25,52.25
2019-10-25,52.16,52.355,50.655,52.25
2019-10-24,52.22,52.22,50.73,52.16
2019-10-23,51.4,52.305,50.73,52.19
2019-10-22,51.4,52.275,50.75,51.3
2019-10-21,52.25,52.34,50.73,51.3
2019-10-19,52.25,52.25,52.25,52.25
2019-10-18,52.28,52.38,50.73,51.3
2019-10-17,51.375,52.345,50.73,51.25
2019-10-16,51.375,52.31,50.73,51.25
2019-10-15,51.375,52.305,50.45,51.25
2019-10-14,52.25,52.25,51.075,51.25
2019-10-13,52.25,52.25,52.25,52.25
2019-10-12,52.25,52.25,52.25,52.25
2019-10-11,51.375,52.25,50.45,51.25
2019-10-10,51.375,52.235,50.5,51.25
2019-10-09,51.35,52.2,50.805,51.25
2019-10-08,51.35,52.175,51,51.2
2019-10-07,51.99,52.15,51,51.2
2019-10-05,51.35,51.35,51.35,51.35
2019-10-04,51.35,52.095,50.475,51.2
2019-10-03,51.3,52.09,50.5,51.2
2019-10-02,51.3,52.04,50.5,51.1
2019-10-01,51.94,52.025,50.45,51.1
2019-09-30,51.98,51.99,50.5,51
2019-09-28,51.98,51.98,51.98,51.98
2019-09-27,51.25,51.99,50.15,51
2019-09-26,51.25,51.995,50.1,51
2019-09-25,51.95,51.995,50.1,51
2019-09-24,51.25,51.99,50.1,51.95
2019-09-23,51.97,51.985,50.15,51
2019-09-21,51.25,51.25,51.25,51.25
2019-09-20,51.25,51.985,50.425,51
2019-09-19,51.25,51.975,50.4,51.92
2019-09-18,51.25,51.995,50.4,51
2019-09-17,50.875,51.975,50.4,51
2019-09-16,51.82,51.825,50.45,50.8
2019-09-14,51.82,51.82,51.82,51.82
2019-09-13,50.875,51.865,50.45,51.82
2019-09-12,50.875,51.8,50.45,50.8
2019-09-11,51.78,51.8,50.48,50.8
2019-09-10,50.875,51.82,50.43,51.725
2019-09-09,51.72,51.82,50.44,50.8
2019-09-08,51.72,51.72,51.72,51.72
2019-09-07,51.72,51.72,51.72,51.72
2019-09-06,50.825,51.76,50.485,51.72
2019-09-05,50.8,51.675,50.45,50.7
2019-09-04,50.8,51.65,50.45,50.65
2019-09-03,50.775,51.65,50.4,50.65
2019-09-02,51.6,51.6,50.65,51.6
2019-09-01,51.6,51.6,51.6,51.6
2019-08-31,51.6,51.6,51.6,51.6
2019-08-30,50.775,51.6,50.44,50.6
2019-08-29,50.775,51.6,50.45,50.6
2019-08-28,50.775,51.6,50.4,50.6
2019-08-27,50.775,51.575,50.375,50.6
2019-08-26,51.34,51.575,50.375,51.55
2019-08-24,51.34,51.34,51.34,51.34
2019-08-23,50.775,51.57,50.55,50.6
2019-08-22,50.725,51.575,50.5,50.6
2019-08-21,50.725,51.49,50.5,50.5
2019-08-20,50.7,51.475,50.65,50.5
2019-08-19,51.44,51.45,50.425,50.45
2019-08-18,51.44,51.44,51.44,51.44
2019-08-17,51.44,51.44,51.44,51.44
2019-08-16,51.44,51.455,50.375,51.44
2019-08-15,50.7,51.455,50.62,51.44
2019-08-14,50.7,51.45,50.445,50.45
2019-08-13,50.7,51.45,50.625,50.45
2019-08-12,51.15,51.45,50.55,50.45
2019-08-10,50.125,50.125,50.125,50.125
2019-08-09,50.7,51.445,50.1,51.15
2019-08-08,50.65,51.45,50.005,50.45
2019-08-07,50.65,51.38,50,50.35
2019-08-06,50.625,51.35,50,50.35
2019-08-05,51.29,51.32,50,50.3
2019-08-03,51.29,51.29,51.29,51.29
2019-08-02,50.625,51.305,49.955,51.29
2019-08-01,50.6,51.3,50,50.3
2019-07-31,50.6,51.25,49.9,50.25
2019-07-30,50.6,51.25,49.98,50.25
2019-07-29,51.13,51.225,50,50.25
2019-07-27,51.13,51.13,51.13,51.13
2019-07-26,50.6,51.215,49.925,50.25
2019-07-25,50.6,51.225,49.945,50.25
