Date,Open,High,Low,Close
2022-03-03,8974.5,8974.96,8915,8973.5
2022-03-02,8975,8975.46,8927.56,8974.5
2022-03-01,8976,8976.46,8925,8975
2022-02-28,8940,8979.91,8919.25,8976
2022-02-25,8981.5,8981.96,8937.06,8979
2022-02-24,8986,8998.5,8942.5,8981.5
2022-02-23,8984,8986.46,8947.53,8986
2022-02-22,8984.5,8998.41,8949.55,8984
2022-02-21,8982.5,9065,8965,8984.5
2022-02-18,8993,9070,8965,8987.5
2022-02-17,8999.5,9075,8970,8993
2022-02-16,9005,9080,8975,8999.5
2022-02-15,9009,9080,8962.5,9005
2022-02-14,9035,9100,8975,9009
2022-02-11,9020.5,9057.13,9012.63,9017
2022-02-10,9040,9100.5,9020,9020.5
2022-02-09,9050,9101.67,9035.04,9040
2022-02-08,9080,9120.01,9041.49,9050
2022-02-07,9070,9099,9064.95,9079.61
2022-02-04,9000,9112.9,8932.5,9070
2022-02-03,9000,9095.96,8984.26,9001.15
2022-02-02,9005,9100.46,8999.18,9000
2022-02-01,9005,9026.12,8999.95,9005
2022-01-31,9026,9101,9002.5,9005
2022-01-28,9050,9064.38,9015,9015
2022-01-27,9050,9124.37,9000,9050
2022-01-26,9015,9121.48,8982.5,9050
2022-01-25,9020,9101.39,8996.31,9017
2022-01-24,9035,9101.79,9020,9020
2022-01-21,9045,9099.95,8992.5,9035
2022-01-20,9035,9122.61,8990,9045
2022-01-19,9050,9100,8990,9093.44
2022-01-18,9050,9171.5,9026.75,9097.06
2022-01-17,9050,9080.5,9037.75,9050
2022-01-14,9054,9115,8999.25,9050
2022-01-13,9030,9162.07,8990,9060
2022-01-12,9110,9193.86,8990,9030
2022-01-11,9105,9199.78,9052.5,9182.14
2022-01-10,9112.5,9256.33,9052.5,9105
2022-01-07,9130,9281.81,9065,9140
2022-01-06,9205,9291.71,9077.5,9130
2022-01-05,9223,9303.01,9185.42,9205
2022-01-04,9255,9341.02,9219,9223
2022-01-03,9243,9339.29,9222.02,9255
2021-12-31,9343.5,9378.48,9228.38,9243
2021-12-30,9438,9467.58,9223.33,9244
2021-12-29,9449.5,9469.82,9222.5,9438
2021-12-28,9457,9488.34,9230,9449.5
2021-12-27,9275,9477.14,9243.5,9457
2021-12-24,9464.5,9495.83,9272.5,9460
2021-12-23,9478,9500.49,9262.5,9464.5
2021-12-22,9478,9500.49,9265,9478
2021-12-21,9478,9506.49,9265,9478
2021-12-20,9514,9527.74,9287.5,9478
2021-12-17,9484,9511.82,9280,9481
2021-12-16,9486.5,9502.46,9292.5,9484
2021-12-15,9328,9502.46,9297.5,9486.5
2021-12-14,9493,9501.12,9309,9490.5
2021-12-13,9479,9506.24,9302.5,9493
2021-12-10,9500.5,9514.44,9317,9497
2021-12-09,9497,9516.29,9320,9500.5
2021-12-08,9501,9575.49,9296,9497
2021-12-07,9504,9504.49,9325,9501
2021-12-06,9365,9535.99,9327.5,9504
2021-12-03,9505.5,9575.49,9335,9507.5
2021-12-02,9509,9575.49,9312.5,9505.5
2021-12-01,9512,9516.63,9300,9509
2021-11-30,9514.5,9575.49,9300,9512
2021-11-29,9459.75,9575.49,9347.5,9514.5
2021-11-26,9527.5,9532.99,9382.5,9519.5
2021-11-25,9535,9550,9412.5,9527.5
2021-11-24,9541,9550.49,9385,9535
2021-11-23,9545.5,9550.49,9390,9541
2021-11-22,9498.5,9574.74,9425,9545.5
2021-11-19,9553,9556.77,9450,9553
2021-11-18,9557,9557.49,9427.5,9553
2021-11-17,9560.5,9566.01,9440.5,9557
2021-11-16,9566,9566.49,9447.5,9560.5
2021-11-15,9578,9578,9455,9566
2021-11-12,9578,9592.24,9475,9578
2021-11-11,9588,9588,9505,9578
2021-11-10,9588,9592.24,9499.5,9588
2021-11-09,9600.5,9600.99,9515,9588
2021-11-08,9600.5,9625.49,9524,9600.5
2021-11-05,9604,9604.49,9525,9600.5
2021-11-04,9605,9605.49,9527.5,9604
2021-11-03,9625.5,9626.47,9542.5,9605
2021-11-02,9625.5,9628.75,9574,9625.5
2021-11-01,9600,9643.22,9586.5,9625.5
2021-10-29,9635.5,9640.75,9595.36,9625
2021-10-28,9637,9657.5,9597.5,9635.5
