Date,Open,High,Low,Close
2003-06-01,65.89,66.2,65.5,66.1
2003-06-08,66.1,66.5,65.9,66.38
2003-06-15,66.38,66.9,66.1,66.72
2003-06-22,66.72,67.1,66.4,67.04
2003-06-29,67.04,67.45,66.8,67.45
2003-07-06,67.45,68,67.2,67.72
2003-07-13,67.72,68.4,67.6,68.1
2003-07-20,68.1,68.7,67.8,68.36
2003-07-27,68.36,69.2,68,69
2003-08-03,69,69.5,64,62.5
2003-08-10,62.5,63.2,55.5,58.2
2003-08-17,58.2,59,53.3,55.2
2003-08-24,55.2,56,53,53.4
2003-08-31,53.4,53.6,52.8,53.13
2003-09-07,53.13,54,53,53.71
2003-09-14,53.71,54.3,53.4,54
2003-09-21,54,54.6,53.7,54.18
2003-09-28,54.18,54.8,53.8,54.32
2003-10-05,54.32,54.32,47.5,46.2
2003-10-12,46.2,48,44.5,45
2003-10-19,45,45.5,43.5,44.2
2003-10-26,44.2,44.4,42.8,43.38
2003-11-02,43.38,43.8,42.2,42.2
2003-11-09,42.2,42.6,41.6,41.9
2003-11-16,41.9,42.2,41.1,41.3
2003-11-23,41.3,41.6,40.2,40.7
2003-11-30,40.7,41.2,40.2,40.52
2003-12-07,40.52,41.2,40.4,41.2
2003-12-14,41.2,41.8,41,41.6
2003-12-21,41.6,42.2,41.2,42.3
2003-12-28,42.3,42.6,41.8,42.44
