Date,Open,High,Low,Close
2018-12-20,364.55,365.43,363.64,365
2018-12-19,365,367.21,363.71,365
2018-12-18,365,365.57,363.14,365.13
2018-12-17,363.58,367.45,363.24,365
2018-12-16,364,364,364,364
2018-12-15,364,364,364,364
2018-12-14,365,365.86,363.32,364.03
2018-12-13,367.25,367.29,363.75,364.5
2018-12-12,367.25,367.89,364,367.25
2018-12-11,367.25,367.31,364.5,367.25
2018-12-10,365,367.96,364.75,367.25
2018-12-09,365,365,365,365
2018-12-08,365,365,365,365
2018-12-07,367.45,367.51,364.5,367.45
2018-12-06,367.35,367.54,364.5,367.45
2018-12-05,367.35,367.58,364.75,367.35
2018-12-04,368,368.2,364.57,367.35
2018-12-03,368,368.52,366,368.34
2018-12-02,368,368,368,368
2018-12-01,368,368,368,368
2018-11-30,368,368.11,365.75,368
2018-11-29,368,368,366,368
2018-11-28,368.1,368.12,366,368
2018-11-27,368.1,368.17,366,368.1
2018-11-26,368.1,368.14,366,368.1
2018-11-25,368.1,368.1,368.1,368.1
2018-11-24,368.1,368.1,368.1,368.1
2018-11-23,367.85,368.1,366.2,368.1
2018-11-22,367.85,367.85,366.7,367.85
2018-11-21,367.9,367.99,365.87,367.85
2018-11-20,367.9,367.99,366.05,367.9
2018-11-19,367.9,367.96,366,367.9
2018-11-18,367.9,367.9,367.9,367.9
2018-11-17,367.9,367.9,367.9,367.9
2018-11-16,367.9,367.9,366.5,367.9
2018-11-15,367.9,367.92,365.82,367.9
2018-11-14,367.9,367.96,366,367.9
2018-11-13,367.9,368.03,365.5,367.9
2018-11-12,367.9,367.9,367.9,367.9
2018-11-11,367.9,367.9,367.9,367.9
2018-11-10,367.9,367.9,367.9,367.9
2018-11-09,364.35,368.01,364.35,367.9
2018-11-08,364.8,364.86,364.26,364.35
2018-11-07,364.8,364.91,360.37,364.8
2018-11-06,364.8,364.93,359.82,364.8
2018-11-05,364.75,364.84,360.87,364.8
2018-11-04,364.75,364.75,364.75,364.75
2018-11-03,364.75,364.75,364.75,364.75
2018-11-02,364.75,364.81,360.82,364.75
2018-11-01,364.75,364.88,360.5,364.75
2018-10-31,364.75,364.84,360.82,364.75
2018-10-30,364.75,364.79,360,364.75
2018-10-29,364.75,364.86,359.7,364.75
2018-10-28,364.75,364.75,364.75,364.75
2018-10-27,364.75,364.75,364.75,364.75
2018-10-26,364.65,364.81,359.5,364.75
2018-10-25,364.65,364.72,359.97,364.65
2018-10-24,364.65,364.72,359.55,364.65
2018-10-23,364.65,364.71,359.5,364.65
2018-10-22,364.65,364.69,358,364.65
2018-10-21,364.65,364.65,364.65,364.65
2018-10-20,364.65,364.65,364.65,364.65
2018-10-19,364.6,364.69,358.55,364.65
2018-10-18,364.45,364.66,358.55,364.6
2018-10-17,364.45,364.52,358.47,364.29
2018-10-16,364.45,364.51,364.27,364.45
2018-10-15,364.45,364.52,355.5,364.45
2018-10-14,364.45,364.45,364.45,364.45
2018-10-13,364.45,364.45,364.45,364.45
2018-10-12,364.45,364.45,358.1,364.45
2018-10-11,364.45,364.45,358.1,364.45
2018-10-10,364.45,364.45,358.1,364.45
2018-10-09,364.35,364.45,358.1,364.45
2018-10-08,364.35,364.35,364.35,364.35
2018-10-07,358,358,358,358
2018-10-06,358,358,358,358
2018-10-05,364.2,364.39,358.1,364.35
2018-10-04,364.2,364.22,358.1,358.1
2018-10-03,364.2,364.2,358.1,364.2
2018-10-02,364.15,364.2,359,364.2
2018-10-01,364.15,364.15,358.1,364.15
2018-09-30,364.15,364.15,364.15,364.15
2018-09-29,364.15,364.15,364.15,364.15
2018-09-28,356.57,364.26,356.16,364.15
2018-09-27,363.7,363.85,358.07,363.7
2018-09-26,363.7,363.85,358.07,363.7
2018-09-25,363.7,363.76,358,363.7
2018-09-24,363.7,364.25,358,363.7
2018-09-23,363.7,363.7,363.7,363.7
2018-09-22,363.7,363.7,363.7,363.7
2018-09-21,364.1,364.25,358.5,363.7
2018-09-20,363.95,364.21,358,364.1
2018-09-19,363.95,364.09,359.27,363.95
2018-09-18,363.95,363.99,358,363.95
2018-09-17,363.55,364.56,358,363.95
2018-09-16,363.55,363.55,363.55,363.55
2018-09-15,363.41,363.41,363.41,363.41
2018-09-14,363.55,364.59,357.37,363.41
2018-09-13,363.95,364.08,357.37,363.55
2018-09-12,363.95,364.46,357.5,363.83
2018-09-11,363.95,364.08,357.06,357.5
2018-09-10,363.95,364.6,358.33,363.95
2018-09-09,363.95,363.95,363.95,363.95
2018-09-08,363.95,363.95,363.95,363.95
2018-09-07,363.95,364.12,363.77,363.95
2018-09-06,364.4,364.47,358.33,363.95
2018-09-05,364.5,364.61,358.38,364.4
2018-09-04,364.5,364.57,358.38,364.5
2018-09-03,364.5,364.5,364.5,364.5
2018-09-02,364.5,364.5,364.5,364.5
2018-09-01,364.5,364.5,364.5,364.5
2018-08-31,364.5,364.63,358.38,364.5
2018-08-30,364.5,364.59,358.38,364.5
2018-08-29,364.5,364.67,358.38,364.5
2018-08-28,364.5,364.69,359.14,364.5
2018-08-27,364.5,364.63,364.32,364.5
2018-08-26,364.5,364.5,364.5,364.5
2018-08-25,364.5,364.5,364.5,364.5
2018-08-24,364.5,364.61,358.38,364.5
2018-08-23,364.5,364.66,358.38,364.5
2018-08-22,364.5,364.65,359.32,364.5
2018-08-21,364.5,364.56,364.32,364.5
2018-08-20,364.5,364.86,358.37,364.5
2018-08-19,364.43,364.43,364.43,364.43
2018-08-18,364.43,364.43,364.43,364.43
2018-08-17,364.5,364.61,358.32,364.43
2018-08-16,364.5,364.64,359.32,364.5
2018-08-15,364.8,364.87,359.52,364.5
2018-08-14,363.55,364.86,359.47,364.8
2018-08-13,359.25,363.61,359,363.55
2018-08-12,359.25,359.25,359.25,359.25
2018-08-11,359.25,359.25,359.25,359.25
2018-08-10,359.25,359.79,358.38,359.25
2018-08-09,359.25,359.71,359.07,359.25
2018-08-08,359.25,359.5,358.75,359.25
2018-08-07,359,359.55,358.49,359.25
2018-08-06,359,359.32,357.82,359
2018-08-05,359,359,359,359
2018-08-04,359,359,359,359
2018-08-03,359,359.09,358.32,359
2018-08-02,359,359.05,358.39,359
2018-08-01,359,359.05,358.5,359
2018-07-31,359,359.11,358.5,359
2018-07-30,359,359.09,357.82,359
2018-07-29,359,359,359,359
2018-07-28,359,359,359,359
2018-07-27,358.25,359.13,357.82,359
2018-07-26,358.15,358.88,357.97,358.25
2018-07-25,358.15,358.85,357.82,358.15
2018-07-24,358.15,358.81,357.79,358.15
2018-07-23,358.15,358.74,357.82,358.15
2018-07-22,358.15,358.15,358.15,358.15
2018-07-21,358.15,358.15,358.15,358.15
2018-07-20,358.15,359,358,358.15
2018-07-19,358.1,359,357.97,358.15
2018-07-18,358.05,359,355.5,358.1
2018-07-17,358,358.6,355.5,358.05
2018-07-16,358,358.7,356.75,358
2018-07-15,358,358,358,358
2018-07-14,358,358,358,358
2018-07-13,358,358.8,357.64,358
2018-07-12,358,358.6,357.82,358
2018-07-11,355.75,358.25,355.75,358
2018-07-10,355.75,358.55,355.04,355.75
2018-07-09,355.75,358.3,355.4,357.77
2018-07-08,355.75,355.75,355.75,355.75
2018-07-07,355.75,355.75,355.75,355.75
2018-07-06,355.75,358.32,355.4,355.75
2018-07-05,355.75,357.88,355.4,355.75
2018-07-04,355.8,355.8,355.75,355.75
2018-07-03,355.8,358.09,355.27,355.8
2018-07-02,355.8,358.07,355.44,355.8
2018-07-01,355.8,355.8,355.8,355.8
2018-06-30,355.8,355.8,355.8,355.8
2018-06-29,355.8,357.74,355.62,355.8
2018-06-28,355.85,357.94,355.32,355.8
2018-06-27,355.75,357.67,355.25,355.85
2018-06-26,355.75,357.8,355.5,355.75
2018-06-25,355.75,357.5,355.7,355.75
2018-06-24,355.75,355.75,355.75,355.75
2018-06-23,355.75,355.75,355.75,355.75
2018-06-22,355.75,357.75,355.4,355.75
2018-06-21,355.75,357.84,355.32,355.75
2018-06-20,355.75,357.84,355.25,355.75
2018-06-19,355.75,357.77,355.4,355.75
2018-06-18,355.75,357.91,355.32,355.75
2018-06-17,355.75,355.75,355.75,355.75
2018-06-16,355.75,355.75,355.75,355.75
2018-06-15,355.7,357.88,355.35,355.75
2018-06-14,355.7,357.95,355.5,355.7
2018-06-13,355.65,357.69,355.5,355.7
2018-06-12,355.6,357.65,355.47,355.65
2018-06-11,355.6,357.96,355.25,355.6
2018-06-10,355.6,355.6,355.6,355.6
2018-06-09,355.6,355.6,355.6,355.6
2018-06-08,355.6,357.48,355.25,355.6
2018-06-07,355.55,357.15,355.12,355.6
2018-06-06,355.55,357.5,355.5,355.55
2018-06-05,355.3,357.41,355.12,355.55
2018-06-04,355.3,357.2,355,355.3
2018-06-03,355.3,355.3,355.3,355.3
2018-06-02,355.3,355.3,355.3,355.3
2018-06-01,355.3,356.95,355.12,355.3
2018-05-31,355.55,357.3,355,355.3
2018-05-30,355.55,357.3,355,357
2018-05-29,355.55,357.19,355.37,357.01
2018-05-28,355.55,355.55,355.55,355.55
2018-05-27,357,357,357,357
2018-05-26,357,357,357,357
2018-05-25,355.55,357.34,355.37,355.55
2018-05-24,357.3,357.35,355.2,355.55
2018-05-23,355.5,357.37,355.2,356.92
2018-05-22,355.5,357.1,355.5,355.5
2018-05-21,355.5,357.67,354.54,355.5
2018-05-20,355.5,355.5,355.5,355.5
2018-05-19,355.5,355.5,355.5,355.5
2018-05-18,355.6,357.26,355.15,355.5
2018-05-17,355.55,357.19,355.42,355.6
2018-05-16,355.6,357.37,355.37,357.14
2018-05-15,355.55,357.26,354.67,356.73
2018-05-14,355.55,357.21,354.49,356.15
2018-05-13,355.55,355.55,355.55,355.55
2018-05-12,356.5,356.5,356.5,356.5
2018-05-11,355.55,357.23,354.5,357.05
2018-05-10,355.55,357.5,355.55,355.55
2018-05-09,354.85,357.05,354.5,355.55
2018-05-08,354.85,356.1,354.45,354.85
2018-05-07,354.8,355.87,354.67,354.85
2018-05-06,354.8,354.8,354.8,354.8
2018-05-05,354.8,354.8,354.8,354.8
2018-05-04,354.8,355.73,354.62,354.8
2018-05-03,354.8,355.65,354.45,354.8
2018-05-02,354.75,355.8,354.45,354.8
