Date,Open,High,Low,Close
2022-03-02,416.09,416.09,416.09,415.59
2022-03-01,416.02,416.09,415.5,415.59
2022-02-28,415.89,416.02,415.5,415.52
2022-02-25,415.89,415.89,415.89,415.39
2022-02-24,415.89,415.89,415.89,415.39
2022-02-23,415.89,415.89,415.89,415.39
2022-02-22,415.87,415.89,415.87,415.39
2022-02-21,415.87,415.87,415.87,415.37
2022-02-18,415.87,415.9,415.87,415.37
2022-02-17,415.81,415.87,415.8,415.37
2022-02-16,415.81,415.81,415.8,415.31
2022-02-15,416.41,416.45,415.81,415.31
2022-02-14,417.01,417.05,415.5,415.91
2022-02-11,416.87,417.01,416.87,416.51
2022-02-10,416.75,416.87,416.75,416.37
2022-02-09,416.55,416.75,416.55,416.25
2022-02-08,416.38,416.55,415.5,416.05
2022-02-07,416.2,416.38,415.5,415.88
2022-02-04,416.04,416.2,416.02,415.7
2022-02-03,415.83,416.04,415.8,415.54
2022-02-02,414.76,415.86,414.76,415.33
2022-02-01,415.83,415.83,414.76,414.26
2022-01-31,415.66,415.83,415.5,415.33
2022-01-28,415.49,415.66,415.49,415.16
2022-01-27,415.32,415.49,415.32,414.99
2022-01-26,415.12,415.32,415.12,414.82
2022-01-25,415.03,415.14,415.03,414.62
2022-01-24,414.95,415.5,414.95,414.53
2022-01-21,414.95,415,414.95,414.45
2022-01-20,414.67,414.95,414.67,414.45
2022-01-19,414.5,414.67,414.5,414.17
2022-01-18,414.29,414.5,414.29,414
2022-01-17,414.29,415.5,414.29,413.79
2022-01-14,414.1,414.29,414.1,413.79
2022-01-13,413.94,414.11,413.94,413.6
2022-01-12,413.6,414.5,413.6,413.44
2022-01-11,413.64,413.64,413.6,413.1
2022-01-10,413.21,414.29,413.21,413.14
2022-01-07,413.04,413.21,413.04,412.96
2022-01-06,412.8,413.04,412.8,412.79
2022-01-05,412.74,412.92,412.74,412.55
2022-01-04,412.74,413.5,412.74,412.49
2022-01-03,411.95,412.74,411.93,412.49
2021-12-31,411.25,411.95,411.25,411.7
2021-12-30,411.2,413.5,411.2,411
2021-12-29,411.2,413.5,411.19,410.95
2021-12-28,411.2,411.2,411.15,410.95
2021-12-27,411.18,411.2,411.17,410.95
2021-12-24,411.18,411.18,411.18,410.93
2021-12-23,411.17,411.18,411.15,410.93
2021-12-22,411.16,411.17,411.15,410.92
2021-12-21,410.16,411.16,410.16,410.91
2021-12-20,410.16,413.5,410.16,409.91
2021-12-17,410.08,410.16,410.07,409.91
2021-12-16,409.98,410.08,409.97,409.83
2021-12-15,409.97,413.5,409.95,409.73
2021-12-14,410.2,413.5,409.97,409.72
2021-12-13,409.97,413.5,409.97,409.95
2021-12-10,410,410,409.97,409.72
2021-12-09,409.99,410,409.99,409.74
2021-12-08,409.99,409.99,409.97,409.74
2021-12-07,409.99,409.99,409.99,409.74
2021-12-06,409.98,413.5,409.98,409.74
2021-12-03,409.95,409.98,409.95,409.73
2021-12-02,409.91,409.97,409.91,409.7
2021-12-01,409.89,409.91,409.89,409.66
2021-11-30,409.89,409.9,409.89,409.64
2021-11-29,409.89,413.5,409.89,409.64
2021-11-26,409.9,409.9,409.89,409.64
2021-11-25,409.88,409.88,409.88,409.63
2021-11-24,409.88,409.88,409.85,409.63
2021-11-23,410.84,410.84,409.88,409.63
2021-11-22,410.84,413.5,410.84,410.59
2021-11-19,410.82,410.85,410.82,410.59
2021-11-18,410.68,410.82,410.68,410.57
2021-11-17,410.68,410.68,410.65,410.43
2021-11-16,410.67,410.68,410.65,410.43
2021-11-15,410.64,413.5,410.64,410.42
2021-11-12,410.62,410.64,410.6,410.39
2021-11-11,410.59,410.62,410.58,410.37
2021-11-10,410.57,410.59,410.55,410.34
2021-11-09,410.54,410.57,410.5,410.32
2021-11-08,410.52,413.5,409.5,410.29
2021-11-05,410.49,410.52,410.47,410.27
2021-11-04,410.46,413.83,410.45,410.24
2021-11-03,410.42,414.23,410.4,410.21
2021-11-02,410.3,410.42,410.3,410.17
2021-11-01,410.31,413.5,409.5,410.05
2021-10-29,410.25,410.31,410.25,410.06
2021-10-28,410.27,410.27,410.25,410
2021-10-27,410.24,410.27,410.23,410.02
2021-10-26,410.21,410.24,410.2,409.99
2021-10-25,410.9,413.5,410.18,409.96
2021-10-22,410.88,410.91,410.88,409.91
2021-10-21,410.82,410.88,410.8,409.88
2021-10-20,410.89,410.89,410.82,409.82
2021-10-19,410.91,410.95,410.89,409.89
2021-10-18,410.91,413.5,410.9,409.91
2021-10-15,410.85,410.91,410.82,409.91
2021-10-14,410.82,410.85,410.8,409.85
2021-10-13,410.87,412.75,410.8,409.82
2021-10-12,410.77,413.27,410.75,409.87
2021-10-11,410.81,413.5,410.77,409.77
2021-10-08,410.81,410.81,410.8,409.81
2021-10-07,410.82,412.25,410.78,409.81
2021-10-06,410.8,410.82,410.8,409.82
2021-10-05,410.8,410.8,410.8,409.8
2021-10-04,410.77,413.5,410.77,409.8
2021-10-01,410.8,410.8,410.77,409.77
2021-09-30,409.76,410.8,409.76,409.8
2021-09-29,409.76,413.5,409.76,408.76
2021-09-28,411.5,411.5,409.26,408.76
2021-09-27,411.5,413.5,411.5,411
2021-09-24,411.5,412.43,411.5,411
2021-09-23,411.5,411.75,411.5,411
2021-09-22,411.5,412.5,411.5,411
2021-09-21,411.5,411.5,411,411
2021-09-20,411.5,411.75,411.5,411
2021-09-17,411.5,411.5,411.5,411
2021-09-16,411.5,412,411.5,411
2021-09-15,411.5,411.5,411.5,411
2021-09-14,411.5,411.5,409.5,411
2021-09-13,411.43,412,411.43,411
2021-09-10,411.4,411.75,411.2,410.93
2021-09-09,411.3,411.45,410.75,410.9
2021-09-08,411.5,411.5,411,410.8
2021-09-07,411.52,411.52,410.25,411
2021-09-06,411.52,411.52,411.5,411.02
2021-09-03,411.5,411.52,410.75,411.02
2021-09-02,411.5,412,410.5,411
2021-09-01,411.5,412,411.5,411
2021-08-31,411.5,412,409.5,411
2021-08-30,411.5,412,411.5,411
2021-08-27,411.5,411.5,410.5,411
2021-08-26,411.55,411.55,411.5,411
2021-08-25,411.5,411.55,411.5,411.05
2021-08-24,411.55,411.55,409.5,411
2021-08-23,411.7,411.7,411.5,411.05
2021-08-20,411.8,411.8,411.7,411.2
2021-08-19,411.9,411.9,411.8,411.3
2021-08-18,411.7,412,411.7,411.4
2021-08-17,411.5,412,411.5,411.2
2021-08-16,411.5,411.5,411.065,411
2021-08-13,411.5,411.5,410.5,411
2021-08-12,411.5,411.5,409.5,411
2021-08-11,411.5,411.5,411.5,411
2021-08-10,411.5,411.5,411.5,411
2021-08-09,411.5,411.5,411.5,411
2021-08-06,411.5,411.5,411.5,411
2021-08-05,411.5,411.5,411.5,411
2021-08-04,411.5,411.5,411.5,411
2021-08-03,411.5,411.5,411.5,411
2021-08-02,411.5,411.55,411.25,411
2021-07-30,411.5,411.5,411.5,411
2021-07-29,411.5,411.5,411.5,411
2021-07-28,411.5,411.5,411.5,411
2021-07-27,411.5,411.5,411.25,411
2021-07-26,411.5,411.5,411.25,411
2021-07-23,411.5,411.5,411.5,411
2021-07-22,411.5,411.5,411.5,411
2021-07-21,411.5,411.5,411.5,411
2021-07-20,411.5,411.5,411.5,411
2021-07-19,411.5,411.5,411.25,411
2021-07-16,411.5,411.5,411.25,411
2021-07-15,411.5,411.5,411.5,411
2021-07-14,411.5,411.5,411.5,411
2021-07-13,411.5,411.5,411.5,411
2021-07-12,411.5,411.5,411.25,411
2021-07-09,411.5,411.5,411.5,411
2021-07-08,411.5,411.5,411.5,411
2021-07-07,411.5,411.5,411.25,411
2021-07-06,411.5,411.5,411.5,411
2021-07-05,411.5,411.5,411.25,411
2021-07-02,411.5,411.5,411.25,411
2021-07-01,411.5,411.5,411.5,411
2021-06-30,411.5,411.5,411.5,411
2021-06-29,411.5,411.5,411.5,411
2021-06-28,411.5,411.5,411.25,411
2021-06-25,411.5,411.5,410.75,411
2021-06-24,411.5,411.5,411.5,411
2021-06-23,411.38,411.5,410.25,411
