Date,Open,High,Low,Close
2003-06-02,2579,2584,2579,2584
2003-06-09,2584,2589,2584,2589
2003-06-16,2589,2594,2589,2594
2003-06-23,2594,2599,2594,2599
2003-06-30,2599,2625,2599,2625
2003-07-07,2625,2630,2625,2630
2003-07-14,2630,2635,2630,2635
2003-07-21,2635,2640,2635,2640
2003-07-28,2640,2645,2640,2645
2003-08-04,2645,2650,2645,2650
2003-08-11,2650,2655,2650,2655
2003-08-18,2655,2660,2655,2660
2003-08-25,2660,2671,2660,2671
2003-09-01,2671,2676,2671,2676
2003-09-08,2676,2681,2676,2681
2003-09-15,2681,2686,2681,2686
2003-09-22,2686,2691,2686,2691
2003-09-29,2691,2717,2691,2717
2003-10-06,2717,2722,2717,2722
2003-10-13,2722,2727,2722,2727
2003-10-20,2727,2732,2727,2732
2003-10-27,2732,2763,2732,2763
2003-11-03,2763,2768,2763,2768
2003-11-10,2768,2773,2768,2773
2003-11-17,2773,2778,2773,2778
2003-11-24,2778,2809,2778,2809
2003-12-01,2809,2814,2809,2814
2003-12-08,2814,2819,2814,2819
2003-12-15,2819,2824,2819,2824
2003-12-22,2824,2829,2824,2829
2003-12-29,2829,2855,2829,2855
