Date,Open,High,Low,Close
2022-03-03,22.2552,22.499,22.1609,22.1378
2022-03-02,22.2432,22.4489,21.9346,22.0303
2022-03-01,22.0608,22.441,21.9541,22.0204
2022-02-28,22.1279,22.2133,21.887,21.8379
2022-02-25,22.115,22.2929,21.8963,21.7294
2022-02-24,21.8775,22.3721,21.7607,21.8828
2022-02-23,21.8408,22.0638,21.7684,21.6718
2022-02-22,21.8756,21.9239,21.7206,21.6297
2022-02-21,21.8582,21.8901,21.7449,21.6584
2022-02-18,21.785,21.8727,21.695,21.6297
2022-02-17,21.7591,21.938,21.6757,21.5631
2022-02-16,21.7832,21.8468,21.6814,21.5403
2022-02-15,21.893,21.8959,21.7095,21.5688
2022-02-14,21.6669,21.9318,21.6508,21.6699
2022-02-11,21.6592,22.0082,21.406,21.5821
2022-02-10,21.6611,21.7654,21.3781,21.4385
2022-02-09,21.6782,21.7409,21.4199,21
2022-02-08,21.6308,21.8965,21.6089,21.4554
2022-02-07,21.6176,21.7287,21.4017,21.4104
2022-02-04,21.6403,21.7296,21.3885,21.3936
2022-02-03,21.891,21.9629,21.568,21.416
2022-02-02,21.959,22.09,21.7913,21.6699
2022-02-01,22.0274,22.166,21.9335,21.7314
2022-01-31,22.1973,22.2415,21.8252,21.8087
2022-01-28,22.2073,22.2512,21.8252,21.973
2022-01-27,22.0216,22.3513,21.706,21.9809
2022-01-26,21.9007,22.1015,21.6946,21.7913
2022-01-25,21.8456,22.0484,21.7127,21.6775
2022-01-24,21.8216,21.9984,21.6518,21.6335
2022-01-21,21.8775,21.9618,21.647,21.5954
2022-01-20,21.8206,21.9618,21.7034,21.6603
2022-01-19,21.8505,21.9956,21.5976,21.5954
2022-01-18,21.5,22.0394,21.3441,21.624
2022-01-17,21.5,21.7522,21.44,21
2022-01-14,21.5969,21.7456,21.3875,21
2022-01-13,21.6298,21.715,21.4941,21.388
2022-01-12,21.7678,21.7956,21.6101,21.4142
2022-01-11,21.8543,21.9466,21.6867,21.546
2022-01-10,21.7994,22.0013,21.735,21.6259
2022-01-07,21.9075,21.9201,21.7327,21.5631
2022-01-06,21.8746,21.9318,21.8286,21.6794
2022-01-05,21.9337,22.0108,21.761,21.6545
2022-01-04,21.9066,22.0647,21.7415,21.7006
2022-01-03,21.7659,22.033,21.6983,21.6852
2021-12-31,21.8563,21.8959,21.7053,21.5384
2021-12-30,21.8081,22.0147,21.7259,21.6278
2021-12-29,21.8814,21.9878,21.4584,21.5897
2021-12-28,21.8486,22.0753,21.836,21.6622
2021-12-27,21.8562,22.0349,21.7807,21.6278
2021-12-24,21.8447,21.9859,21.8177,21.6411
2021-12-23,21.8486,22.0474,21.4777,21.6278
2021-12-22,21.9386,22.1225,21.8235,21.6278
2021-12-21,21.9473,21.9698,21.9318,21.7102
2021-12-20,22.0127,22.1005,21.4938,21.7256
2021-12-17,21.837,22.0525,21.8081,21.801
2021-12-16,21.9162,22.033,21.7493,21.6201
2021-12-15,21.9804,22.2122,21.7493,21.689
2021-12-14,21.9308,22.1831,21.5217,21.7584
2021-12-13,21.8707,22.0504,21.4571,21.7006
2021-12-10,21.9201,22.0475,21.456,21.6431
2021-12-09,21.8158,22.134,21.8129,21.691
2021-12-08,21.9658,22.0715,21.4879,21.5973
2021-12-07,21.9318,22.2063,21.5063,21.741
2021-12-06,21.892,22.1796,21.5063,21.7063
2021-12-03,21.9007,21.9705,21.4969,21.6584
2021-12-02,21.8629,22.0936,21.443,21.6756
2021-12-01,21.8283,22.0878,21.4733,21.6411
2021-11-30,21.9172,22.0755,21.7458,21.603
2021-11-29,21.9182,22.1782,21.5373,21.6929
2021-11-26,22.0805,22.0864,21.4702,21.6411
2021-11-25,22.1022,22.1022,22.0392,21.8554
2021-11-24,22.0049,22.2972,21.9941,21.871
2021-11-23,22.0254,22.0451,21.7068,21.7758
2021-11-22,21.9551,22.1804,21.4674,21.8049
2021-11-19,21.7707,21.9951,21.565,21.716
2021-11-18,21.863,22.0254,21.4271,21.5403
2021-11-17,21.8649,21.9541,21.3019,21.6431
2021-11-16,21.7678,22.0783,21.3019,21.6431
2021-11-15,21.612,21.9585,21.4066,21.5498
2021-11-12,21.6082,21.6432,21.2094,21.4048
2021-11-11,21.5611,21.6298,21.5442,21.3973
2021-11-10,21.35,21.6225,21.2094,21.3433
2021-11-09,21.3565,21.4609,21.1834,21.1297
2021-11-08,21.3971,21.4783,21.1978,21.1425
2021-11-05,21.4239,21.5874,21.2487,21.1772
2021-11-04,21.3123,21.5726,21.2482,21.1992
2021-11-03,21.3777,21.4691,21.1787,21.097
2021-11-02,21.3289,21.4563,21.2879,21.1553
2021-11-01,21.4202,21.4829,21.0872,21.1079
2021-10-29,21.1873,21.4541,21.0872,21.1849
2021-10-28,21.3301,21.4508,21.0906,20.9702
2021-10-27,21.3445,21.3637,21.0967,21.1137
2021-10-26,21.3246,21.4485,21.2385,21.1265
2021-10-25,21.2672,21.4405,21.0775,21.1003
2021-10-22,21.2944,21.4155,21.0734,21.0367
2021-10-21,21.2483,21.4162,21.0734,21.075
2021-10-20,21.2766,21.4188,21.2186,21.0269
2021-10-19,21.3173,21.4271,21.0653,21.0613
2021-10-18,21.3652,21.4595,21.1029,21.0994
2021-10-15,21.343,21.4706,21.1066,21.1174
2021-10-14,21.35,21.474,21.1001,21.1248
2021-10-13,21.4642,21.576,21.1602,21.1266
2021-10-12,21.4188,21.5788,21.1371,21.2483
2021-10-11,21.3997,21.4295,21.3606,21.2034
2021-10-08,21.4224,21.563,21.372,21.1557
2021-10-07,21.4178,21.429,21.1373,21.2044
2021-10-06,21.3398,21.5745,21.2754,21.1989
2021-10-05,21.2975,21.4249,21.0882,21.1256
2021-10-04,21.3229,21.4206,21.0776,21
2021-10-01,21.3786,21.403,21.093,21.1292
2021-09-30,21.3411,21.4682,21.1513,21.1604
2021-09-29,21.1837,21.3541,21.024,21.1266
2021-09-28,21.1547,21.2976,20.9219,20.9692
2021-09-27,21.1168,21.3813,20.9447,20.9469
2021-09-24,21.0839,21.2676,20.9096,20.9012
2021-09-23,21.1741,21.2844,20.9008,20.87
2021-09-22,21.1079,21.2801,20.9866,20.9602
2021-09-21,21.1087,21.2064,21.0121,20.894
2021-09-20,21.1047,21.2694,20.9141,20.8916
2021-09-17,21.0352,21.2473,20.9218,20.8932
2021-09-16,20.947,21.2233,20.8779,20.817
2021-09-15,20.9692,20.9736,20.8243,20.7349
2021-09-14,20.955,21.1807,20.835,20.7544
2021-09-13,20.9555,21.2219,20.8748,20.7428
2021-09-10,20.9284,20.9573,20.822,20.7419
2021-09-09,20.9444,20.9644,20.8365,20.72
2021-09-08,20.9046,20.97,20.7957,20.7342
2021-09-07,20.8508,20.9071,20.7792,20.6885
2021-09-06,20.8525,20.8745,20.8434,20.6366
2021-09-03,20.8415,20.8574,20.7839,20.6232
2021-09-02,20.9001,20.913,20.839,20.6294
2021-09-01,20.9572,20.983,20.7999,20.6923
2021-08-31,20.9804,20.9825,20.833,20.7472
2021-08-30,20.9798,21.0039,20.8463,20.7678
2021-08-27,21.0606,21.0897,20.8473,20.763
2021-08-26,21.0253,21.2279,20.8697,20.8478
2021-08-25,21.0525,21.2455,20.8794,20.8115
2021-08-24,21.0692,21.1041,20.9077,20.8356
2021-08-23,21.1609,21.3238,21.0315,20.8569
2021-08-20,21.1991,21.3766,20.9644,20.9387
2021-08-19,21.1263,21.3724,20.9167,20.9799
2021-08-18,21.1361,21.1628,20.9146,20.9235
2021-08-17,21.0128,21.3124,20.8798,20.9247
2021-08-16,20.9877,21.2091,20.8614,20.8037
2021-08-13,21.1006,21.243,20.9078,20.7674
2021-08-12,21.0844,21.1092,20.964,20.8825
2021-08-11,21.1178,21.2841,20.8726,20.8666
2021-08-10,21.0857,21.2603,20.8648,20.903
2021-08-09,21.0655,21.2381,20.8141,20.8754
2021-08-06,20.9129,21.221,20.8489,20.8283
2021-08-05,20.9085,21.0039,20.7257,20.7051
2021-08-04,20.8641,21.1011,20.8,20.6976
2021-08-03,20.8526,20.8772,20.8105,20.6493
2021-08-02,20.8619,21.1,20.8066,20.6362
2021-07-30,20.8201,20.8787,20.7288,20.638
2021-07-29,20.8948,20.8997,20.7452,20.6104
2021-07-28,20.9444,21.1434,20.8341,20.688
2021-07-27,20.9578,21.1568,20.9027,20.7324
2021-07-26,21.032,21.1127,20.8786,20.7577
2021-07-23,21.0352,21.0552,20.7569,20.8071
2021-07-22,20.9901,21.0191,20.7817,20.8062
2021-07-21,21.0075,21.172,20.9587,20.7
2021-07-20,20.972,21.1698,20.941,20.7958
2021-07-19,20.9568,21.1876,20.9368,20.7641
2021-07-16,20.9582,20.9874,20.9364,20.7518
2021-07-15,20.909,21.2087,20.8865,20.7421
2021-07-14,21.0175,21.1556,20.859,20.6972
2021-07-13,20.861,21.1052,20.8268,20.803
2021-07-12,20.8481,20.9081,20.7098,20.6507
2021-07-09,20.8997,20.9293,20.7422,20.6215
2021-07-08,20.9924,21.145,20.7224,20.6817
2021-07-07,20.932,21.0044,20.7392,20.7782
2021-07-06,20.8614,21.1723,20.7109,20.7209
2021-07-05,20.8733,20.8824,20.7794,20.6435
2021-07-02,20.886,20.954,20.7322,20.6414
2021-07-01,20.8702,20.9978,20.6132,20.6745
2021-06-30,20.8044,21.016,20.6135,20.6608
2021-06-29,20.7514,20.961,20.6439,20.5939
2021-06-28,20.7294,20.9652,20.4029,20.5464
2021-06-25,20.764,20.914,20.2884,20.5021
2021-06-24,20.76,20.9183,20.6198,20.5279
2021-06-23,20.75,20.9226,20.4447,20.52
2021-06-22,20.77,20.9941,20.4506,20.5
2021-06-21,20.8115,20.97,20.2785,20.5537
2021-06-18,20.7769,20.8245,20.7769,20.6229
2021-06-17,20.68,20.7769,20.2087,20.5537
2021-06-16,20.599,20.68,20.2974,20.36
2021-06-15,20.599,20.6073,20.4,20.1979
2021-06-14,20.6114,20.6114,20.3599,20.1979
2021-06-11,20.5575,20.6114,20.2068,20.2229
2021-06-10,20.541,20.574,20.541,20.1149
2021-06-09,20.5492,20.5492,20.35,19.9
2021-06-08,21.5376,21.554,20.2444,19.9839
2021-06-07,21.5623,21.5705,21.301,20.0655
2021-06-04,21.5996,21.6121,20.35,20.1149
2021-06-03,21.5294,21.5996,21.0328,20.1895
2021-06-02,21.5173,21.554,21.0087,20.0491
2021-06-01,21.513,21.5173,20.3,20.025
2021-05-31,21.5458,21.5458,20.6039,19.9218
2021-05-28,21.5348,21.5913,20.3486,20.082
