Date,Open,High,Low,Close
2022-03-02,2.9116,2.9365,2.897,2.905
2022-03-01,2.8947,2.9299,2.882,2.9236
2022-02-28,2.904,2.9169,2.8733,2.9069
2022-02-25,2.9092,2.9142,2.8739,2.904
2022-02-24,2.8785,2.9248,2.8571,2.8992
2022-02-23,2.8785,2.8913,2.86,2.8874
2022-02-22,2.8777,2.8967,2.8609,2.8757
2022-02-21,2.8647,2.8917,2.8599,2.8786
2022-02-18,2.8695,2.8921,2.8581,2.8863
2022-02-17,2.872,2.886,2.8545,2.8695
2022-02-16,2.8792,2.8848,2.8542,2.872
2022-02-15,2.88,2.8965,2.8623,2.8792
2022-02-14,2.8542,2.8957,2.8542,2.88
2022-02-11,2.858,2.887,2.8542,2.8832
2022-02-10,2.8584,2.882,2.8282,2.8697
2022-02-09,2.8768,2.882,2.8353,2.8699
2022-02-08,2.8532,2.8804,2.8467,2.8598
2022-02-07,2.8595,2.88,2.8437,2.8536
2022-02-04,2.8521,2.882,2.8396,2.8626
2022-02-03,2.8706,2.9084,2.8451,2.8523
2022-02-02,2.8766,2.9023,2.8651,2.8709
2022-02-01,2.8953,2.9109,2.8752,2.8764
2022-01-31,2.9028,2.924,2.8703,2.8833
2022-01-28,2.9333,2.9373,2.8734,2.9099
2022-01-27,2.8823,2.936,2.865,2.9334
2022-01-26,2.88,2.9105,2.8717,2.8909
2022-01-25,2.9006,2.9118,2.865,2.8891
2022-01-24,2.8836,2.9076,2.87,2.901
2022-01-21,2.8705,2.9036,2.86,2.8726
2022-01-20,2.8727,2.904,2.86,2.8705
2022-01-19,2.8698,2.8989,2.86,2.8976
2022-01-18,2.8746,2.8927,2.8534,2.8706
2022-01-17,2.8705,2.882,2.86,2.8755
2022-01-14,2.8577,2.888,2.84,2.8845
2022-01-13,2.8725,2.882,2.8429,2.8471
2022-01-12,2.8947,2.897,2.8478,2.8808
2022-01-11,2.902,2.9035,2.8583,2.8944
2022-01-10,2.8764,2.9044,2.8657,2.9013
2022-01-07,2.8751,2.899,2.8628,2.8635
2022-01-06,2.8719,2.9063,2.865,2.8744
2022-01-05,2.8765,2.9,2.8638,2.8719
2022-01-04,2.8728,2.9,2.8689,2.8767
2022-01-03,2.8745,2.9094,2.8608,2.8728
2021-12-31,2.8717,2.9,2.8625,2.8701
2021-12-30,2.8676,2.9,2.8612,2.8717
2021-12-29,2.8705,2.9,2.8597,2.8678
2021-12-28,2.867,2.898,2.8661,2.8707
2021-12-27,2.8815,2.89,2.8665,2.867
2021-12-24,2.882,2.89,2.8653,2.8702
2021-12-23,2.8852,2.9064,2.8675,2.8684
2021-12-22,2.877,2.9,2.8668,2.8785
2021-12-21,2.877,2.9,2.872,2.877
2021-12-20,2.882,2.905,2.8726,2.8768
2021-12-17,2.8682,2.882,2.839,2.8587
2021-12-16,2.8802,2.9062,2.8412,2.8689
2021-12-15,2.8843,2.9,2.873,2.8802
2021-12-14,2.877,2.9134,2.8689,2.8843
2021-12-13,2.882,2.9,2.873,2.877
2021-12-10,2.8756,2.8902,2.8702,2.8714
2021-12-09,2.8638,2.907,2.8636,2.8756
2021-12-08,2.89,2.8986,2.8619,2.8638
2021-12-07,2.8765,2.9103,2.8737,2.8799
2021-12-06,2.8785,2.905,2.8725,2.8767
2021-12-03,2.8762,2.9,2.8689,2.8793
2021-12-02,2.8699,2.895,2.8394,2.8758
2021-12-01,2.8666,2.895,2.8342,2.8697
2021-11-30,2.886,2.9,2.84,2.8779
2021-11-29,2.8931,2.9,2.8512,2.8747
2021-11-26,2.8921,2.915,2.8773,2.8803
2021-11-25,2.8939,2.915,2.88,2.8921
2021-11-24,2.8853,2.915,2.87,2.8935
2021-11-23,2.8585,2.8966,2.853,2.8848
2021-11-22,2.8685,2.8855,2.8497,2.8592
2021-11-19,2.8591,2.89,2.8344,2.8501
2021-11-18,2.8686,2.8827,2.8342,2.8585
2021-11-17,2.8696,2.888,2.8395,2.8686
2021-11-16,2.8595,2.8801,2.8305,2.8699
2021-11-15,2.8388,2.8708,2.82,2.8357
2021-11-12,2.8524,2.8601,2.8195,2.8219
2021-11-11,2.8158,2.862,2.8142,2.8532
2021-11-10,2.7962,2.8487,2.7957,2.816
2021-11-09,2.7967,2.84,2.7938,2.7958
2021-11-08,2.8283,2.845,2.7962,2.797
2021-11-05,2.8247,2.8437,2.7998,2.8131
2021-11-04,2.8279,2.848,2.7919,2.8361
2021-11-03,2.8375,2.844,2.792,2.8279
2021-11-02,2.8079,2.84,2.7943,2.8325
2021-11-01,2.8185,2.8398,2.7934,2.8079
2021-10-29,2.8183,2.8387,2.7837,2.8141
2021-10-28,2.8203,2.837,2.785,2.8023
2021-10-27,2.8251,2.841,2.7924,2.829
2021-10-26,2.8201,2.84,2.8048,2.8251
2021-10-25,2.8126,2.8308,2.7862,2.8201
2021-10-22,2.8176,2.8332,2.8007,2.8017
2021-10-21,2.8127,2.8251,2.8011,2.8174
2021-10-20,2.8157,2.83,2.7893,2.8015
2021-10-19,2.8128,2.835,2.7986,2.8188
2021-10-18,2.8155,2.8225,2.8137,2.8137
2021-10-15,2.8089,2.8299,2.7914,2.7948
2021-10-14,2.83,2.8318,2.7926,2.8299
2021-10-13,2.8394,2.8394,2.8087,2.8306
2021-10-12,2.8295,2.843,2.8129,2.8394
2021-10-11,2.8251,2.837,2.8107,2.8153
2021-10-08,2.8385,2.8407,2.8105,2.8339
2021-10-07,2.8358,2.845,2.8008,2.8297
2021-10-06,2.8217,2.8426,2.8105,2.8358
2021-10-05,2.8193,2.835,2.7952,2.8218
2021-10-04,2.808,2.8265,2.8028,2.8193
2021-10-01,2.8098,2.8324,2.7941,2.8291
2021-09-30,2.805,2.8338,2.7936,2.8311
2021-09-29,2.8119,2.8206,2.7794,2.8067
2021-09-28,2.7951,2.82,2.7772,2.797
2021-09-27,2.792,2.81,2.7755,2.7952
2021-09-24,2.798,2.8065,2.7706,2.7923
2021-09-23,2.8068,2.813,2.7692,2.7918
2021-09-22,2.7736,2.8071,2.7684,2.7799
2021-09-21,2.8064,2.812,2.7697,2.8018
2021-09-20,2.7991,2.812,2.7729,2.8064
2021-09-17,2.7962,2.8059,2.78,2.8002
2021-09-16,2.7856,2.8021,2.7621,2.7959
2021-09-15,2.789,2.7946,2.7556,2.787
2021-09-14,2.7926,2.7944,2.7731,2.7872
2021-09-13,2.7722,2.7957,2.7583,2.7859
2021-09-10,2.7923,2.7942,2.768,2.7933
2021-09-09,2.7901,2.7955,2.768,2.7873
2021-09-08,2.786,2.7976,2.77,2.7852
2021-09-07,2.7939,2.7946,2.7661,2.7912
2021-09-06,2.7625,2.7961,2.76,2.7939
2021-09-03,2.7832,2.7875,2.7476,2.7817
2021-09-02,2.7813,2.7935,2.7526,2.7832
2021-09-01,2.7864,2.7968,2.7522,2.7879
2021-08-31,2.781,2.7935,2.7695,2.7864
2021-08-30,2.7905,2.8015,2.7794,2.7809
2021-08-27,2.8061,2.8082,2.7615,2.7811
2021-08-26,2.786,2.8072,2.7658,2.8061
2021-08-25,2.7952,2.8082,2.7652,2.7858
2021-08-24,2.7993,2.8143,2.781,2.8006
2021-08-23,2.7975,2.8172,2.7872,2.7994
2021-08-20,2.811,2.8126,2.7937,2.7949
2021-08-19,2.7931,2.8113,2.7785,2.8109
2021-08-18,2.8062,2.8083,2.7857,2.7931
2021-08-17,2.7914,2.8064,2.7638,2.7931
2021-08-16,2.7915,2.7934,2.7628,2.7834
2021-08-13,2.7997,2.7997,2.7871,2.7884
2021-08-12,2.7979,2.8006,2.78,2.7901
2021-08-11,2.7883,2.8064,2.78,2.789
2021-08-10,2.7851,2.7966,2.7819,2.7881
2021-08-09,2.7855,2.795,2.7697,2.7893
2021-08-06,2.7856,2.7999,2.76,2.7988
2021-08-05,2.7688,2.7885,2.75,2.7859
2021-08-04,2.7844,2.7888,2.7584,2.7882
2021-08-03,2.7678,2.7858,2.75,2.7714
2021-08-02,2.768,2.7833,2.7462,2.7625
2021-07-30,2.7604,2.7829,2.7439,2.7638
2021-07-29,2.7676,2.79,2.7479,2.7606
2021-07-28,2.7782,2.7972,2.7527,2.7741
2021-07-27,2.7947,2.7999,2.7539,2.791
2021-07-26,2.7835,2.8054,2.7616,2.793
2021-07-23,2.7847,2.8052,2.7636,2.7972
2021-07-22,2.7821,2.805,2.7613,2.7847
2021-07-21,2.7868,2.8044,2.78,2.7817
2021-07-20,2.7933,2.8079,2.7803,2.7868
2021-07-19,2.7875,2.8078,2.7625,2.7803
2021-07-16,2.7785,2.8036,2.7579,2.7794
2021-07-15,2.792,2.8064,2.7522,2.7917
2021-07-14,2.7968,2.8133,2.7623,2.7882
2021-07-13,2.7506,2.8,2.7481,2.7838
2021-07-12,2.7715,2.805,2.7484,2.7506
2021-07-09,2.7742,2.805,2.7687,2.7752
2021-07-08,2.7892,2.7984,2.7704,2.7741
2021-07-07,2.7837,2.805,2.7558,2.7816
2021-07-06,2.7773,2.7867,2.7449,2.7837
2021-07-05,2.773,2.7869,2.7472,2.7771
2021-07-02,2.7794,2.8,2.7697,2.7711
2021-07-01,2.7854,2.7878,2.7664,2.7794
2021-06-30,2.7812,2.7878,2.7448,2.7854
2021-06-29,2.7757,2.782,2.7408,2.7812
2021-06-28,2.7585,2.7789,2.7566,2.7756
2021-06-25,2.7749,2.7798,2.7506,2.7747
2021-06-24,2.7756,2.7798,2.736,2.7619
2021-06-23,2.7598,2.7789,2.7518,2.7789
2021-06-22,2.7768,2.79,2.7428,2.76
2021-06-21,2.7835,2.8,2.7602,2.7768
2021-06-18,2.7667,2.7938,2.7399,2.7726
2021-06-17,2.7509,2.7858,2.7284,2.7654
2021-06-16,2.7446,2.7657,2.7238,2.7652
2021-06-15,2.7453,2.755,2.7061,2.7449
2021-06-14,2.7282,2.7481,2.7253,2.7455
2021-06-11,2.7384,2.763,2.7144,2.7469
2021-06-10,2.7369,2.7557,2.7149,2.7281
2021-06-09,2.7367,2.754,2.71,2.7371
2021-06-08,2.7333,2.7461,2.7142,2.7225
2021-06-07,2.7282,2.7499,2.7136,2.7275
2021-06-04,2.7278,2.76,2.7159,2.7308
2021-06-03,2.7226,2.7462,2.7106,2.7446
2021-06-02,2.731,2.7399,2.7086,2.7227
2021-06-01,2.7117,2.7317,2.7044,2.731
2021-05-31,2.7288,2.747,2.7082,2.7117
2021-05-28,2.723,2.7478,2.7,2.7231
2021-05-27,2.7218,2.7353,2.7085,2.7228
2021-05-26,2.7168,2.7322,2.7,2.7216
2021-05-25,2.7196,2.73,2.7026,2.7121
2021-05-24,2.7205,2.7331,2.709,2.7193
2021-05-21,2.7111,2.7336,2.7065,2.7183
2021-05-20,2.7199,2.7314,2.7083,2.7175
2021-05-19,2.7178,2.735,2.7059,2.7193
2021-05-18,2.7278,2.74,2.7003,2.7181
2021-05-17,2.7282,2.7478,2.7185,2.7288
2021-05-14,2.7344,2.7401,2.7193,2.7233
2021-05-13,2.7359,2.7452,2.728,2.7341
2021-05-12,2.7237,2.7434,2.721,2.7355
2021-05-11,2.7276,2.7358,2.7128,2.7236
2021-05-10,2.7445,2.7445,2.7128,2.7266
2021-05-07,2.7367,2.7548,2.7199,2.7222
2021-05-06,2.7548,2.758,2.7282,2.7442
2021-05-05,2.7461,2.7588,2.7282,2.7482
2021-05-04,2.7443,2.7549,2.7282,2.7463
2021-05-03,2.7395,2.7511,2.7263,2.7373
2021-04-30,2.7328,2.753,2.7114,2.7473
2021-04-29,2.7402,2.7402,2.706,2.7261
2021-04-28,2.7398,2.755,2.7165,2.7347
2021-04-27,2.7278,2.756,2.7216,2.7398
2021-04-26,2.732,2.7438,2.7182,2.7278
2021-04-23,2.74,2.7515,2.7203,2.7248
2021-04-22,2.747,2.7545,2.7225,2.7508
2021-04-21,2.7302,2.7534,2.7282,2.7467
2021-04-20,2.7402,2.75,2.7196,2.7403
2021-04-19,2.759,2.7602,2.7343,2.7406
