Date,Open,High,Low,Close
2022-03-31,2320,2327,2315.5,2315
2022-03-30,2321,2322,2316,2315
2022-03-29,2320,2322,2312,2315
2022-03-28,2320,2321,2313,2315
2022-03-25,2319,2321,2312,2315
2022-03-24,2318,2321,2316,2315
2022-03-23,2318,2320.5,2316,2315
2022-03-22,2316,2320,2310,2315
2022-03-21,2316,2320,2315,2313
2022-03-18,2316,2318,2312.5,2313
2022-03-17,2316,2317.5,2312,2312
2022-03-16,2316,2317,2315,2312
2022-03-15,2316,2317,2314.5,2311
2022-03-14,2316,2316,2310,2311
2022-03-11,2315,2316.5,2311.5,2311
2022-03-10,2316,2316,2314,2311
2022-03-09,2315,2316,2313,2310
2022-03-08,2315,2316,2312,2311
2022-03-07,2315,2316.5,2315,2311
2022-03-04,2315,2316,2313,2311
2022-03-03,2315,2316,2314.5,2311
2022-03-02,2309,2316,2314,2311
2022-03-01,2315,2316,2313,2310
2022-02-28,2313,2316,2312,2310
2022-02-25,2314,2316,2313,2310
2022-02-24,2315,2316,2313.5,2310
2022-02-23,2314,2316,2312.5,2309
2022-02-22,2313,2314,2313,2309
2022-02-21,2313,2315,2312,2309
2022-02-18,2313,2315,2313,2310
2022-02-17,2314,2315,2312,2310
2022-02-16,2313.5,2318,2308,2310
2022-02-15,2312,2314,2311.5,2307
2022-02-14,2312,2314.5,2309.5,2309
2022-02-11,2312,2314,2310,2309
2022-02-10,2312,2314,2310,2309
2022-02-09,2312,2316,2307,2309
2022-02-08,2312,2313,2307,2308
2022-02-07,2312,2313,2307,2308
2022-02-04,2310,2313,2306.5,2308
2022-02-03,2310,2319,2310,2308
2022-02-02,2312,2319,2309.5,2307
2022-02-01,2309,2312,2307,2307
2022-01-31,2310,2313,2307,2306
2022-01-28,2310,2313,2307,2305
2022-01-27,2311,2311,2308,2305
2022-01-26,2309.5,2311,2308,2305
2022-01-25,2310,2311,2308,2305
2022-01-24,2310,2310,2304,2305
2022-01-21,2310,2310.5,2308,2305
2022-01-20,2300,2310,2300,2305
2022-01-19,2300,2309.5,2300,2304
2022-01-18,2300,2308,2300,2303
2022-01-17,2300,2308.5,2300,2303
2022-01-14,2300,2308.5,2300,2302
2022-01-13,2300,2308,2300,2302
2022-01-12,2300,2307,2300,2302
2022-01-11,2300,2308.5,2300,2302
2022-01-10,2300,2308.5,2300,2302
2022-01-07,2300,2308,2300,2303
2022-01-06,2300,2308,2300,2302
2022-01-05,2300,2307,2300,2302
2022-01-04,2300,2309,2300,2302
2022-01-03,2300,2307,2300,2301
2021-12-31,2300,2306,2300,2301
2021-12-30,2300,2307,2300,2301
2021-12-29,2300,2306,2300,2301
2021-12-28,2300,2307,2300,2300
2021-12-27,2300,2307,2300,2300
2021-12-24,2300,2307,2300,2301
2021-12-23,2300,2310,2300,2301
2021-12-22,2300,2310,2300,2301
2021-12-21,2300,2307,2300,2300
2021-12-20,2300,2306.5,2300,2300
2021-12-17,2300,2308.5,2300,2300
2021-12-16,2300,2305,2300,2300
2021-12-15,2300,2307.5,2300,2300
2021-12-14,2300,2307.5,2300,2300
2021-12-13,2300,2306,2300,2300
2021-12-10,2300,2307.5,2300,2298
2021-12-09,2300,2303,2300,2298
2021-12-08,2300,2306.5,2300,2298
2021-12-07,2300,2306,2300,2298
2021-12-06,2300,2305,2300,2298
2021-12-03,2300,2306,2300,2298
2021-12-02,2300,2304,2300,2299
2021-12-01,2300,2308.5,2300,2298
2021-11-30,2300,2303,2300,2298
2021-11-29,2300,2305,2300,2298
2021-11-26,2300,2305,2300,2298
2021-11-25,2300,2305,2300,2298
2021-11-24,2300,2304,2300,2298
2021-11-23,2300,2304,2300,2297
2021-11-22,2300,2305,2300,2297
2021-11-19,2300,2305,2300,2297
2021-11-18,2300,2305,2300,2297
2021-11-17,2300,2303,2300,2296
2021-11-16,2300,2305,2300,2296
2021-11-15,2300,2305,2300,2296
2021-11-12,2300,2305,2300,2296
2021-11-11,2300,2305,2300,2296
2021-11-10,2300,2305,2300,2297
2021-11-09,2300,2305,2300,2297
2021-11-08,2300,2305,2300,2297
2021-11-05,2300,2305,2300,2296
2021-11-04,2300,2305.5,2300,2296
2021-11-03,2303,2305.5,2300,2298
2021-11-02,2303,2306.5,2300,2298
2021-11-01,2300,2306,2300,2298
2021-10-29,2300,2305.5,2300,2300
2021-10-28,2305,2309,2300,2295
2021-10-27,2300,2309,2300,2302
2021-10-26,2300,2305.5,2300,2300
2021-10-25,2300,2307,2300,2300
2021-10-22,2300,2309,2300,2300
2021-10-21,2300,2307,2300,2300
2021-10-20,2300,2309,2300,2300
2021-10-19,2300,2305,2300,2300
2021-10-18,2300,2309,2300,2300
2021-10-15,2300,2311.5,2300,2300
2021-10-14,2300,2305,2300,2300
2021-10-13,2300,2309,2300,2300
2021-10-12,2300,2319,2300,2299
2021-10-11,2300,2307,2300,2302
2021-10-08,2300,2309,2300,2299
2021-10-07,2300,2307,2300,2302
2021-10-06,2300,2308,2300,2302
2021-10-05,2300,2310,2300,2300
2021-10-04,2300,2312,2300,2300
2021-10-01,2300,2310,2300,2300
2021-09-30,2319,2319,2304.5,2301
2021-09-29,2310,2319,2304,2305
2021-09-28,2313,2319,2307,2304
2021-09-27,2315,2319,2309,2306
2021-09-24,2315,2319,2309,2314
2021-09-23,2319,2322.5,2309,2310
2021-09-22,2319,2319,2316,2311
2021-09-21,2319,2319.5,2317.5,2314
2021-09-20,2319,2320,2318,2314
2021-09-17,2319,2319.5,2318,2314
2021-09-16,2319,2319,2318.5,2314
2021-09-15,2319,2319,2315,2314
2021-09-14,2319,2319,2318,2314
2021-09-13,2319,2319,2318.5,2314
2021-09-10,2319,2319,2318,2313
2021-09-09,2319,2320,2318,2314
2021-09-08,2319,2319,2318,2314
2021-09-07,2319,2319,2318,2314
