Date,Open,High,Low,Close
2022-03-17,594.43,595.84,588.83,602.82
2022-03-16,598.36,598.94,593.26,605.485
2022-03-15,599.43,600.03,593.26,606.005
2022-03-14,592,599.81,592,599.54
2022-03-11,593.95,601.63,591,608.33
2022-03-10,592.18,598,590.53,591
2022-03-09,601.63,602.29,591.06,606.355
2022-03-08,603.9,604.57,592,609.585
2022-03-07,589,606.92,589,604.23
2022-03-04,592.66,602.46,588,604.75
2022-03-03,589.73,594.43,585,598.07
2022-03-02,589.47,593.14,582,595.09
2022-03-01,584.74,591.43,581,595.885
2022-02-28,578,587.51,578,593.52
2022-02-25,586.04,587.41,575,578
2022-02-24,580.03,590.53,575,585.94
2022-02-23,579.06,580.39,575,586.78
2022-02-22,579.88,581.06,574,585.85
2022-02-21,575.59,580.13,573.71,586.905
2022-02-18,577.22,578.45,573.98,574
2022-02-17,576.61,579.26,574,586.43
2022-02-16,577.43,578.14,573.65,586.26
2022-02-15,580.03,580.34,572,584.77
2022-02-14,575.44,581.42,572,585.36
2022-02-11,573.99,576.87,572.79,573
2022-02-10,574.09,576.06,570.55,582.02
2022-02-09,574.03,574.44,572.01,582.095
2022-02-08,573.19,575.55,570.73,581.645
2022-02-07,571.72,574.59,569.92,585.725
2022-02-04,573.34,578,569.57,584.445
2022-02-03,580.13,582.09,572.74,589.245
2022-02-02,581.88,582.94,578.78,592.69
2022-02-01,583.75,584.53,580,594.385
2022-01-31,587.82,588.46,579.05,594.5
2022-01-28,588.41,589.73,578,593.105
2022-01-27,583.49,589.2,578,588.46
2022-01-26,580.39,583.8,577,590.395
2022-01-25,578.9,582.35,577,588.11
2022-01-24,578.53,580.96,574.75,587.325
2022-01-21,579.04,579.16,575.02,584.985
2022-01-20,578.24,578.85,574.65,585.245
2022-01-19,579.11,579.47,573.67,585.085
2022-01-18,574.85,579.67,571.6,584.515
2022-01-17,573.24,575.75,570.17,584.36
2022-01-14,572.59,574.14,568.82,585.18
2022-01-13,575,576.45,570,584.455
2022-01-12,577.02,577.63,573.69,575
2022-01-11,579.06,579.77,575,587.39
2022-01-10,577.68,581.21,575.97,588.005
2022-01-07,580.75,580.96,576,587.34
2022-01-06,579.67,581.21,576,589.69
2022-01-05,581.21,581.63,575,587.415
2022-01-04,575,581.83,575,589.355
2022-01-03,576,577.72,575,575
2021-12-31,579.11,580.29,576,587.16
2021-12-30,577.83,580.49,575.8,588.53
2021-12-29,578.2,581.83,576,587.84
2021-12-28,578.55,578.69,576,576
2021-12-27,579.14,579.42,576.55,577.71
2021-12-24,578.96,580.29,578.14,588.63
2021-12-23,579.16,580.96,575.71,588.4
2021-12-22,580.52,582.04,578,588.505
2021-12-21,580.81,580.81,577.75,579.95
2021-12-20,583.46,583.59,577.09,580.2
2021-12-17,578.65,583.8,574.91,590.215
2021-12-16,581.03,581.03,577.33,587.895
2021-12-15,582.56,584.48,577.68,590.135
2021-12-14,580.19,582.87,578,590.905
2021-12-13,578.28,582.5,577,579.04
2021-12-10,580.75,582.24,577,577
2021-12-09,578.29,581.57,576,591.005
2021-12-08,582.19,582.24,577.46,588.06
2021-12-07,581.06,584.16,578.02,591.32
2021-12-06,579.47,582.19,577.57,588.225
2021-12-03,580.34,582.19,577.62,587.18
2021-12-02,579.42,580.7,574,587.655
2021-12-01,578.5,580.34,574,587.14
2021-11-30,580.8,583.75,576.16,588.41
2021-11-29,580.61,582.61,578,591.345
2021-11-26,585.15,585.31,579.31,591.055
2021-11-25,585.68,585.68,581.93,594.805
2021-11-24,583.18,586.36,580,592.265
2021-11-23,583.8,584.27,580,590.645
2021-11-22,579.92,584.06,576.79,588.695
2021-11-19,576.77,583.02,574.8,586.735
2021-11-18,579.42,579.72,576.24,584.29
2021-11-17,579.31,582.3,571.02,579.36
2021-11-16,576.87,579.93,570.71,579.42
2021-11-15,563,577.58,563,581.82
2021-11-12,572.69,573.69,563,567.54
2021-11-11,563,577.36,563,580.72
2021-11-10,565.28,565.55,563,563
2021-11-09,565.83,565.83,562.91,564.77
2021-11-08,567.86,567.86,564.86,565.28
2021-11-05,567.68,569.7,564.67,575.33
2021-11-04,564.85,568.96,563,575.15
2021-11-03,566.46,567.29,562,574.39
2021-11-02,564.99,566.65,562.21,574.475
2021-11-01,565.14,568.03,560.85,573.815
2021-10-29,561.56,568.47,560.85,573.345
2021-10-28,565.09,566.31,560.93,570.435
2021-10-27,565.24,566.16,562,572.09
2021-10-26,564.99,566.16,562,571.895
2021-10-25,561.59,565.92,559.67,572.905
2021-10-22,564.31,564.41,560,561.74
2021-10-21,563,564.46,560,573.745
2021-10-20,563.78,564.6,560,573.07
2021-10-19,564.85,565.04,560,573.025
2021-10-18,565.43,566.6,562.02,573.61
2021-10-15,565.58,566.02,562.02,574.755
2021-10-14,565.77,566.21,562.63,575.41
2021-10-13,568.91,568.96,564.75,575.115
2021-10-12,567.78,569.16,564.61,576.815
2021-10-11,566.86,567.93,563.64,576.93
2021-10-08,567.83,568.27,564,576.455
2021-10-07,565.27,567.98,563,575.22
2021-10-06,561,565.84,561,563
2021-10-05,562,563.44,561,561
2021-10-04,565.4,565.4,562,562
2021-10-01,566.21,567.24,560.91,572.22
2021-09-30,565.53,567.24,558.77,572.56
2021-09-29,561.41,565.97,558.77,571.225
2021-09-28,560.74,562.14,557,569.17
2021-09-27,559.77,561.13,557,568.88
2021-09-24,558.69,560.6,555.75,568.06
2021-09-23,561.17,561.41,556.01,567.445
2021-09-22,559.36,561.32,556,569.3
2021-09-21,559.26,559.88,556,566.535
2021-09-20,554,560.6,554,567.035
2021-09-17,557.36,559.21,552,564.84
2021-09-16,555.14,558.17,552,565
2021-09-15,555.61,555.9,551.81,564.58
2021-09-14,555.33,555.85,551.81,563.415
2021-09-13,554.78,557.27,551.67,563.345
2021-09-10,554.63,555,552.91,563.01
2021-09-09,555,555.61,552.03,562.1
2021-09-08,553.92,555.75,549,562.525
2021-09-07,552.57,554.11,549,562.36
2021-09-06,552.05,553.27,549.14,561.635
2021-09-03,552.34,552.76,549.51,561.495
2021-09-02,553.88,554.25,550.95,562.14
2021-09-01,549.78,555.24,549.27,562.98
2021-08-31,550.38,551.98,548.06,561.33
2021-08-30,554.34,554.99,550.01,561.635
2021-08-27,552.54,554.59,550.15,564.065
2021-08-26,551.6,555,551.18,563.645
2021-08-25,552.44,555.28,551.46,563.625
2021-08-24,557,557.85,551.88,564.43
2021-08-23,558,559.36,552.87,557
2021-08-20,556.09,558,554.99,558
2021-08-19,554.38,557.41,554.14,564.785
2021-08-18,554.52,556.53,552.96,563.75
2021-08-17,551.36,556.07,550.94,564.09
2021-08-16,553.13,554.61,550.66,563.665
2021-08-13,557.37,557.37,550.06,563.13
2021-08-12,553.15,556.01,552.68,565.87
2021-08-11,554,556.03,552.44,563.44
2021-08-10,555.71,555.73,553.1,562.93
2021-08-09,551,554.58,550.45,561.12
2021-08-06,548.66,552.44,548.57,560.33
2021-08-05,548.57,551.08,547.6,558.13
2021-08-04,547.37,549.68,545.62,558.185
2021-08-03,547.09,549.39,545.94,557.125
2021-08-02,551.11,551.11,545.76,559.56
2021-07-30,550,550.6,549.64,549.64
2021-07-29,553.68,553.68,549.65,550
2021-07-28,549.5,554.16,548.85,562.41
2021-07-27,550.2,554,548.34,561.6
2021-07-26,554,555.7,549.45,561.735
2021-07-23,551.65,554.19,550.85,554
2021-07-22,550.57,555.09,548.85,561.235
2021-07-21,551.22,555.09,550.01,560.695
2021-07-20,550.24,552.59,550.06,561
2021-07-19,549.87,552.82,549.13,560.58
2021-07-16,552.39,552.39,549.22,561.315
2021-07-15,548.48,552.05,547.88,560.185
2021-07-14,551.36,552.05,548.43,559.59
2021-07-13,547.28,551.6,546.77,560.53
2021-07-12,550,551.15,546.81,559.24
2021-07-09,552,552.95,546.49,559.565
2021-07-08,553.23,553.23,551.92,552
2021-07-07,549.17,551.73,548.48,559.945
2021-07-06,547.32,551.17,545.85,560.865
2021-07-05,550,552.31,546.54,559.895
2021-07-02,547.97,550.82,547.46,550
2021-07-01,547.64,550,546.35,558.135
2021-06-30,545.8,549.65,545.21,557.645
2021-06-29,544.43,547.52,544.2,555.935
2021-06-28,546,549.72,543.66,555.17
2021-06-25,544.2,546.64,542.2,546.64
2021-06-24,544.34,546.41,543.07,556.21
2021-06-23,543.75,547.77,542.43,556.4
2021-06-22,548.83,549.16,543.2,556.865
2021-06-21,541,548.08,541,556.675
2021-06-18,545.3,548.11,538.53,541
2021-06-17,541.39,546.6,538,551.68
2021-06-16,539.24,541.39,535.36,549.67
2021-06-15,540.07,540.07,535.06,547.26
2021-06-14,539.4,540.73,535.85,538.99
2021-06-11,533.47,538.37,532.42,545.68
2021-06-10,533.12,534.9,532.42,544.34
2021-06-09,533.43,535.51,531.42,544.67
2021-06-08,532.73,535.9,532.42,544.14
2021-06-07,536.36,537.79,532.12,543.765
2021-06-04,535.41,537.79,532.82,544.56
2021-06-03,531.73,537,531.51,544.345
2021-06-02,531.6,534.65,531.03,543.05
2021-06-01,531.07,535,529.86,544.095
2021-05-31,535.09,536.53,530.86,544.315
2021-05-28,532.47,535.23,532.03,542.1
2021-05-27,532.6,534.05,531.55,542.185
2021-05-26,529.99,533.07,529.47,543.005
2021-05-25,531.47,535,529.34,542.155
2021-05-24,534,536.22,530.9,542.92
2021-05-21,530.99,535.56,530.47,535.56
2021-05-20,533.47,534.29,530.94,542.79
2021-05-19,531.38,534,530.25,543.945
2021-05-18,534.31,535.04,530.73,544.525
2021-05-17,540,540.3,533.56,547.285
2021-05-14,537.45,540.08,534.48,540
2021-05-13,537.89,540,536.29,548.81
2021-05-12,534.53,538.2,534.35,548.965
2021-05-11,535.36,538.95,533.04,547.305
2021-05-10,538.93,539.13,533.17,548.49
2021-05-07,540.61,541.92,538.56,538.56
2021-05-06,540.85,542.87,537.85,550.865
2021-05-05,540.4,542.86,539.86,553.1
2021-05-04,538.25,541.7,538.16,550.11
2021-05-03,543.75,544.4,537.67,550.065
2021-04-30,538,542.45,536.43,551.565
2021-04-29,535.45,540,534.4,538
2021-04-28,537,540.35,535.06,547.485
2021-04-27,537.36,540.29,536.91,548.745
2021-04-26,539.8,540.83,536.2,549.105
2021-04-23,540.44,541.73,537.67,550.555
2021-04-22,539.5,542.19,537.94,551.18
2021-04-21,539.5,542.49,539.1,550.755
2021-04-20,539.46,540.85,537.49,551.845
2021-04-19,546.51,548.46,538.92,552.205
2021-04-16,545,546,544.29,545
2021-04-15,542.02,545,541.34,545
2021-04-14,543.43,545.33,541.66,554.83
2021-04-13,545.16,547.8,543.07,555.82
2021-04-12,548,550.34,544.75,557.325
2021-04-09,545.03,548.85,544.71,548
2021-04-08,547.18,548.26,544.39,558.985
2021-04-07,546.77,552.39,544.93,561.6
2021-04-06,549.73,555,546.63,561.505
2021-04-05,555,556.25,549.31,563.705
2021-04-02,555,555.28,554.78,555
2021-04-01,556,557.56,552.4,555
2021-03-31,554.19,556.23,552.58,556
2021-03-30,551.93,556.19,551.46,564.245
2021-03-29,553,556,550.62,562.425
2021-03-26,551.93,553.23,550.01,553
2021-03-25,549.68,552.9,548.94,560.42
2021-03-24,552.01,552.01,547,558.475
2021-03-23,544.11,550.46,543.75,559.5
2021-03-22,549.43,551.42,543.47,555.49
2021-03-19,546,548.35,544.57,558.075
2021-03-18,542.07,548,541.57,546
2021-03-17,545.53,548.25,541.75,554.54
2021-03-16,544.29,547.5,543.25,556.255
2021-03-15,546,549.19,543.93,554.79
2021-03-12,543.61,546.24,543.29,546.05
2021-03-11,548,548,542.02,551.36
2021-03-10,549.78,550.81,547.91,548
2021-03-09,552.15,552.15,548.57,548.57
2021-03-08,542,550.29,542,550.29
2021-03-05,542.52,545.94,541.19,542
2021-03-04,538.2,542.88,538.07,552.34
2021-03-03,537.05,541.19,536.03,549.88
2021-03-02,541.93,541.93,536.87,547.49
2021-03-01,538.33,542.99,536.62,545.76
2021-02-26,533.21,536.96,532.86,545.78
2021-02-25,533.74,535.91,530.34,544.985
2021-02-24,534.44,537,533.3,545.27
2021-02-23,534.13,538,533.08,545.84
2021-02-22,539,540.62,533.52,547.095
2021-02-19,537.05,539.19,534.66,539
2021-02-18,539.37,539.55,536.83,547.645
2021-02-17,536.38,540.04,536.12,548.85
2021-02-16,535.36,538.02,533.52,546.88
2021-02-15,538.86,539.85,534.79,547.38
2021-02-12,538.1,538.1,535.36,547.555
2021-02-11,535.85,540,534.44,548.97
2021-02-10,535.81,540,534.66,549.195
2021-02-09,542,543,535.63,549.97
2021-02-08,543.2,545.32,538.12,542
2021-02-05,542.75,544.84,538.83,552.81
2021-02-04,539.55,547,539.14,552.295
2021-02-03,539.28,542.17,538.83,549.55
2021-02-02,538.38,540.67,536.86,548.195
2021-02-01,538,540.16,536.43,548.59
2021-01-29,535.59,538.44,534.13,538
2021-01-28,536.12,537.84,534.75,546.225
2021-01-27,533.96,538.56,533.52,546.3
2021-01-26,534.88,541,533.25,544.59
2021-01-25,537.15,538.86,533.82,545.845
2021-01-22,533.78,537.58,532.64,546.67
2021-01-21,536.38,540.06,533.39,545.69
2021-01-20,535.41,537.67,534.04,548.435
2021-01-19,537.67,539.01,534.62,546.01
2021-01-18,539.96,541.55,537,549.715
2021-01-15,534.04,537.45,533.82,537
2021-01-14,534.09,537.17,533.12,545.095
2021-01-13,531.81,535.56,531.2,544.9
2021-01-12,534.35,535.77,528.89,541.96
2021-01-11,533.93,537.76,531.57,545.66
2021-01-08,533.69,533.69,528.57,539.55
2021-01-07,530.13,532.19,527.79,541.2
2021-01-06,532.96,532.96,525.96,539.105
2021-01-05,532,533,531.64,532.19
2021-01-04,534,535.48,531.01,532
2021-01-01,531.05,531.05,531.05,531.05
2020-12-31,530.51,531.64,527.75,541.82
2020-12-30,530.08,533,527.45,541.07
2020-12-29,531.51,533.13,528.95,542.385
2020-12-28,536.34,537.36,530.03,543.23
2020-12-25,534.68,534.68,534.68,534.68
2020-12-24,532.73,537.18,531.51,544.75
2020-12-23,533.82,534.85,531.29,544.025
2020-12-22,534.57,534.57,529.73,542.695
2020-12-21,533.69,537.15,530.64,542.675
2020-12-18,533,534.07,529.26,543.61
2020-12-17,532.21,536,529.26,533
2020-12-16,534.22,536.47,531.73,544.18
2020-12-15,538.5,538.5,533.52,546.095
2020-12-14,541.12,541.15,537.01,541.875
2020-12-11,539,541.07,537.77,541.07
2020-12-10,539.24,541.89,539,539
2020-12-09,537,539.27,536.66,537.94
2020-12-08,537,539.2,537,537
2020-12-07,537.31,540.81,536.36,537
2020-12-04,534.7,538,533.17,550.21
2020-12-03,536.12,540,533.25,549.685
2020-12-02,544,544,535.76,550.345
2020-12-01,544.25,545,538.7,544
2020-11-30,547,548.55,540.89,556.505
2020-11-27,547.94,547.94,542.79,547
2020-11-26,547.51,547.51,544.29,557.15
2020-11-25,548.88,548.88,544.25,556.55
2020-11-24,548.38,550.71,545.9,558.075
2020-11-23,550.01,551.71,545.35,559.865
2020-11-20,546.77,551.58,546.03,558.7
2020-11-19,549,550.33,546.45,558.295
2020-11-18,547.37,549.51,546.03,549
2020-11-17,550.67,550.84,545.9,559.86
2020-11-16,552,552,547.09,560.855
2020-11-13,549.96,552.46,547,552
2020-11-12,551.36,553.43,547,559.28
2020-11-11,553.19,554.15,549.73,562.66
2020-11-10,549.64,551.77,548.25,560.9
2020-11-09,549.25,551.06,544.71,560.6
2020-11-06,549.17,551.5,546.03,561.675
2020-11-05,553.76,555.78,547.46,563.54
2020-11-04,554.14,559.68,551.65,567.16
2020-11-03,555.8,561.46,553.06,566.615
2020-11-02,559.51,562.67,557.04,568
2020-10-30,560.14,560.74,554.76,567.05
2020-10-29,552,558.32,551.93,564.715
2020-10-28,552,555.44,551.79,552
2020-10-27,551,552.93,548.43,552
2020-10-26,552,553.24,548.94,561.7
2020-10-23,553.9,553.9,551.03,552
2020-10-22,551.71,552.13,549.58,551.95
2020-10-21,553.12,553.12,549.75,549.75
2020-10-20,555.63,555.63,552.01,556.77
2020-10-19,558.17,559.11,554.31,554.31
2020-10-16,558.55,558.55,556.88,556.92
2020-10-15,556.41,558.12,554.84,557.09
2020-10-14,552.77,555.61,551.6,564.11
2020-10-13,552,554.79,550.24,564.015
2020-10-12,552.13,553.68,549.41,552
2020-10-09,555.05,555.05,548.76,561.97
2020-10-08,555.31,556.4,551.69,562.96
2020-10-07,555.05,556.43,551.08,564.415
2020-10-06,556,556,550.1,564.04
2020-10-05,557.45,558.4,550.34,556
2020-10-02,557.49,557.49,553.29,566.525
2020-10-01,556,557.83,551.65,556
2020-09-30,552.96,556.2,552.35,556
2020-09-29,561,561.38,552.77,567.02
2020-09-28,562.79,563.68,555.99,561
2020-09-25,559.41,560.99,557.09,569.36
2020-09-24,556.8,558.98,555.85,565.88
2020-09-23,558.82,558.82,554.05,565.165
2020-09-22,550,556.19,550,563.555
2020-09-21,551.7,554.62,547.09,550
2020-09-18,548.01,552.27,547.05,550.44
2020-09-17,549.55,553.24,547.78,558.135
2020-09-16,547.97,550.85,546.45,559.53
2020-09-15,547.09,550,545.62,559.15
2020-09-14,551.27,553.43,546.17,559.27
2020-09-11,551.9,551.9,546.77,561.82
2020-09-10,550.2,553.06,548.57,549.57
2020-09-09,551.87,554.87,548.66,561.4
2020-09-08,552.54,554.03,549.31,562.255
2020-09-07,551.32,552.73,547.97,561.68
2020-09-04,542,552.16,542,559.245
2020-09-03,547.69,551.52,542,542
2020-09-02,545.12,550.47,544.25,557.77
2020-09-01,543.98,548.62,540.53,556.435
2020-08-31,548.18,549.5,542.61,558.21
2020-08-28,549.27,550.88,544.71,558.48
2020-08-27,548.8,551.97,545.57,560.305
2020-08-26,553.26,553.26,548.43,561.87
2020-08-25,550.57,552.05,548.2,562.86
2020-08-24,553.85,554.95,547.97,561.09
2020-08-21,548,553.08,548,561.13
2020-08-20,545.53,550.64,545.53,549.8
2020-08-19,546.93,548.77,543.29,558.295
2020-08-18,547.05,548.81,542.61,558.315
2020-08-17,551.02,552.33,546.49,559.8
2020-08-14,553.77,553.77,547.88,561.385
2020-08-13,550.99,554,547.28,564.045
2020-08-12,556.67,556.67,549.55,563.425
2020-08-11,556.95,558.19,549.92,554.37
2020-08-10,553.59,554.87,548.21,554.46
2020-08-07,549.49,552.4,548.11,561.24
2020-08-06,547.32,552,544.89,560.585
2020-08-05,554.72,554.72,545.39,559.41
2020-08-04,552.71,564.28,550.06,564.19
2020-08-03,551.79,567.6,550.94,564.655
2020-07-31,548.06,553.96,545.21,563.655
2020-07-30,551.05,566.39,548.01,562.1
2020-07-29,554.24,555.21,551.27,564.405
2020-07-28,552.58,564.41,551.46,568.89
2020-07-27,552.8,565.62,551.13,568.775
2020-07-24,569.51,570,557.9,583.34
2020-07-23,570.74,571.73,558.48,584.755
2020-07-22,563.22,573.71,559.68,585.37
2020-07-21,567.21,574.96,562.64,577.62
2020-07-20,568.95,571.59,566.17,580.12
2020-07-17,570.35,571,567.41,579.315
2020-07-16,571.43,571.43,567.46,582.575
2020-07-15,574,574.49,566.96,583.735
2020-07-14,571.94,574.18,569.1,574
2020-07-13,574.95,576.61,570.8,585.075
2020-07-10,575.45,586.43,573.32,587.925
2020-07-09,573.17,578,571,587.6
2020-07-08,585.66,586.17,571.95,585.915
2020-07-07,575.52,586.43,573.42,587.105
2020-07-06,586.69,586.69,572.31,587.865
2020-07-03,575.17,588.26,575.17,604.415
2020-07-02,577.04,587.74,574.43,604.415
2020-07-01,585.38,586.32,575.86,591.4
2020-06-30,577.55,586.85,576.52,603.235
2020-06-29,585.28,585.28,575.2,590.36
2020-06-26,579,586.06,577.7,581
2020-06-25,577.04,586.06,575.73,579
2020-06-24,574.69,580,574.03,590.2
2020-06-23,586.85,586.85,572.11,587.84
2020-06-22,586.85,586.85,576.17,591.135
2020-06-19,585.54,586.85,573.51,589.51
2020-06-18,578,585.54,573.51,589.49
2020-06-17,576.47,585.28,575.86,577.92
2020-06-16,574.63,578.89,572.21,587.115
2020-06-15,577.78,580.49,565.85,587.22
2020-06-12,574.64,578.01,572.56,588.175
2020-06-11,574,576.78,569.4,586.875
2020-06-10,579,579,570.1,574
2020-06-09,573.39,583.18,571.3,576.78
2020-06-08,575,582.09,573.62,590.92
2020-06-05,578.39,581.32,570.35,577.68
2020-06-04,583.85,586.06,571.45,589.11
2020-06-03,588.05,588.05,576.78,588.285
2020-06-02,590.01,590.8,579.92,604.57
2020-06-01,588,591.6,582.11,605.55
2020-05-29,592.4,592.94,582.58,606.345
2020-05-28,597.52,597.52,585.57,606.745
2020-05-27,596.97,600.25,588.6,609.305
2020-05-26,603,603,595.67,609.03
2020-05-25,596.87,603.83,596.87,612.045
2020-05-22,599.7,603,593.79,611.52
2020-05-21,597.68,600.25,589.77,610.395
2020-05-20,600.47,602.55,590.31,608.42
2020-05-19,601.62,603,591.49,609.935
2020-05-18,602,607.31,594.58,611.355
2020-05-15,602,607.93,598.41,602.55
2020-05-14,606.3,608.72,599.79,603.03
2020-05-13,603,606.69,595.83,612.5
2020-05-12,606.81,608.16,596.54,601.59
2020-05-11,605.78,607.46,598.74,613.765
2020-05-08,604,606.47,596.98,612.735
2020-05-07,607.59,609.23,599.06,604
2020-05-06,605.24,608.33,598.52,612.265
2020-05-05,595.29,605.85,594.25,609.835
2020-05-04,596.43,603.31,593,609.475
2020-05-01,599.26,603.83,594.68,608.76
2020-04-30,604.05,605.46,591.71,610.175
2020-04-29,605.5,606.62,597.09,612.57
2020-04-28,599.57,607.46,596.27,613.295
2020-04-27,608.58,608.58,597.81,612.545
2020-04-24,608.55,611.41,600.07,614.02
2020-04-23,606.11,609.8,598.63,613.535
2020-04-22,604.01,607.46,596.49,613.6
2020-04-21,597.7,606.19,597.2,610.465
2020-04-20,600,606.67,595.44,609.505
2020-04-17,606.05,606.9,595.44,612.6
2020-04-16,601.07,606.36,595,613.57
2020-04-15,597.35,604.12,593.49,611.08
2020-04-14,600.91,601.46,589.51,609.22
2020-04-13,600.25,602.18,592.74,611.215
2020-04-10,600.25,602.46,596.98,610.615
2020-04-09,604.39,604.94,591.33,610.67
2020-04-08,602.12,618.81,595.44,612.74
2020-04-07,608.58,608.58,594.1,611.605
2020-04-06,607.46,610.15,595.44,614.835
2020-04-03,604.72,609.15,595.44,614.02
2020-04-02,599.21,605.83,592.69,612.905
2020-04-01,596.16,600.8,591,610.15
2020-03-31,593.73,600.31,588.81,608.625
2020-03-30,587.78,595.73,587.78,593.73
2020-03-27,594.59,598.72,586.95,588.57
2020-03-26,602.68,603.66,589.08,594.49
2020-03-25,607.87,612.87,596,611.69
2020-03-24,616.75,616.75,595.08,615.94
2020-03-23,620.04,620.33,596.35,616.75
2020-03-20,613.45,620.33,599.46,619.93
2020-03-19,600.97,620.04,591.22,613.33
2020-03-18,601.2,610.61,589.98,600.04
2020-03-17,582,610.67,580.25,608.1
2020-03-16,578,591.17,577.81,582
2020-03-13,591.27,597.94,578,605.315
2020-03-12,586.56,596.32,582.98,603.135
2020-03-11,585.83,587.6,570.44,600.78
2020-03-10,571,585.83,569.85,600.415
2020-03-09,585.42,585.42,565.88,571
2020-03-06,583.49,589.95,571.71,600.21
2020-03-05,594.72,594.72,578.06,583.64
2020-03-04,591.59,596.59,581.17,604.86
2020-03-03,589.09,596.32,585.15,603.295
2020-03-02,600.32,600.32,585.07,589.04
2020-02-28,601.47,602.29,590.98,596.95
2020-02-27,608.09,608.37,595.58,608.78
2020-02-26,608.48,618.47,595.18,608.09
2020-02-25,610.16,618.47,596.6,608.48
2020-02-24,618.47,618.47,590.1,610.16
2020-02-21,613.44,613.44,596.4,604.74
2020-02-20,612.59,613.44,599.99,613.44
2020-02-19,613.16,613.44,599.44,612.59
2020-02-18,610.91,613.16,598.6,613.16
2020-02-17,602,611.18,598.58,610.91
2020-02-14,604.96,611.18,597.81,610.9
2020-02-13,608.99,610.61,596.13,611.18
2020-02-12,606.42,608.99,593.33,608.99
2020-02-11,606.43,607.53,590.1,606.42
2020-02-10,604.76,606.43,591,606.43
2020-02-07,603.11,604.76,590.1,604.76
2020-02-06,596.32,603.11,588.48,603.11
2020-02-05,599.29,601.74,587.36,602.315
2020-02-04,593.09,599.83,585.77,599.29
2020-02-03,596.86,599.29,585.08,599.02
2020-01-31,599.83,600.92,581.48,591.545
2020-01-30,589.72,600.92,586.99,599.83
2020-01-29,600.9,601.74,587.89,601.685
