Date,Open,High,Low,Close
2022-03-02,599.51,603.17,584.5,587.99
2022-03-01,586.75,601.515,584,598.68
2022-02-28,585.25,595.365,584.875,583.25
2022-02-25,583.75,591.68,577.5,581.75
2022-02-24,578.5,592.395,578.5,580.25
2022-02-23,580.5,583.065,578,575
2022-02-22,576.95,584.285,576.9,577
2022-02-21,576.95,582.015,576.725,573.45
2022-02-18,577.25,582.015,575.5,573.45
2022-02-17,576.75,582.225,576,573.75
2022-02-16,579.25,585.27,576.125,573.25
2022-02-15,576.18,583.76,575.34,575.75
2022-02-14,576.25,584.8,575,572.68
2022-02-11,573.98,580.31,573.725,573
2022-02-10,575,578.525,573.5,570.48
2022-02-09,575.25,581.885,573.5,571.5
2022-02-08,572.5,579.87,572.5,572
2022-02-07,572.5,581.835,572,570.6
2022-02-04,582.13,583.585,572,580.49
2022-02-03,583.5,590.42,579.995,580.89
2022-02-02,583.5,591.23,579.5,587.78
2022-02-01,587.75,587.75,583,580
2022-01-31,589.25,594.19,586.44,584.25
2022-01-28,584.95,597.125,584.95,585.75
2022-01-27,581,585.26,580.355,581.45
2022-01-26,579.75,587.785,579.6,577.5
2022-01-25,579,589.63,578.75,576.25
2022-01-24,578.75,586.665,578.625,575.5
2022-01-21,577.5,586.485,577.5,575.25
2022-01-20,578.5,579.26,577,574
2022-01-19,575.75,579.04,575.7,576.02
2022-01-18,572.25,577.19,572.2,575.07
2022-01-17,572.25,572.25,572.25,568.75
2022-01-14,572.25,573,571.5,568.75
2022-01-13,577.5,578.26,571,568.75
2022-01-12,578.25,578.53,577,574
2022-01-11,578.75,579.39,577,575.29
2022-01-10,580.25,580.415,578,575.25
2022-01-07,581,582.265,579.875,576.75
2022-01-06,580.5,582.03,580,577.5
2022-01-05,581.25,581.53,579.03,577
2022-01-04,578.5,581.375,577.5,577.75
2022-01-03,580,581.15,577.5,575
2021-12-31,579.5,587.185,579.5,576.5
2021-12-30,580.5,588.43,579,576
2021-12-29,579.5,589.315,579.5,577
2021-12-28,579.25,585.645,578.875,576
2021-12-27,578.75,587.545,578,575.75
2021-12-24,578.75,579.535,578,575
2021-12-23,582.03,589.055,578,576.8
2021-12-22,581.25,582.375,580.875,578.75
2021-12-21,583,583,580,578.99
2021-12-20,579.25,590.235,579.25,579.5
2021-12-17,581,581.89,578,579.28
2021-12-16,582,587.765,579.5,577.65
2021-12-15,581.75,589.655,581.625,578.5
2021-12-14,581.25,585.985,580.875,580.59
2021-12-13,581,586.56,580,578.9
2021-12-10,581.5,589.89,580,577.5
2021-12-09,581.25,584.485,578.5,577
2021-12-08,581.675,589.375,580.625,577.75
2021-12-07,581.5,586.145,580.125,577.25
2021-12-06,581.25,588.925,580.875,579.1
2021-12-03,579.5,584.71,579.5,578.3
2021-12-02,579,586.795,578.75,577.72
2021-12-01,579.75,587.965,578.75,576.71
2021-11-30,582,582,579,576.25
2021-11-29,583.75,588.87,581,579.38
2021-11-26,584.5,588.665,582.745,581
2021-11-25,583.25,585.5,583.25,579.75
2021-11-24,583.75,584.79,582.375,582.33
2021-11-23,588.71,589.26,581.75,580.25
2021-11-22,577.75,589.605,577.625,588.39
2021-11-19,579,586.465,566.5,585.83
2021-11-18,579.75,580.12,579,575.5
2021-11-17,576.75,587.31,576.7,577.73
2021-11-16,572.5,587.055,572.5,573.25
2021-11-15,573,573,571.5,569
2021-11-12,571.5,578.045,570.735,570.77
2021-11-11,576.27,577.58,566.75,568
2021-11-10,570.63,576.475,565.75,575.64
2021-11-09,570.905,574.245,565.25,569.73
