Date,Open,High,Low,Close
2022-03-02,15.4232,15.5666,15.2869,15.3071
2022-03-01,15.3892,15.5,15.2513,15.4224
2022-02-28,15.1456,15.503,15.1456,15.3614
2022-02-25,15.3632,15.3905,15.1047,15.1381
2022-02-24,15.135,15.5363,15.0867,15.3554
2022-02-23,15.0442,15.1421,14.9726,15.1071
2022-02-22,15.1417,15.234,15.0131,15.0558
2022-02-21,15.1073,15.2054,15.0394,15.1232
2022-02-18,14.9752,15.1773,14.9299,15.0784
2022-02-17,14.9971,15.1044,14.9095,14.9874
2022-02-16,15.1029,15.1575,14.9785,14.9878
2022-02-15,15.1325,15.251,14.9916,15.1081
2022-02-14,15.2096,15.2874,15.088,15.1185
2022-02-11,15.1678,15.2761,15.0565,15.2007
2022-02-10,15.2051,15.271,14.9779,15.1614
2022-02-09,15.3579,15.3946,15.1634,15.2068
2022-02-08,15.5036,15.5926,15.3368,15.3385
2022-02-07,15.4707,15.5595,15.3941,15.51
2022-02-04,15.2925,15.534,15.2229,15.4836
2022-02-03,15.3343,15.4035,15.2384,15.2541
2022-02-02,15.2721,15.4029,15.2135,15.334
2022-02-01,15.3788,15.428,15.2039,15.2578
2022-01-31,15.61,15.6321,15.3278,15.3808
2022-01-28,15.4584,15.7075,15.4208,15.5804
2022-01-27,15.3373,15.5355,15.21,15.4596
2022-01-26,15.2504,15.3699,15.1184,15.3311
2022-01-25,15.285,15.3693,15.2079,15.2183
2022-01-24,15.0919,15.3991,15.081,15.2643
2022-01-21,15.2154,15.2838,15.0599,15.0941
2022-01-20,15.3306,15.3517,15.0961,15.2016
2022-01-19,15.518,15.5413,15.2739,15.3263
2022-01-18,15.4168,15.5752,15.3579,15.5021
2022-01-17,15.3896,15.4572,15.3231,15.3797
2022-01-14,15.4104,15.4518,15.2664,15.3846
2022-01-13,15.3117,15.4463,15.2609,15.3996
2022-01-12,15.576,15.5773,15.2899,15.294
2022-01-11,15.6312,15.6939,15.5079,15.525
2022-01-10,15.6267,15.7429,15.5635,15.6589
2022-01-07,15.7333,15.7958,15.5523,15.5875
2022-01-06,15.8868,15.992,15.6642,15.7275
2022-01-05,16.0184,16.0644,15.7076,15.8962
2022-01-04,15.9092,16.0803,15.8076,16.0047
2022-01-03,16.0038,16.0091,15.7614,15.8728
2021-12-31,15.9066,16.0003,15.8712,15.9921
2021-12-30,15.9388,16.0266,15.8805,15.922
2021-12-29,15.7382,15.9745,15.7308,15.9299
2021-12-28,15.54,15.8392,15.5198,15.7554
2021-12-27,15.561,15.576,15.4974,15.5338
2021-12-24,15.6667,15.6886,15.5062,15.5535
2021-12-23,15.6986,15.8201,15.6102,15.6553
2021-12-22,15.8525,15.9219,15.6725,15.687
2021-12-21,15.7714,15.8995,15.7318,15.8433
