Date,Open,High,Low,Close
2003-06-01,4820,4850,4800,4865
2003-06-08,4865,4915,4850,4911
2003-06-15,4911,4960,4890,4958
2003-06-22,4958,5015,4930,5005
2003-06-29,5005,5085,4970,5085
2003-07-06,5085,5130,5060,5140
2003-07-13,5140,5195,5110,5195
2003-07-20,5195,5255,5160,5251
2003-07-27,5251,5363,5220,5363
2003-08-03,5363,5410,5340,5415
2003-08-10,5415,5470,5390,5467
2003-08-17,5467,5525,5450,5520
2003-08-24,5520,5580,5500,5573
2003-08-31,5573,5655,5530,5655
2003-09-07,5655,5720,5630,5726
2003-09-14,5726,5795,5700,5797
2003-09-21,5797,5870,5770,5868
2003-09-28,5868,5962,5840,5962
2003-10-05,5962,6035,5940,6036
2003-10-12,6036,6115,6010,6110
2003-10-19,6110,6195,6080,6184
2003-10-26,6184,6285,6150,6285
2003-11-02,6285,6365,6265,6371
2003-11-09,6371,6458,6340,6458
2003-11-16,6458,6547,6430,6548
2003-11-23,6548,6624,6510,6624
2003-11-30,6624,6700,6600,6624
2003-12-07,6624,6700,6600,6744
2003-12-14,6744,6825,6700,6865
2003-12-21,6865,6950,6800,6985
2003-12-28,6985,7050,6950,6624
