Date,Open,High,Low,Close
2022-03-14,1985.49,1990.33,1949.87,1951.11
2022-03-11,1996.15,1999.22,1958.8,1985.29
2022-03-10,1991.94,2009.57,1970.66,1995.86
2022-03-09,2052.75,2059.25,1976.3,1991.49
2022-03-08,1998.3,2070.29,1981,2052.41
2022-03-07,1977.09,2002.9,1960.76,1998.11
2022-03-04,1935.65,1970.8,1929.78,1968.45
2022-03-03,1926.49,1941.47,1921.73,1935.21
2022-03-02,1943.69,1948.18,1913.82,1926.11
2022-03-01,1908.19,1950.45,1900.93,1943.22
2022-02-28,1920.86,1929.36,1890.59,1907.9
2022-02-25,1903.55,1921.54,1883.1,1887.56
2022-02-24,1907.99,1974.48,1879.05,1903.14
2022-02-23,1898.44,1911,1889.23,1907.55
2022-02-22,1905.89,1914.44,1891.16,1898.13
2022-02-21,1900.4,1908.38,1887.19,1905.63
2022-02-18,1897.94,1902.84,1886.16,1897.87
2022-02-17,1868.84,1901.57,1867.18,1897.27
2022-02-16,1853.4,1873.16,1849.94,1868.37
2022-02-15,1870.94,1879.89,1844.27,1853.06
2022-02-14,1861.55,1874.41,1850.45,1870.29
2022-02-11,1827.25,1865.63,1820.79,1859.96
2022-02-10,1832.94,1842.35,1821.46,1826.57
2022-02-09,1826.05,1836.35,1824.5,1832.43
2022-02-08,1820.59,1829.09,1815.06,1825.48
2022-02-07,1806.99,1824.06,1806.94,1820.31
2022-02-04,1804.8,1815.44,1790.94,1807.49
2022-02-03,1807.19,1809.22,1788.39,1804.4
2022-02-02,1800.94,1811.53,1794.11,1806.5
2022-02-01,1796.72,1809.16,1795.13,1800.65
2022-01-31,1791.19,1800.23,1785.03,1796.47
2022-01-28,1796.94,1799.82,1779.88,1791.03
2022-01-27,1818.44,1822.51,1790.98,1796.51
2022-01-26,1847.99,1850.44,1814.9,1818.12
2022-01-25,1843.34,1853.98,1834.64,1847.56
2022-01-24,1834.49,1844.53,1829.09,1843.06
2022-01-21,1838.65,1843.53,1828.04,1833.24
2022-01-20,1840.3,1848.36,1835.67,1838.36
2022-01-19,1813.69,1843.72,1809.97,1839.96
2022-01-18,1819.77,1823.01,1805.53,1813.54
2022-01-17,1817.9,1823.72,1812.67,1818.99
2022-01-14,1822.55,1829.66,1814.13,1817.22
2022-01-13,1825.94,1828.38,1811.83,1822.09
2022-01-12,1822.49,1828.33,1814.2,1825.32
2022-01-11,1801.69,1823.35,1800.09,1822.01
2022-01-10,1795.41,1802.57,1790.43,1801.41
2022-01-07,1789.55,1799.2,1782.63,1795.63
2022-01-06,1809.94,1811.89,1786.03,1788.68
2022-01-05,1814.9,1829.82,1807.97,1809.53
2022-01-04,1801.34,1816.83,1798.44,1814.56
2022-01-03,1830.14,1832.06,1797.93,1800.85
2021-12-31,1815.44,1830.58,1814.15,1828.39
2021-12-30,1803.99,1817.44,1795.78,1815.01
2021-12-29,1805.59,1808.16,1788.94,1803.66
2021-12-28,1811.84,1820.7,1804.38,1805.37
2021-12-27,1808.19,1813.74,1802.89,1810.9
2021-12-24,1808.19,1812.7,1801.61,1808.11
2021-12-23,1803.69,1811.02,1798.88,1807.91
2021-12-22,1788.94,1805.13,1785.41,1803.4
2021-12-21,1789.74,1800.85,1784.58,1788.36
2021-12-20,1799.4,1804.32,1787.98,1789.32
2021-12-17,1799.55,1814.63,1795.67,1797.68
2021-12-16,1777.4,1799.53,1775.43,1799.03
2021-12-15,1770.49,1781.04,1753.84,1777.06
2021-12-14,1787.19,1789.74,1766.31,1770.18
2021-12-13,1782.94,1791.78,1781.51,1786.94
2021-12-10,1774.94,1789.47,1769.43,1782.51
2021-12-09,1782.49,1788.05,1772.8,1774.46
2021-12-08,1784.4,1793.6,1779.45,1782.06
2021-12-07,1778.08,1788.02,1771.93,1784.04
2021-12-06,1784.79,1787.87,1775.91,1778.11
2021-12-03,1768.84,1786.44,1765.63,1783.74
2021-12-02,1783.05,1783.58,1761.68,1768.64
2021-12-01,1774.15,1794.8,1771.96,1782.66
2021-11-30,1785.34,1809.38,1769.43,1773.78
2021-11-29,1790.05,1799.8,1781.23,1785.01
2021-11-26,1788.7,1815.78,1780.79,1791.81
2021-11-25,1789.49,1795.65,1785.85,1788.45
2021-11-24,1790.34,1797.01,1778.44,1788.5
2021-11-23,1805.65,1812.5,1781.63,1789.73
2021-11-22,1846.74,1849.49,1801.95,1805.04
2021-11-19,1858.9,1865.76,1842.98,1844.6
2021-11-18,1866.97,1871.29,1854.94,1858.46
2021-11-17,1850.34,1868.32,1849.38,1866.96
2021-11-16,1862.94,1877.4,1849.16,1849.91
2021-11-15,1868.15,1870.57,1855.73,1862.46
2021-11-12,1861.99,1868.69,1844.78,1864.04
2021-11-11,1849.69,1866.35,1842.66,1861.52
2021-11-10,1831.9,1868.7,1821.6,1849.57
2021-11-09,1824.74,1833.08,1817.7,1831.48
2021-11-08,1818.44,1826.93,1812.08,1824.26
2021-11-05,1792.14,1818.61,1785.17,1816.73
2021-11-04,1769.98,1799.26,1769.13,1791.7
2021-11-03,1787.71,1788.42,1758.45,1769.52
2021-11-02,1793.61,1796.91,1785.78,1787.28
2021-11-01,1783.24,1796.2,1778.89,1793.05
2021-10-29,1799.03,1801.49,1771.7,1782.81
2021-10-28,1796.78,1810.49,1792.34,1798.62
2021-10-27,1793.04,1799.38,1782.83,1796.69
2021-10-26,1807.9,1808.5,1781.98,1792.63
2021-10-25,1794,1810.18,1791.95,1807.47
2021-10-22,1782.89,1814.22,1782.46,1792.48
2021-10-21,1782.1,1789.61,1776.07,1782.76
2021-10-20,1769.28,1788.68,1766.5,1781.83
2021-10-19,1764.99,1785.53,1762.48,1768.87
2021-10-18,1767.74,1772.3,1759.68,1764.6
2021-10-15,1795.81,1796.89,1764.48,1767.26
2021-10-14,1792.75,1800.91,1786.22,1795.56
2021-10-13,1760.05,1796.31,1757.89,1792.65
2021-10-12,1754.12,1769.78,1750.47,1759.93
2021-10-11,1757.34,1761.36,1749.68,1753.86
2021-10-08,1755.89,1781.6,1753.03,1756.67
2021-10-07,1762.74,1767.45,1751.38,1755.29
2021-10-06,1760.45,1765.78,1745.45,1762.48
2021-10-05,1769.75,1771.03,1748.56,1759.96
2021-10-04,1762.15,1771.06,1747.23,1769.51
2021-10-01,1756.91,1764.4,1749.36,1760.36
2021-09-30,1726.4,1764.53,1721.67,1756.66
2021-09-29,1733.97,1746.11,1721.07,1726.11
2021-09-28,1750.45,1754.8,1727.18,1733.68
2021-09-27,1751.24,1761.29,1744.19,1749.85
2021-09-24,1742.82,1758.08,1739.6,1749.86
2021-09-23,1768.4,1776.6,1737.84,1742.57
2021-09-22,1774.51,1787.51,1764.84,1767.91
2021-09-21,1764.19,1782.07,1757.61,1774.25
2021-09-20,1754.3,1767.31,1742.24,1763.88
2021-09-17,1753.67,1768.22,1747.07,1754.16
2021-09-16,1794.34,1796.71,1745.04,1753.39
2021-09-15,1804.53,1807.3,1790.28,1792.59
2021-09-14,1793.77,1808.99,1781.89,1804.27
2021-09-13,1788.55,1798.66,1783.73,1793.49
2021-09-10,1794.61,1804.15,1786.53,1787.34
2021-09-09,1789.19,1801.19,1783.83,1794.69
2021-09-08,1794.41,1802.6,1781.98,1788.93
2021-09-07,1823.27,1827.39,1792.33,1794.13
2021-09-06,1828.66,1830.6,1820.58,1823.1
2021-09-03,1809.98,1834.55,1808.53,1826.19
2021-09-02,1813.92,1817.53,1804.48,1809.4
2021-09-01,1813.57,1820.21,1808.18,1813.66
2021-08-31,1810.26,1819.43,1801.47,1813.43
2021-08-30,1817.55,1823.38,1807.28,1810.17
2021-08-27,1792.6,1819.38,1787.66,1816.67
2021-08-26,1791.09,1798.61,1779.48,1792.16
2021-08-25,1802.86,1803.57,1782.45,1790.68
2021-08-24,1805.61,1810.03,1799.73,1802.61
2021-08-23,1780.55,1806.92,1776.03,1805.2
2021-08-20,1780.44,1788.85,1777.96,1780.87
2021-08-19,1788.05,1792.56,1774.2,1780.18
2021-08-18,1786.21,1794.31,1777.31,1787.59
2021-08-17,1787.51,1795.77,1780.28,1785.96
2021-08-16,1778.44,1789.51,1770.38,1787.24
2021-08-13,1752.72,1780.53,1751.27,1779.15
2021-08-12,1751.66,1758.62,1741.29,1752.44
2021-08-11,1729.01,1754.63,1723.54,1751.56
2021-08-10,1729.74,1738.49,1717.17,1728.71
2021-08-09,1763.34,1764.65,1684.77,1729.46
2021-08-06,1804.28,1804.93,1758.33,1762.69
2021-08-05,1811.69,1815.45,1797.74,1804.01
2021-08-04,1810.6,1832.1,1806.54,1811.41
2021-08-03,1813.64,1815.18,1806.73,1809.94
2021-08-02,1814.34,1819.94,1805.12,1813.39
2021-07-30,1828.21,1831.63,1809.48,1813.58
2021-07-29,1807.15,1833.05,1806.29,1827.95
2021-07-28,1799,1809.9,1792.6,1806.88
2021-07-27,1797.53,1805.6,1792.83,1798.73
2021-07-26,1802.65,1811.97,1795.68,1797.27
2021-07-23,1806.95,1810.56,1790.45,1801.34
2021-07-22,1803.58,1808.34,1792.11,1806.69
2021-07-21,1810.32,1814.02,1794.18,1803.31
2021-07-20,1812.61,1825.27,1805.06,1810.03
2021-07-19,1811.65,1817.56,1794.66,1812.34
2021-07-16,1829.45,1832.2,1808.65,1810.89
2021-07-15,1827.35,1833.99,1820.07,1829.19
2021-07-14,1807.72,1830.32,1804.21,1827.06
2021-07-13,1806.17,1817.51,1798.54,1807.44
2021-07-12,1807.94,1811.04,1791.21,1805.88
2021-07-09,1802.89,1812.71,1796.09,1807.98
2021-07-08,1803.67,1818.7,1794.28,1802.56
2021-07-07,1796.96,1810.13,1793.64,1803.41
2021-07-06,1791.88,1815.34,1789.91,1796.69
2021-07-05,1787.69,1795.69,1784.09,1791.61
2021-07-02,1776.83,1795.4,1773.73,1786.79
2021-07-01,1770.06,1783.07,1765.47,1776.6
2021-06-30,1761.35,1774.72,1752.78,1769.8
2021-06-29,1778.44,1779.24,1750.11,1761.09
2021-06-28,1781.24,1785.9,1770.69,1778.18
2021-06-25,1775.46,1790.6,1773.27,1780.34
2021-06-24,1779.01,1788.56,1772.67,1775.18
2021-06-23,1778.8,1795.18,1773.13,1778.73
2021-06-22,1783.23,1790.42,1771.99,1778.51
2021-06-21,1764.44,1786.75,1764.44,1782.95
2021-06-18,1772.73,1797.24,1761.04,1763.34
2021-06-17,1812.18,1825.58,1766.88,1773.31
2021-06-16,1858.96,1862.43,1804.19,1811.95
2021-06-15,1866.26,1869.67,1851.28,1858.69
2021-06-14,1874.59,1878.21,1844.57,1865.99
2021-06-11,1898.42,1903.3,1874.07,1876.64
2021-06-10,1888.57,1900.09,1869.84,1898.14
2021-06-09,1893.49,1899.4,1886.58,1888.3
2021-06-08,1898.99,1903.95,1883.38,1892.82
2021-06-07,1888.49,1900.41,1880.88,1899
2021-06-04,1871.32,1896.6,1856.09,1889.97
2021-06-03,1908.09,1909.89,1865.11,1870.57
2021-06-02,1900.05,1909.34,1894.05,1907.94
2021-06-01,1907.53,1916.84,1892.28,1900.19
2021-05-31,1903.69,1911.13,1901.56,1906.36
2021-05-28,1897.05,1905.9,1881.84,1902.64
2021-05-27,1896.49,1903.87,1888.22,1896.08
2021-05-26,1899.49,1913.15,1890.34,1896.44
2021-05-25,1880.69,1900.63,1872.73,1899.26
2021-05-24,1882.34,1887.44,1875.19,1881.07
2021-05-21,1876.84,1889.85,1870.01,1880.3
2021-05-20,1869.74,1884.12,1863.53,1876.69
2021-05-19,1869.59,1890.15,1851.94,1869.57
2021-05-18,1866.59,1875.4,1862.94,1868.22
2021-05-17,1843.84,1868.8,1841.24,1866.13
2021-05-14,1826.49,1845.55,1819.79,1842.19
2021-05-13,1815.9,1828.81,1808.78,1826.57
2021-05-12,1837.4,1843.69,1813,1815.44
2021-05-11,1834.58,1842.32,1817.68,1836.94
2021-05-10,1833.24,1845.53,1830.09,1835.44
2021-05-07,1815.48,1843.45,1812.9,1830.48
2021-05-06,1787.09,1818.21,1781.67,1815.18
2021-05-05,1778.91,1788.35,1769.95,1786.44
2021-05-04,1792.29,1799.38,1770.84,1778.48
2021-05-03,1768.49,1798.22,1765.91,1792.36
2021-04-30,1772.9,1773.98,1763.73,1768.59
2021-04-29,1780.9,1790.43,1756.19,1771.24
2021-04-28,1776.8,1782.85,1762.56,1781.32
2021-04-27,1780.42,1785.9,1773.52,1776.69
