"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2023","13.4411","13.3424","13.4681","13.3246","","0.74%"
"08/04/2023","13.3425","13.4230","13.4772","13.3157","","-0.47%"
"08/03/2023","13.4051","13.3960","13.4863","13.3691","","0.07%"
"08/02/2023","13.3959","13.2716","13.4230","13.2627","","0.87%"
"08/01/2023","13.2804","13.1321","13.2980","13.1063","","1.13%"
"07/31/2023","13.1321","13.0295","13.1407","13.0209","","0.72%"
"07/28/2023","13.0380","13.0378","13.1927","13.0209","","-0.13%"
"07/27/2023","13.0551","13.0295","13.1063","12.9284","","0.13%"
"07/26/2023","13.0380","13.0295","13.0891","13.0040","","0.00%"
"07/25/2023","13.0378","13.0806","13.0891","12.9871","","-0.39%"
"07/24/2023","13.0894","13.1407","13.2014","13.0635","","-0.46%"
"07/21/2023","13.1493","13.1149","13.1927","13.0891","","0.20%"
"07/20/2023","13.1236","13.1149","13.1580","13.0209","","0.00%"
"07/19/2023","13.1236","13.0465","13.1493","13.0465","","0.52%"
"07/18/2023","13.0551","13.1321","13.1407","13.0466","","-0.59%"
"07/17/2023","13.1321","13.1324","13.1669","13.0979","","-0.07%"
"07/14/2023","13.1408","13.1152","13.1840","13.0720","","0.20%"
"07/13/2023","13.1148","13.2104","13.2364","13.0806","","-0.72%"
"07/12/2023","13.2103","13.3334","13.4049","13.1841","","-0.92%"
"07/11/2023","13.3334","13.4590","13.5136","13.3157","","-0.87%"
"07/10/2023","13.4500","13.5872","13.6242","13.4230","","-0.20%"
"07/07/2023","13.4773","13.5325","13.6428","13.4682","","-0.81%"
"07/06/2023","13.5872","13.4682","13.6241","13.4591","","0.82%"
"07/05/2023","13.4773","13.4140","13.5136","13.4140","","0.40%"
"07/04/2023","13.4231","13.5046","13.5046","13.4050","","-0.60%"
"07/03/2023","13.5045","13.5321","13.5321","13.3783","","0.07%"
"06/30/2023","13.4955","13.4864","13.5871","13.4410","","0.07%"
"06/29/2023","13.4863","13.4501","13.5319","13.4050","","0.27%"
"06/28/2023","13.4500","13.3602","13.4955","13.3602","","0.61%"
"06/27/2023","13.3690","13.4140","13.4410","13.3157","","-0.40%"
"06/26/2023","13.4231","13.4501","13.4772","13.3069","","-0.27%"
"06/23/2023","13.4592","13.3601","13.4864","13.3336","","0.74%"
"06/22/2023","13.3601","13.3072","13.3960","13.2627","","0.33%"
"06/21/2023","13.3156","13.3249","13.3691","13.2627","","-0.07%"
"06/20/2023","13.3245","13.3068","13.3781","13.2101","","0.20%"
"06/19/2023","13.2981","13.2892","13.3157","13.2101","","0.00%"
"06/16/2023","13.2981","13.3069","13.3157","13.1927","","-0.07%"
"06/15/2023","13.3068","13.2892","13.3871","13.2716","","0.13%"
"06/14/2023","13.2891","13.5318","13.5410","13.2627","","-1.80%"
"06/13/2023","13.5321","13.5046","13.5503","13.3248","","0.14%"
"06/12/2023","13.5138","13.5228","13.5410","13.3691","","-0.14%"
"06/09/2023","13.5321","13.4329","13.5503","13.3873","","0.00%"
"06/08/2023","13.5321","13.6149","13.6520","13.3964","","-0.68%"
"06/07/2023","13.6242","13.7658","13.8032","13.5136","","-1.03%"
"06/06/2023","13.7658","13.7658","13.8032","13.5871","","0.00%"
"06/05/2023","13.7658","13.7658","13.8126","13.6059","","0.00%"
"06/02/2023","13.7658","13.7938","13.8126","13.6241","","-0.20%"
"06/01/2023","13.7938","13.8221","13.8793","13.7082","","-0.20%"
"05/31/2023","13.8221","13.8126","13.8506","13.7459","","0.07%"
"05/30/2023","13.8126","13.7647","13.8506","13.6614","","0.00%"
"05/29/2023","13.8124","13.7938","13.8315","13.6711","","0.13%"
"05/26/2023","13.7938","13.6706","13.8221","13.6059","","0.90%"
"05/25/2023","13.6706","13.6244","13.8027","13.5779","","0.34%"
"05/24/2023","13.6244","13.6336","13.6520","13.5412","","-0.07%"
"05/23/2023","13.6336","13.6336","13.6614","13.5503","","0.00%"
"05/22/2023","13.6336","13.6428","13.6614","13.5503","","-0.07%"
"05/19/2023","13.6428","13.5970","13.7365","13.5504","","0.34%"
"05/18/2023","13.5970","13.5970","13.6428","13.5504","","0.00%"
"05/17/2023","13.5970","13.5788","13.6428","13.4954","","0.13%"
"05/16/2023","13.5788","13.4682","13.6152","13.4231","","0.75%"
"05/15/2023","13.4772","13.5970","13.6244","13.4410","","-0.88%"
"05/12/2023","13.5970","13.5322","13.6428","13.4682","","0.48%"
"05/11/2023","13.5322","13.3068","13.5595","13.2630","","1.08%"
"05/10/2023","13.3871","13.1755","13.4319","13.1755","","0.67%"
"05/09/2023","13.2981","13.1841","13.3157","13.1841","","0.80%"
"05/08/2023","13.1928","13.2189","13.2804","13.1580","","-0.26%"
"05/05/2023","13.2277","13.1926","13.2892","13.1408","","0.26%"
"05/04/2023","13.1928","13.2453","13.2453","13.1235","","0.13%"
"05/03/2023","13.1755","13.2716","13.2803","13.1580","","-0.79%"
"05/02/2023","13.2804","13.1841","13.2980","13.1841","","0.66%"
"05/01/2023","13.1928","13.2015","13.2101","13.1841","","-0.07%"
"04/28/2023","13.2014","13.2188","13.3158","13.1581","","0.20%"
"04/27/2023","13.1755","13.1927","13.2276","13.1407","","-0.33%"
"04/26/2023","13.2188","13.1926","13.2717","13.1065","","-0.07%"
"04/25/2023","13.2275","13.1407","13.2451","13.0892","","0.79%"
"04/24/2023","13.1236","13.1414","13.2015","13.0806","","0.00%"
"04/21/2023","13.1236","13.1148","13.2276","13.0636","","0.26%"
"04/20/2023","13.0892","13.1493","13.2103","13.0635","","-0.52%"
"04/19/2023","13.1581","13.1493","13.2364","13.0977","","0.07%"
"04/18/2023","13.1493","13.2014","13.2101","13.1149","","-0.39%"
"04/17/2023","13.2014","13.1062","13.2276","13.0549","","0.86%"
"04/14/2023","13.0892","13.0805","13.1494","12.9959","","0.13%"
"04/13/2023","13.0719","13.2014","13.2627","13.0380","","-1.05%"
"04/12/2023","13.2103","13.2014","13.2716","13.1407","","0.00%"
"04/11/2023","13.2103","13.2014","13.2627","13.0384","","0.26%"
"04/10/2023","13.1755","13.1581","13.1841","13.1581","","0.13%"
"04/07/2023","13.1581","13.1666","13.2101","13.1321","","-0.13%"
"04/06/2023","13.1755","13.0977","13.2189","13.0127","","0.79%"
"04/05/2023","13.0721","13.0719","13.1063","12.9539","","0.13%"
"04/04/2023","13.0551","13.0464","13.1063","12.9871","","-0.06%"
"04/03/2023","13.0634","13.0045","13.1235","12.9789","","0.33%"
"03/31/2023","13.0210","13.0464","13.1667","12.9620","","0.00%"
"03/30/2023","13.0210","13.1321","13.1667","12.9787","","-0.91%"
"03/29/2023","13.1407","13.1579","13.2803","13.0635","","0.00%"
"03/28/2023","13.1408","13.2275","13.2451","13.1236","","-0.53%"
"03/27/2023","13.2103","13.2014","13.3423","13.1408","","0.20%"
"03/24/2023","13.1840","13.1148","13.2363","13.0977","","0.66%"
"03/23/2023","13.0977","13.2539","13.2627","13.0380","","-0.85%"
"03/22/2023","13.2103","13.2891","13.3157","13.1755","","-0.73%"
"03/21/2023","13.3068","13.2891","13.3335","13.2540","","0.20%"
"03/20/2023","13.2804","13.2628","13.3692","13.2364","","-0.13%"
"03/17/2023","13.2981","13.2891","13.3157","13.1842","","0.00%"
"03/16/2023","13.2981","13.2891","13.3514","13.2189","","-0.20%"
"03/15/2023","13.3245","13.1666","13.3785","13.1323","","1.13%"
"03/14/2023","13.1755","13.2014","13.2627","13.1149","","-0.20%"
"03/13/2023","13.2014","13.3514","13.3514","13.1408","","-0.07%"
"03/10/2023","13.2103","13.4234","13.4502","13.1928","","-1.32%"
"03/09/2023","13.3871","13.4139","13.5232","13.3069","","-0.81%"
"03/08/2023","13.4962","13.3156","13.5232","13.2716","","1.36%"
"03/07/2023","13.3156","13.2804","13.3514","13.2103","","0.27%"
"03/06/2023","13.2804","13.1928","13.2892","13.1841","","0.07%"
"03/03/2023","13.2717","13.2717","13.2980","13.1841","","0.00%"
"03/02/2023","13.2717","13.2543","13.3069","13.1581","","0.13%"
"03/01/2023","13.2543","13.2892","13.3335","13.1494","","-0.26%"
"02/28/2023","13.2892","13.3245","13.3691","13.2364","","-0.26%"
"02/27/2023","13.3245","13.3245","13.3962","13.2716","","0.00%"
"02/24/2023","13.3245","13.2717","13.3873","13.2015","","0.40%"
"02/23/2023","13.2717","13.2188","13.2980","13.1842","","0.40%"
"02/22/2023","13.2188","13.2101","13.2980","13.1667","","0.07%"
"02/21/2023","13.2101","13.2015","13.2627","13.1495","","0.07%"
"02/20/2023","13.2015","13.1928","13.2103","13.0638","","0.07%"
"02/17/2023","13.1928","13.2015","13.2627","13.1321","","-0.07%"
"02/16/2023","13.2015","13.1842","13.2276","13.0465","","0.13%"
"02/15/2023","13.1842","13.1148","13.1928","13.0209","","0.92%"
"02/14/2023","13.0634","13.1414","13.1670","12.9451","","-0.59%"
"02/13/2023","13.1414","12.9959","13.1928","12.9789","","0.66%"
"02/10/2023","13.0549","12.9959","13.1063","12.9619","","0.45%"
"02/09/2023","12.9959","13.0210","13.0379","12.9284","","-0.19%"
"02/08/2023","13.0210","13.0042","13.0549","12.8867","","0.13%"
"02/07/2023","13.0042","13.0042","13.0295","12.9367","","0.00%"
"02/06/2023","13.0042","12.7470","13.0468","12.7309","","2.28%"
"02/03/2023","12.7148","12.7308","12.8867","12.6824","","-0.06%"
