"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2025","104.961","105.029","105.029","104.961","","-0.07%"
"02/16/2025","105.029","105.029","105.029","105.029","","-0.45%"
"02/14/2025","105.500","106.050","106.050","105.055","","-0.52%"
"02/13/2025","106.050","106.750","106.750","106.019","","-0.66%"
"02/12/2025","106.750","106.850","106.850","106.295","","-0.09%"
"02/11/2025","106.850","107.375","107.375","106.798","","-0.49%"
"02/10/2025","107.375","106.686","107.375","106.686","","0.65%"
"02/09/2025","106.686","106.686","106.686","106.686","","-0.34%"
"02/07/2025","107.050","106.750","107.050","106.188","","0.28%"
"02/06/2025","106.750","106.250","106.750","105.998","","0.47%"
"02/05/2025","106.250","107.125","107.125","105.912","","-0.82%"
"02/04/2025","107.125","107.600","107.600","106.811","","-0.44%"
"02/03/2025","107.600","107.944","107.944","107.503","","-0.32%"
"02/02/2025","107.944","107.944","107.944","107.944","","1.61%"
"01/31/2025","106.230","106.150","106.230","106.139","","0.08%"
"01/30/2025","106.150","106.300","106.300","105.819","","-0.14%"
"01/29/2025","106.300","106.150","106.300","105.707","","0.14%"
"01/28/2025","106.150","105.250","106.150","105.250","","0.86%"
"01/27/2025","105.250","104.959","105.380","9.785","","0.28%"
"01/26/2025","104.959","104.959","104.959","104.959","","-0.22%"
"01/24/2025","105.188","106.250","106.250","105.188","","-1.00%"
"01/23/2025","106.250","106.300","106.300","105.984","","-0.05%"
"01/22/2025","106.300","107.625","107.625","105.607","","-1.23%"
"01/21/2025","107.625","106.841","107.625","106.328","","0.73%"
"01/20/2025","106.841","106.996","107.146","106.841","","-0.15%"
"01/19/2025","106.996","106.996","106.996","106.996","","-0.58%"
"01/17/2025","107.625","107.410","107.625","106.997","","0.20%"
"01/16/2025","107.410","107.450","107.450","107.162","","-0.04%"
"01/15/2025","107.450","107.400","107.450","107.026","","0.05%"
"01/14/2025","107.400","108.300","108.300","107.400","","-0.83%"
"01/13/2025","108.300","107.507","108.300","107.375","","0.74%"
"01/12/2025","107.507","107.507","107.507","107.507","","0.45%"
"01/10/2025","107.027","107.375","107.375","107.027","","-0.32%"
"01/09/2025","107.375","107.225","107.375","106.904","","0.14%"
"01/08/2025","107.225","106.700","107.225","106.506","","0.49%"
"01/07/2025","106.700","107.200","107.200","105.933","","-0.47%"
"01/06/2025","107.200","106.903","107.850","105.902","","0.28%"
"01/05/2025","106.903","106.903","106.903","106.903","","-0.19%"
"01/03/2025","107.102","107.850","107.850","107.102","","-0.69%"
"01/02/2025","107.850","105.468","107.850","105.468","","2.26%"
"01/01/2025","105.468","105.763","105.763","105.468","","-0.28%"
"12/31/2024","105.763","105.468","105.932","105.468","","0.28%"
"12/30/2024","105.468","105.755","105.763","105.468","","-0.27%"
"12/29/2024","105.755","105.755","105.755","105.755","","0.11%"
"12/27/2024","105.636","105.907","105.907","105.636","","-0.26%"
"12/26/2024","105.907","105.907","105.907","105.907","","0.00%"
"12/25/2024","105.907","106.009","106.009","105.907","","-0.10%"
"12/24/2024","106.009","106.152","106.152","105.995","","-0.13%"
"12/23/2024","106.152","105.684","106.152","105.658","","0.44%"
"12/22/2024","105.684","105.684","105.684","105.684","","-0.37%"
"12/20/2024","106.080","106.008","106.397","106.008","","0.07%"
"12/19/2024","106.008","105.049","106.240","105.049","","0.91%"
"12/18/2024","105.049","105.098","105.098","104.990","","-0.05%"
"12/17/2024","105.098","105.039","105.109","104.800","","0.06%"
"12/16/2024","105.039","104.939","105.039","104.826","","0.10%"
"12/15/2024","104.939","104.939","104.939","104.939","","-0.13%"
"12/13/2024","105.078","105.063","105.380","105.063","","0.01%"
"12/12/2024","105.063","105.250","105.250","104.950","","0.19%"
"12/11/2024","104.862","105.250","105.250","104.668","","-0.37%"
"12/10/2024","105.250","104.483","105.250","104.483","","0.73%"
"12/09/2024","104.483","104.265","104.675","104.265","","0.21%"
"12/08/2024","104.265","104.265","104.265","104.265","","0.08%"
"12/06/2024","104.177","104.375","104.375","104.177","","-0.19%"
"12/05/2024","104.375","105.250","105.250","104.375","","-0.83%"
"12/04/2024","105.250","105.000","105.250","104.954","","0.24%"
"12/03/2024","105.000","105.400","105.400","104.858","","-0.38%"
"12/02/2024","105.400","104.196","105.400","104.196","","1.16%"
"12/01/2024","104.196","104.196","104.196","104.196","","-0.72%"
"11/29/2024","104.950","104.502","104.950","104.418","","0.43%"
"11/28/2024","104.502","105.675","105.675","104.438","","-0.27%"
"11/27/2024","104.789","105.675","105.675","104.789","","-0.84%"
"11/26/2024","105.675","105.450","105.675","104.576","","0.21%"
"11/25/2024","105.450","105.826","106.300","105.238","","-0.35%"
"11/24/2024","105.826","105.826","105.826","105.826","","-0.45%"
"11/22/2024","106.300","105.625","106.300","105.297","","0.64%"
"11/21/2024","105.625","105.150","105.625","104.558","","0.45%"
"11/20/2024","105.150","104.625","105.150","104.023","","0.50%"
"11/19/2024","104.625","104.550","104.625","104.091","","0.07%"
"11/18/2024","104.550","104.561","104.850","104.117","","-0.01%"
"11/17/2024","104.561","104.561","104.561","104.561","","-0.28%"
"11/15/2024","104.850","104.900","104.900","104.317","","-0.05%"
"11/14/2024","104.900","104.850","104.900","104.457","","0.05%"
"11/13/2024","104.850","104.350","104.850","103.724","","0.48%"
