"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2017","18.9000","18.9000","18.9000","18.9000","","-0.42%"
"01/24/2017","18.9800","18.7750","19.1250","18.5750","","-0.11%"
"01/23/2017","19.0000","18.7250","19.4900","18.6500","","0.93%"
"01/22/2017","18.8250","18.7250","19.1100","18.3500","","0.94%"
"01/21/2017","18.6500","18.6500","18.6500","18.6500","","-1.01%"
"01/20/2017","18.8400","18.6500","18.8650","18.6500","","-0.32%"
"01/19/2017","18.9000","18.9000","19.1500","18.6250","","0.00%"
"01/18/2017","18.9000","18.8700","19.1600","18.6250","","1.07%"
"01/17/2017","18.7000","18.8500","19.5100","18.5750","","-1.19%"
"01/16/2017","18.9250","18.7500","19.1750","18.5250","","-0.08%"
"01/15/2017","18.9400","18.8000","19.1500","18.0750","","1.15%"
"01/14/2017","18.7250","18.8500","18.9750","18.5500","","-1.03%"
"01/13/2017","18.9200","18.7750","18.9200","18.6200","","-0.03%"
"01/12/2017","18.9250","18.9500","19.1750","18.4500","","1.20%"
"01/11/2017","18.7000","18.5250","19.1750","18.0500","","-0.11%"
"01/10/2017","18.7200","18.3750","18.9750","18.0250","","1.88%"
"01/09/2017","18.3750","18.1250","18.9250","17.9800","","1.52%"
"01/08/2017","18.1000","17.9750","19.1800","17.9750","","-0.69%"
"01/07/2017","18.2250","18.2100","18.2250","18.2100","","1.33%"
"01/06/2017","17.9850","18.2250","18.2250","17.9850","","-0.50%"
"01/05/2017","18.0750","18.0750","19.0250","17.8750","","-0.82%"
"01/04/2017","18.2250","18.0750","19.3250","17.9000","","0.00%"
"01/03/2017","18.2250","18.1250","19.4750","17.9250","","0.69%"
"01/02/2017","18.1000","18.1500","19.3500","17.9000","","0.42%"
"01/01/2017","18.0250","18.0250","18.0250","18.0250","","-0.58%"
"12/31/2016","18.1300","18.1250","18.1300","18.1250","","0.00%"
"12/30/2016","18.1300","18.5000","18.5000","18.1250","","0.00%"
"12/29/2016","18.1300","18.7500","19.5750","17.9000","","-3.56%"
"12/28/2016","18.8000","19.1950","19.6523","18.5750","","-1.44%"
"12/27/2016","19.0750","19.0050","19.6525","18.7250","","-0.13%"
"12/26/2016","19.1000","18.6250","19.6200","18.5750","","1.60%"
"12/25/2016","18.8000","19.1000","19.5250","18.6250","","-1.05%"
"12/24/2016","19.0000","19.1500","19.3700","18.7500","","0.40%"
"12/23/2016","18.9250","19.1500","19.2550","18.7500","","-0.39%"
"12/22/2016","19.0000","18.9500","19.8150","18.6000","","-0.13%"
"12/21/2016","19.0250","19.5750","19.8950","18.7750","","-3.11%"
"12/20/2016","19.6350","18.9500","19.8250","18.7000","","2.13%"
"12/19/2016","19.2250","18.4000","19.4500","18.2000","","2.95%"
"12/18/2016","18.6750","18.4500","18.8200","18.0500","","2.19%"
"12/17/2016","18.2750","18.2750","18.6000","18.2750","","0.00%"
"12/16/2016","18.2750","18.7050","18.7550","18.2500","","-0.81%"
"12/15/2016","18.4250","18.3750","18.9400","18.1250","","-0.41%"
"12/14/2016","18.5000","18.3750","18.9700","18.0750","","0.41%"
"12/13/2016","18.4250","18.3000","18.6500","17.9300","","1.24%"
"12/12/2016","18.2000","18.1500","18.5500","17.6500","","0.14%"
"12/11/2016","18.1750","18.1750","18.1750","18.1750","","0.69%"
"12/10/2016","18.0500","18.2800","18.3500","18.0400","","-0.14%"
"12/09/2016","18.0750","18.1000","18.3038","17.9900","","-0.28%"
"12/08/2016","18.1250","18.1750","18.4850","17.8000","","0.00%"
"12/07/2016","18.1250","18.0750","18.4250","17.5500","","1.12%"
"12/06/2016","17.9250","17.6250","18.2650","17.5150","","-0.14%"
"12/05/2016","17.9500","17.6250","18.2500","17.5750","","0.56%"
"12/04/2016","17.8500","17.8750","18.1500","17.4200","","0.85%"
"12/03/2016","17.7000","17.8250","17.9500","17.6500","","-0.84%"
"12/02/2016","17.8500","17.7500","18.2750","17.6750","","0.00%"
"12/01/2016","17.8500","17.7750","18.3250","17.5750","","-0.08%"
"11/30/2016","17.8650","17.9000","18.3250","17.5750","","-0.75%"
"11/29/2016","18.0000","17.7250","18.3500","17.5000","","1.41%"
"11/28/2016","17.7500","17.7000","18.0500","17.3250","","0.71%"
"11/27/2016","17.6250","17.7000","17.9750","17.2500","","0.14%"
"11/26/2016","17.6000","17.5750","17.8500","17.5250","","-0.56%"
"11/25/2016","17.7000","17.6500","17.8500","17.4500","","0.43%"
"11/24/2016","17.6250","17.5850","18.2250","17.3400","","0.86%"
"11/23/2016","17.4750","17.4000","17.8550","17.2250","","-0.99%"
"11/22/2016","17.6500","17.5050","17.9300","17.2450","","1.44%"
"11/21/2016","17.4000","17.4900","17.9700","17.0500","","0.43%"
"11/20/2016","17.3250","16.2000","17.7750","15.6750","","6.94%"
"11/19/2016","16.2000","16.1250","16.5250","15.7650","","-0.31%"
"11/18/2016","16.2500","16.0250","16.5000","15.3750","","1.09%"
"11/17/2016","16.0750","15.6000","16.7250","15.3250","","2.06%"
"11/16/2016","15.7500","15.4250","16.6050","15.3000","","1.94%"
"11/15/2016","15.4500","15.4500","16.1000","14.9250","","-0.32%"
"11/14/2016","15.5000","15.7000","16.8050","15.1250","","-0.83%"
"11/13/2016","15.6300","16.3750","17.1000","15.3000","","-2.31%"
"11/12/2016","16.0000","16.5000","17.1500","15.7500","","-3.18%"
"11/11/2016","16.5250","16.5250","16.8250","16.0650","","-2.07%"
"11/10/2016","16.8750","17.0250","18.6250","16.1250","","-0.88%"
"11/09/2016","17.0250","17.7250","18.0250","16.8500","","-5.42%"
"11/08/2016","18.0000","17.3500","18.1750","16.6000","","7.14%"
"11/07/2016","16.8000","16.1500","17.5000","15.8000","","4.02%"
"11/06/2016","16.1500","15.6500","16.3000","14.2900","","3.86%"
"11/05/2016","15.5500","15.5000","15.8250","15.1500","","0.32%"
"11/04/2016","15.5000","15.2500","16.0050","15.0725","","1.64%"
"11/03/2016","15.2500","8.8800","16.0000","8.8750","","71.73%"
"11/02/2016","8.8800","8.8800","8.8800","8.8775","","0.00%"
"11/01/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/31/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"10/30/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"10/29/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/28/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/27/2016","8.8800","8.8750","8.8800","8.8750","","0.00%"
"10/26/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/25/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/24/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/23/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/22/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/21/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/20/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/19/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/18/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"10/17/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"10/16/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/15/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/14/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/13/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/12/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/11/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/10/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/09/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/08/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/07/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/06/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/05/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/04/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/03/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"10/02/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"10/01/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/30/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/29/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/28/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/27/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/26/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/25/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/24/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/23/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/22/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/21/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/20/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/19/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
