"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","0.8991","0.8987","0.9044","0.8971","79.29K","0.03%"
"03/01/2022","0.8988","0.8915","0.9018","0.8902","89.11K","0.85%"
"02/28/2022","0.8912","0.8946","0.8991","0.8891","86.10K","0.43%"
"02/25/2022","0.8874","0.8935","0.8956","0.8869","79.32K","-0.68%"
"02/24/2022","0.8935","0.8840","0.9004","0.8839","103.42K","1.06%"
"02/23/2022","0.8841","0.8829","0.8849","0.8803","64.39K","0.14%"
"02/22/2022","0.8829","0.8840","0.8860","0.8797","85.66K","-0.14%"
"02/21/2022","0.8841","0.8838","0.8845","0.8779","51.07K","0.10%"
"02/18/2022","0.8832","0.8802","0.8839","0.8789","64.20K","0.34%"
"02/17/2022","0.8802","0.8792","0.8832","0.8782","80.16K","0.11%"
"02/16/2022","0.8792","0.8803","0.8815","0.8775","70.76K","-0.15%"
"02/15/2022","0.8805","0.8845","0.8849","0.8796","74.42K","-0.45%"
"02/14/2022","0.8845","0.8815","0.8866","0.8796","81.23K","0.40%"
"02/11/2022","0.8810","0.8751","0.8827","0.8748","82.40K","0.67%"
"02/10/2022","0.8751","0.8750","0.8792","0.8699","84.63K","-0.03%"
"02/09/2022","0.8754","0.8759","0.8771","0.8735","67.49K","-0.08%"
"02/08/2022","0.8761","0.8739","0.8776","0.8734","100.06K","0.24%"
"02/07/2022","0.8740","0.8720","0.8761","0.8720","75.92K","0.05%"
"02/04/2022","0.8736","0.8742","0.8764","0.8708","85.84K","-0.07%"
"02/03/2022","0.8742","0.8846","0.8876","0.8732","68.02K","-1.19%"
"02/02/2022","0.8847","0.8874","0.8876","0.8826","48.06K","-0.29%"
"02/01/2022","0.8873","0.8902","0.8912","0.8866","53.47K","-0.31%"
"01/31/2022","0.8901","0.8972","0.8978","0.8890","55.97K","-0.80%"
"01/28/2022","0.8973","0.8972","0.8993","0.8949","62.02K","0.00%"
"01/27/2022","0.8973","0.8897","0.8984","0.8893","68.31K","0.84%"
"01/26/2022","0.8898","0.8849","0.8901","0.8841","62.70K","0.55%"
"01/25/2022","0.8849","0.8831","0.8879","0.8826","72.71K","0.22%"
"01/24/2022","0.8830","0.8816","0.8858","0.8814","93.65K","0.15%"
"01/21/2022","0.8817","0.8840","0.8849","0.8803","70.09K","-0.27%"
"01/20/2022","0.8841","0.8817","0.8848","0.8796","74.10K","0.27%"
"01/19/2022","0.8817","0.8834","0.8836","0.8805","87.94K","-0.14%"
"01/18/2022","0.8829","0.8766","0.8839","0.8755","102.17K","0.73%"
"01/17/2022","0.8765","0.8762","0.8779","0.8745","60.66K","0.06%"
"01/14/2022","0.8760","0.8729","0.8774","0.8708","63.78K","0.34%"
"01/13/2022","0.8730","0.8739","0.8745","0.8709","59.44K","-0.10%"
"01/12/2022","0.8739","0.8799","0.8808","0.8731","60.52K","-0.67%"
"01/11/2022","0.8798","0.8830","0.8840","0.8791","58.48K","-0.36%"
"01/10/2022","0.8830","0.8809","0.8862","0.8802","55.31K","0.32%"
"01/07/2022","0.8802","0.8855","0.8858","0.8799","44.10K","-0.60%"
"01/06/2022","0.8855","0.8839","0.8862","0.8824","66.51K","0.19%"
"01/05/2022","0.8838","0.8860","0.8868","0.8813","45.06K","-0.25%"
"01/04/2022","0.8860","0.8852","0.8872","0.8831","47.58K","0.08%"
"01/03/2022","0.8853","0.8799","0.8866","0.8787","33.87K","0.65%"
"12/31/2021","0.8796","0.8833","0.8848","0.8782","25.72K","-0.40%"
"12/30/2021","0.8831","0.8811","0.8851","0.8803","37.87K","0.23%"
"12/29/2021","0.8811","0.8842","0.8871","0.8796","42.45K","-0.34%"
"12/28/2021","0.8841","0.8829","0.8858","0.8823","43.38K","0.15%"
"12/27/2021","0.8828","0.8836","0.8848","0.8822","38.11K","-0.08%"
"12/24/2021","0.8835","0.8827","0.8847","0.8815","47.10K","0.09%"
"12/23/2021","0.8827","0.8830","0.8858","0.8817","58.12K","-0.03%"
"12/22/2021","0.8830","0.8866","0.8878","0.8816","62.74K","-0.36%"
"12/21/2021","0.8862","0.8868","0.8881","0.8847","74.53K","-0.07%"
"12/20/2021","0.8868","0.8896","0.8902","0.8846","80.10K","-0.33%"
"12/17/2021","0.8897","0.8826","0.8901","0.8811","64.50K","0.79%"
"12/16/2021","0.8827","0.8861","0.8865","0.8802","67.61K","-0.37%"
"12/15/2021","0.8860","0.8882","0.8912","0.8850","101.41K","-0.25%"
"12/14/2021","0.8882","0.8862","0.8887","0.8829","153.69K","0.23%"
"12/13/2021","0.8862","0.8837","0.8882","0.8834","75.50K","0.25%"
"12/10/2021","0.8840","0.8855","0.8878","0.8830","89.00K","-0.17%"
"12/09/2021","0.8855","0.8817","0.8867","0.8813","81.41K","0.43%"
"12/08/2021","0.8817","0.8876","0.8878","0.8806","141.96K","-0.65%"
"12/07/2021","0.8875","0.8860","0.8907","0.8849","155.96K","0.17%"
"12/06/2021","0.8860","0.8834","0.8876","0.8834","93.43K","0.25%"
"12/03/2021","0.8838","0.8849","0.8877","0.8823","79.00K","-0.12%"
"12/02/2021","0.8849","0.8834","0.8854","0.8812","85.50K","0.17%"
"12/01/2021","0.8834","0.8820","0.8848","0.8803","117.47K","0.16%"
"11/30/2021","0.8820","0.8856","0.8901","0.8785","128.37K","-0.42%"
"11/29/2021","0.8857","0.8848","0.8883","0.8837","85.22K","0.25%"
"11/26/2021","0.8835","0.8922","0.8925","0.8825","118.35K","-0.99%"
"11/25/2021","0.8923","0.8929","0.8929","0.8904","77.41K","-0.09%"
"11/24/2021","0.8931","0.8891","0.8940","0.8884","81.95K","0.45%"
"11/23/2021","0.8891","0.8900","0.8908","0.8869","94.41K","-0.10%"
"11/22/2021","0.8900","0.8856","0.8905","0.8856","130.39K","0.47%"
"11/19/2021","0.8858","0.8795","0.8889","0.8792","64.96K","0.72%"
"11/18/2021","0.8795","0.8835","0.8839","0.8791","102.38K","-0.45%"
"11/17/2021","0.8835","0.8834","0.8878","0.8824","84.79K","0.01%"
"11/16/2021","0.8834","0.8797","0.8843","0.8782","75.97K","0.43%"
"11/15/2021","0.8796","0.8733","0.8806","0.8723","68.25K","0.72%"
"11/12/2021","0.8733","0.8731","0.8747","0.8724","67.65K","0.00%"
"11/11/2021","0.8733","0.8710","0.8739","0.8704","52.72K","0.25%"
"11/10/2021","0.8711","0.8626","0.8714","0.8623","77.73K","0.99%"
"11/09/2021","0.8626","0.8629","0.8644","0.8614","59.02K","-0.03%"
"11/08/2021","0.8629","0.8655","0.8658","0.8624","68.43K","-0.19%"
"11/05/2021","0.8645","0.8656","0.8686","0.8640","73.65K","-0.12%"
"11/04/2021","0.8655","0.8612","0.8675","0.8608","81.97K","0.50%"
"11/03/2021","0.8612","0.8637","0.8650","0.8609","84.99K","-0.29%"
"11/02/2021","0.8637","0.8615","0.8640","0.8610","76.22K","0.23%"
"11/01/2021","0.8617","0.8652","0.8662","0.8614","88.67K","-0.37%"
"10/29/2021","0.8649","0.8562","0.8670","0.8554","66.75K","1.03%"
"10/28/2021","0.8561","0.8617","0.8635","0.8552","76.73K","-0.65%"
"10/27/2021","0.8617","0.8623","0.8632","0.8601","58.77K","-0.09%"
"10/26/2021","0.8625","0.8616","0.8632","0.8601","52.40K","0.12%"
"10/25/2021","0.8615","0.8589","0.8628","0.8572","64.09K","0.35%"
"10/22/2021","0.8585","0.8604","0.8606","0.8580","59.50K","-0.22%"
"10/21/2021","0.8604","0.8584","0.8606","0.8571","62.61K","0.24%"
"10/20/2021","0.8583","0.8596","0.8609","0.8577","58.84K","-0.15%"
"10/19/2021","0.8596","0.8613","0.8615","0.8569","54.62K","-0.20%"
"10/18/2021","0.8613","0.8623","0.8643","0.8603","80.36K","-0.09%"
"10/15/2021","0.8621","0.8622","0.8630","0.8606","77.65K","-0.03%"
"10/14/2021","0.8624","0.8626","0.8633","0.8602","47.44K","-0.02%"
"10/13/2021","0.8626","0.8675","0.8676","0.8622","81.90K","-0.55%"
"10/12/2021","0.8674","0.8655","0.8678","0.8643","49.29K","0.20%"
"10/11/2021","0.8657","0.8638","0.8659","0.8630","61.78K","0.15%"
"10/08/2021","0.8644","0.8658","0.8665","0.8632","55.79K","-0.15%"
"10/07/2021","0.8657","0.8654","0.8660","0.8641","58.87K","0.05%"
"10/06/2021","0.8653","0.8619","0.8674","0.8617","68.60K","0.35%"
"10/05/2021","0.8623","0.8604","0.8636","0.8603","67.91K","0.21%"
"10/04/2021","0.8605","0.8626","0.8631","0.8591","52.38K","-0.22%"
"10/01/2021","0.8624","0.8635","0.8649","0.8615","51.54K","-0.12%"
"09/30/2021","0.8634","0.8624","0.8649","0.8612","73.40K","0.13%"
"09/29/2021","0.8623","0.8560","0.8629","0.8554","66.60K","0.74%"
"09/28/2021","0.8560","0.8550","0.8571","0.8544","74.31K","0.11%"
