Date,USD/GHS,USD/GHC
07/01/2007,0.9307,9307
06/01/2007,0.9267,9267
05/01/2007,0.9276,9276
04/01/2007,0.9270,9270
03/01/2007,0.9263,9263
02/01/2007,0.9295,9295
01/01/2007,0.9210,9210
12/01/2006,0.9223,9223
11/01/2006,0.9214,9214
10/01/2006,0.9243,9243
09/01/2006,0.9230,9230
08/01/2006,0.9200,9200
07/01/2006,0.9225,9225
06/01/2006,0.9160,9160
05/01/2006,0.9153,9153
04/01/2006,0.9140,9140
03/01/2006,0.9163,9163
02/01/2006,0.9140,9140
01/01/2006,0.9095,9095
12/01/2005,0.9100,9100
11/01/2005,0.9100,9100
10/01/2005,0.9075,9075
09/01/2005,0.9062,9062
08/01/2005,0.9050,9050
07/01/2005,0.9040,9040
06/01/2005,0.9038,9038
05/01/2005,0.9025,9025
04/01/2005,0.9027,9027
03/01/2005,0.9025,9025
02/01/2005,0.9018,9018
01/01/2005,0.9000,9000
12/01/2004,0.9000,9000
11/01/2004,0.9020,9020
10/01/2004,0.9000,9000
09/01/2004,0.9010,9010
08/01/2004,0.9012,9012
07/01/2004,0.9032,9032
06/01/2004,0.9000,9000
05/01/2004,0.9008,9008
04/01/2004,0.8850,8850
03/01/2004,0.8813,8813
02/01/2004,0.8800,8800
01/01/2004,0.8675,8675
12/01/2003,0.8650,8650
11/01/2003,0.8800,8800
10/01/2003,0.8538,8538
09/01/2003,0.8550,8550
08/01/2003,0.8550,8550
07/01/2003,0.8450,8450
06/01/2003,0.8680,8680
05/01/2003,0.8675,8675
04/01/2003,0.8635,8635
03/01/2003,0.8375,8375
02/01/2003,0.8300,8300
01/01/2003,0.8375,8375
