"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","6.8750","6.8500","6.9750","6.6500","9.37K","3.38%"
"03/01/2022","6.6500","6.7850","6.8450","6.6250","0.13K","-1.12%"
"02/28/2022","6.7250","6.8250","6.8350","6.6200","0.06K","-0.22%"
"02/25/2022","6.7400","6.7700","6.8525","6.6450","0.07K","0.60%"
"02/24/2022","6.7000","6.7000","6.8000","6.5213","2.09K","0.00%"
"02/23/2022","6.7000","6.6500","6.7850","6.5400","6.93K","1.52%"
"02/22/2022","6.6000","6.5500","6.7750","6.5000","2.33K","0.00%"
"02/21/2022","6.6000","6.5900","6.7750","6.4250","7.97K","0.76%"
"02/18/2022","6.5500","6.5600","6.6750","6.3500","3.83K","0.00%"
"02/17/2022","6.5500","6.5500","6.5600","6.3200","6.73K","0.77%"
"02/16/2022","6.5000","6.4950","6.6050","6.4000","0.19K","-1.37%"
"02/15/2022","6.5900","6.5300","6.5900","6.4500","0.01K","0.84%"
"02/14/2022","6.5350","6.4550","6.5350","6.3500","0.02K","2.11%"
"02/11/2022","6.4000","6.4000","6.5250","6.2750","2.27K","-0.16%"
"02/10/2022","6.4100","6.4000","6.5100","6.2000","10.11K","0.16%"
"02/09/2022","6.4000","6.3750","6.4950","6.2450","8.42K","0.00%"
"02/08/2022","6.4000","6.0800","6.4500","6.0500","2.51K","1.99%"
"02/07/2022","6.2750","6.4100","6.4750","6.1950","0.04K","-1.95%"
"02/04/2022","6.4000","6.3500","6.4750","6.1750","0.40K","0.79%"
"02/03/2022","6.3500","6.2950","6.4500","6.2000","0.12K","-0.39%"
"02/02/2022","6.3750","6.4250","6.5150","6.1750","0.17K","1.59%"
"02/01/2022","6.2750","6.2000","6.4000","6.1500","0.14K","0.00%"
"01/31/2022","6.2750","6.3750","6.3750","5.9975","0.09K","-0.40%"
"01/28/2022","6.3000","6.2750","6.3825","6.1250","0.15K","0.08%"
"01/27/2022","6.2950","6.2750","6.3500","6.1500","0.07K","0.88%"
"01/26/2022","6.2400","6.2750","6.3863","6.1050","0.09K","-0.08%"
"01/25/2022","6.2450","6.2700","6.3300","6.0375","0.18K","0.00%"
"01/24/2022","6.2450","6.3300","6.3300","6.0375","0.01K","0.00%"
"01/21/2022","6.2450","6.2400","6.3300","6.1150","7.41K","-0.32%"
"01/20/2022","6.2650","6.2675","6.3500","6.1200","12.33K","-0.08%"
"01/19/2022","6.2700","6.2400","6.3550","6.0900","8.44K","0.48%"
"01/18/2022","6.2400","6.1925","6.3250","6.1125","9.87K","-0.44%"
"01/17/2022","6.2675","6.2300","6.3413","6.1200","7.98K","0.44%"
"01/14/2022","6.2400","6.2200","6.3000","6.1100","0.03K","1.05%"
"01/13/2022","6.1750","6.1750","6.3000","6.0800","6.15K","0.00%"
"01/12/2022","6.1750","6.1750","6.3000","6.1050","0.01K","0.16%"
"01/11/2022","6.1650","6.1750","6.3000","6.0900","0.02K","0.00%"
"01/10/2022","6.1650","6.2050","6.3000","6.1400","8.78K","-0.32%"
"01/07/2022","6.1845","6.1845","6.1845","6.1845","","0.00%"
"01/06/2022","6.1845","6.2800","6.2800","6.1050","4.00K","0.15%"
"01/05/2022","6.1750","6.2900","6.2900","6.1350","0.06K","-0.15%"
"01/04/2022","6.1843","6.0800","6.2800","6.0800","0.94K","0.56%"
"01/03/2022","6.1500","6.1500","6.1500","6.1500","","0.00%"
"12/31/2021","6.1500","6.1843","6.1843","6.0950","9.98K","0.00%"
"12/30/2021","6.1500","6.1650","6.2800","6.0950","9.37K","0.00%"
"12/29/2021","6.1500","6.1750","6.2800","6.0950","4.03K","0.00%"
"12/28/2021","6.1500","6.1500","6.1500","6.1500","","0.00%"
"12/27/2021","6.1500","6.1500","6.1500","6.1500","","0.00%"
"12/24/2021","6.1500","6.2200","6.2800","6.0950","0.02K","0.49%"
"12/23/2021","6.1200","6.0950","6.2800","6.0950","0.01K","-0.89%"
"12/22/2021","6.1750","6.1750","6.2800","6.0950","0.09K","0.00%"
"12/21/2021","6.1750","6.1750","6.2800","6.0900","0.02K","0.00%"
"12/20/2021","6.1750","6.1550","6.2800","6.0950","0.03K","0.00%"
"12/17/2021","6.1750","6.2250","6.2750","6.0875","0.06K","0.00%"
"12/16/2021","6.1750","6.1750","6.2750","6.1000","0.12K","0.98%"
"12/15/2021","6.1150","6.0875","6.2750","6.0725","0.10K","0.00%"
"12/14/2021","6.1150","6.1300","6.2700","6.0750","0.02K","-0.24%"
"12/13/2021","6.1300","6.0875","6.2700","6.0375","0.03K","0.00%"
"12/10/2021","6.1300","6.2600","6.2600","6.0850","0.01K","0.04%"
"12/09/2021","6.1275","6.1750","6.2500","6.0700","0.10K","0.04%"
"12/08/2021","6.1250","6.0900","6.2400","6.0725","0.04K","0.57%"
"12/07/2021","6.0900","6.0900","6.2300","6.0750","0.01K","-1.38%"
"12/06/2021","6.1750","6.2200","6.2300","6.0750","0.14K","0.16%"
"12/03/2021","6.1650","6.1650","6.1650","6.0875","0.05K","1.07%"
"12/02/2021","6.1000","6.2200","6.2200","6.0800","0.02K","-0.61%"
"12/01/2021","6.1375","6.1500","6.2100","6.0900","6.82K","0.04%"
"11/30/2021","6.1350","6.1450","6.1750","6.0875","13.55K","-0.04%"
"11/29/2021","6.1375","6.0900","6.2100","6.0725","10.82K","0.78%"
"11/26/2021","6.0900","6.0875","6.1900","6.0725","11.75K","-0.61%"
"11/25/2021","6.1275","6.1275","6.2000","6.0750","40.99K","0.00%"
"11/24/2021","6.1275","6.1500","6.1800","6.0550","18.99K","-0.37%"
"11/23/2021","6.1500","6.1350","6.1800","6.0125","9.64K","0.16%"
"11/22/2021","6.1400","6.0600","6.1700","6.0300","12.35K","-0.16%"
"11/19/2021","6.1500","6.1500","6.1900","6.0300","9.63K","0.00%"
"11/18/2021","6.1500","6.1500","6.1750","6.0450","12.35K","0.00%"
"11/17/2021","6.1500","6.1500","6.1750","6.0200","11.45K","0.00%"
"11/16/2021","6.1500","6.1500","6.1750","6.0350","10.71K","0.00%"
"11/15/2021","6.1500","6.0600","6.1800","6.0250","9.63K","0.41%"
