"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2020","52.4000","52.7000","52.7500","51.5000","0.81K","0.00%"
"09/11/2020","52.4000","52.4000","52.7750","51.5000","0.59K","0.00%"
"09/10/2020","52.4000","52.4000","52.7750","51.7500","0.60K","0.00%"
"09/09/2020","52.4000","52.4000","52.7500","51.5000","0.65K","0.00%"
"09/08/2020","52.4000","52.4000","52.7500","51.5000","0.65K","0.00%"
"09/07/2020","52.4000","52.8000","52.8000","51.5000","0.55K","0.00%"
"09/04/2020","52.4000","52.4000","52.8000","51.5000","0.65K","0.00%"
"09/03/2020","52.4000","52.4000","52.7500","52.3000","0.82K","0.00%"
"09/02/2020","52.4000","52.4000","52.7500","52.3000","1.17K","0.00%"
"09/01/2020","52.4000","52.4000","52.8000","52.3000","1.14K","0.00%"
"08/31/2020","52.4000","52.7000","52.8100","51.9250","0.76K","0.00%"
"08/28/2020","52.4000","52.4000","52.7500","52.3000","1.44K","0.00%"
"08/27/2020","52.4000","52.4000","52.7500","52.3000","1.37K","0.00%"
"08/26/2020","52.4000","52.7000","52.8000","52.3500","1.23K","0.00%"
"08/25/2020","52.4000","52.4000","52.7500","51.9250","1.35K","0.00%"
"08/24/2020","52.4000","52.7000","52.7500","51.2500","0.57K","0.00%"
"08/21/2020","52.4000","52.4000","52.8000","51.9750","0.63K","0.00%"
"08/20/2020","52.4000","52.6000","52.8000","51.2500","0.53K","0.00%"
"08/19/2020","52.4000","52.7000","52.7500","51.2500","0.53K","-0.57%"
"08/18/2020","52.7000","52.4000","52.8000","51.7500","0.37K","0.57%"
"08/17/2020","52.4000","52.7000","52.8000","51.7500","0.35K","0.00%"
"08/14/2020","52.4000","52.4000","52.7500","51.9250","1.43K","0.00%"
"08/13/2020","52.4000","52.4000","52.7500","51.7250","1.38K","0.00%"
"08/12/2020","52.4000","52.4000","52.7500","51.7500","1.32K","0.00%"
"08/11/2020","52.4000","52.4000","52.6500","51.7000","1.35K","0.00%"
"08/10/2020","52.4000","52.6000","52.7500","51.7500","0.70K","0.00%"
"08/07/2020","52.4000","52.4000","52.8000","51.8500","0.68K","0.00%"
"08/06/2020","52.4000","52.3750","52.8500","51.7750","0.73K","0.05%"
"08/05/2020","52.3750","52.5000","52.6250","52.2250","0.99K","0.00%"
"08/04/2020","52.3750","52.3750","52.6250","52.2250","1.00K","0.00%"
"08/03/2020","52.3750","52.6000","52.8000","51.7400","0.54K","0.05%"
"07/31/2020","52.3500","52.3500","52.7000","52.2550","1.47K","0.00%"
"07/30/2020","52.3500","52.4500","52.8000","51.7500","0.94K","-0.54%"
"07/29/2020","52.6350","52.4500","52.8000","51.7500","0.58K","0.35%"
"07/28/2020","52.4500","52.4500","52.7500","51.7500","0.72K","0.00%"
"07/27/2020","52.4500","52.6800","52.8500","51.8000","0.36K","0.00%"
"07/24/2020","52.4500","52.4500","52.8500","51.8000","1.26K","0.00%"
"07/23/2020","52.4500","52.4500","52.8500","51.8000","1.33K","0.00%"
"07/22/2020","52.4500","52.4500","52.9000","51.8000","1.38K","0.00%"
"07/21/2020","52.4500","52.4500","52.8500","51.7500","0.89K","0.00%"
"07/20/2020","52.4500","52.3000","52.7500","51.6500","0.68K","0.00%"
"07/17/2020","52.4500","52.4500","52.6500","51.6500","1.27K","0.00%"
"07/16/2020","52.4500","52.4500","52.7000","51.7000","1.39K","0.00%"
"07/15/2020","52.4500","52.4000","52.7000","51.7500","1.38K","0.10%"
