"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2022","8,973.50","8,974.50","8,974.96","8,915.00","1.04K","-0.01%"
"03/02/2022","8,974.50","8,975.00","8,975.46","8,927.56","0.86K","-0.01%"
"03/01/2022","8,975.00","8,976.00","8,976.46","8,925.00","0.52K","-0.01%"
"02/28/2022","8,976.00","8,940.00","8,979.91","8,919.25","0.79K","-0.03%"
"02/25/2022","8,979.00","8,981.50","8,981.96","8,937.06","0.56K","-0.03%"
"02/24/2022","8,981.50","8,986.00","8,998.50","8,942.50","0.56K","-0.05%"
"02/23/2022","8,986.00","8,984.00","8,986.46","8,947.53","0.49K","0.02%"
"02/22/2022","8,984.00","8,984.50","8,998.41","8,949.55","0.58K","-0.01%"
"02/21/2022","8,984.50","8,982.50","9,065.00","8,965.00","0.53K","-0.03%"
"02/18/2022","8,987.50","8,993.00","9,070.00","8,965.00","0.42K","-0.06%"
"02/17/2022","8,993.00","8,999.50","9,075.00","8,970.00","0.84K","-0.07%"
"02/16/2022","8,999.50","9,005.00","9,080.00","8,975.00","0.64K","-0.06%"
"02/15/2022","9,005.00","9,009.00","9,080.00","8,962.50","0.54K","-0.04%"
"02/14/2022","9,009.00","9,035.00","9,100.00","8,975.00","0.51K","-0.09%"
"02/11/2022","9,017.00","9,020.50","9,057.13","9,012.63","0.57K","-0.04%"
"02/10/2022","9,020.50","9,040.00","9,100.50","9,020.00","0.24K","-0.22%"
"02/09/2022","9,040.00","9,050.00","9,101.67","9,035.04","0.02K","-0.11%"
"02/08/2022","9,050.00","9,080.00","9,120.01","9,041.49","0.02K","-0.33%"
"02/07/2022","9,079.61","9,070.00","9,099.00","9,064.95","0.03K","0.11%"
"02/04/2022","9,070.00","9,000.00","9,112.90","8,932.50","0.02K","0.76%"
"02/03/2022","9,001.15","9,000.00","9,095.96","8,984.26","0.02K","0.01%"
"02/02/2022","9,000.00","9,005.00","9,100.46","8,999.18","0.04K","-0.06%"
"02/01/2022","9,005.00","9,005.00","9,026.12","8,999.95","0.02K","0.00%"
"01/31/2022","9,005.00","9,026.00","9,101.00","9,002.50","0.04K","-0.11%"
"01/28/2022","9,015.00","9,050.00","9,064.38","9,015.00","0.02K","-0.39%"
"01/27/2022","9,050.00","9,050.00","9,124.37","9,000.00","0.02K","0.00%"
"01/26/2022","9,050.00","9,015.00","9,121.48","8,982.50","0.03K","0.37%"
"01/25/2022","9,017.00","9,020.00","9,101.39","8,996.31","0.02K","-0.03%"
"01/24/2022","9,020.00","9,035.00","9,101.79","9,020.00","0.03K","-0.17%"
"01/21/2022","9,035.00","9,045.00","9,099.95","8,992.50","0.03K","-0.11%"
"01/20/2022","9,045.00","9,035.00","9,122.61","8,990.00","0.04K","-0.53%"
"01/19/2022","9,093.44","9,050.00","9,100.00","8,990.00","0.02K","-0.04%"
"01/18/2022","9,097.06","9,050.00","9,171.50","9,026.75","0.04K","0.52%"
"01/17/2022","9,050.00","9,050.00","9,080.50","9,037.75","0.02K","0.00%"
"01/14/2022","9,050.00","9,054.00","9,115.00","8,999.25","0.03K","-0.11%"
"01/13/2022","9,060.00","9,030.00","9,162.07","8,990.00","0.02K","0.33%"
"01/12/2022","9,030.00","9,110.00","9,193.86","8,990.00","0.03K","-1.66%"
"01/11/2022","9,182.14","9,105.00","9,199.78","9,052.50","0.03K","0.85%"
"01/10/2022","9,105.00","9,112.50","9,256.33","9,052.50","0.03K","-0.38%"
"01/07/2022","9,140.00","9,130.00","9,281.81","9,065.00","0.03K","0.11%"
"01/06/2022","9,130.00","9,205.00","9,291.71","9,077.50","0.04K","-0.81%"
"01/05/2022","9,205.00","9,223.00","9,303.01","9,185.42","0.04K","-0.20%"
"01/04/2022","9,223.00","9,255.00","9,341.02","9,219.00","0.04K","-0.35%"
"01/03/2022","9,255.00","9,243.00","9,339.29","9,222.02","0.04K","0.13%"
"12/31/2021","9,243.00","9,343.50","9,378.48","9,228.38","0.03K","-0.01%"
"12/30/2021","9,244.00","9,438.00","9,467.58","9,223.33","0.28K","-2.06%"
"12/29/2021","9,438.00","9,449.50","9,469.82","9,222.50","0.59K","-0.12%"
"12/28/2021","9,449.50","9,457.00","9,488.34","9,230.00","1.16K","-0.08%"
"12/27/2021","9,457.00","9,275.00","9,477.14","9,243.50","0.66K","-0.03%"
"12/24/2021","9,460.00","9,464.50","9,495.83","9,272.50","0.90K","-0.05%"
"12/23/2021","9,464.50","9,478.00","9,500.49","9,262.50","0.57K","-0.14%"
"12/22/2021","9,478.00","9,478.00","9,500.49","9,265.00","0.55K","0.00%"
"12/21/2021","9,478.00","9,478.00","9,506.49","9,265.00","0.19K","0.00%"
"12/20/2021","9,478.00","9,514.00","9,527.74","9,287.50","0.60K","-0.03%"
"12/17/2021","9,481.00","9,484.00","9,511.82","9,280.00","1.11K","-0.03%"
"12/16/2021","9,484.00","9,486.50","9,502.46","9,292.50","0.99K","-0.03%"
"12/15/2021","9,486.50","9,328.00","9,502.46","9,297.50","1.09K","-0.04%"
"12/14/2021","9,490.50","9,493.00","9,501.12","9,309.00","0.82K","-0.03%"
"12/13/2021","9,493.00","9,479.00","9,506.24","9,302.50","0.53K","-0.04%"
"12/10/2021","9,497.00","9,500.50","9,514.44","9,317.00","0.54K","-0.04%"
