Date,Open,High,Low,Close
2003-06-01,65.89,66.20,65.50,66.10
2003-06-08,66.10,66.50,65.90,66.38
2003-06-15,66.38,66.90,66.10,66.72
2003-06-22,66.72,67.10,66.40,67.04
2003-06-29,67.04,67.45,66.80,67.45

2003-07-06,67.45,68.00,67.20,67.72
2003-07-13,67.72,68.40,67.60,68.10
2003-07-20,68.10,68.70,67.80,68.36
2003-07-27,68.36,69.20,68.00,69.00

2003-08-03,69.00,69.50,64.00,62.50
2003-08-10,62.50,63.20,55.50,58.20
2003-08-17,58.20,59.00,53.30,55.20
2003-08-24,55.20,56.00,53.00,53.40
2003-08-31,53.40,53.60,52.80,53.13

2003-09-07,53.13,54.00,53.00,53.71
2003-09-14,53.71,54.30,53.40,54.00
2003-09-21,54.00,54.60,53.70,54.18
2003-09-28,54.18,54.80,53.80,54.32

2003-10-05,54.32,54.32,47.50,46.20
2003-10-12,46.20,48.00,44.50,45.00
2003-10-19,45.00,45.50,43.50,44.20
2003-10-26,44.20,44.40,42.80,43.38

2003-11-02,43.38,43.80,42.20,42.20
2003-11-09,42.20,42.60,41.60,41.90
2003-11-16,41.90,42.20,41.10,41.30
2003-11-23,41.30,41.60,40.20,40.70
2003-11-30,40.70,41.20,40.20,40.52

2003-12-07,40.52,41.20,40.40,41.20
2003-12-14,41.20,41.80,41.00,41.60
2003-12-21,41.60,42.20,41.20,42.30
2003-12-28,42.30,42.60,41.80,42.44
