"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2018","36.500","36.455","36.543","36.364","","0.00%"
"12/19/2018","36.500","36.500","36.721","36.371","","-0.04%"
"12/18/2018","36.513","36.500","36.557","36.314","","0.04%"
"12/17/2018","36.500","36.358","36.745","36.324","","0.27%"
"12/16/2018","36.400","36.400","36.400","36.400","","0.00%"
"12/15/2018","36.400","36.400","36.400","36.400","","-0.01%"
"12/14/2018","36.403","36.500","36.586","36.332","","-0.13%"
"12/13/2018","36.450","36.725","36.729","36.375","","-0.75%"
"12/12/2018","36.725","36.725","36.789","36.400","","0.00%"
"12/11/2018","36.725","36.725","36.731","36.450","","0.00%"
"12/10/2018","36.725","36.500","36.796","36.475","","0.62%"
"12/09/2018","36.500","36.500","36.500","36.500","","0.00%"
"12/08/2018","36.500","36.500","36.500","36.500","","-0.67%"
"12/07/2018","36.745","36.745","36.751","36.450","","0.00%"
"12/06/2018","36.745","36.735","36.754","36.450","","0.03%"
"12/05/2018","36.735","36.735","36.758","36.475","","0.00%"
"12/04/2018","36.735","36.800","36.820","36.457","","-0.27%"
"12/03/2018","36.834","36.800","36.852","36.600","","0.09%"
"12/02/2018","36.800","36.800","36.800","36.800","","0.00%"
"12/01/2018","36.800","36.800","36.800","36.800","","0.00%"
"11/30/2018","36.800","36.800","36.811","36.575","","0.00%"
"11/29/2018","36.800","36.800","36.800","36.600","","0.00%"
"11/28/2018","36.800","36.810","36.812","36.600","","-0.03%"
"11/27/2018","36.810","36.810","36.817","36.600","","0.00%"
"11/26/2018","36.810","36.810","36.814","36.600","","0.00%"
"11/25/2018","36.810","36.810","36.810","36.810","","0.00%"
"11/24/2018","36.810","36.810","36.810","36.810","","0.00%"
"11/23/2018","36.810","36.785","36.810","36.620","","0.07%"
"11/22/2018","36.785","36.785","36.785","36.670","","0.00%"
"11/21/2018","36.785","36.790","36.799","36.587","","-0.01%"
"11/20/2018","36.790","36.790","36.799","36.605","","0.00%"
"11/19/2018","36.790","36.790","36.796","36.600","","0.00%"
"11/18/2018","36.790","36.790","36.790","36.790","","0.00%"
"11/17/2018","36.790","36.790","36.790","36.790","","0.00%"
"11/16/2018","36.790","36.790","36.790","36.650","","0.00%"
"11/15/2018","36.790","36.790","36.792","36.582","","0.00%"
"11/14/2018","36.790","36.790","36.796","36.600","","0.00%"
"11/13/2018","36.790","36.790","36.803","36.550","","0.00%"
"11/12/2018","36.790","36.790","36.790","36.790","","0.00%"
"11/11/2018","36.790","36.790","36.790","36.790","","0.00%"
"11/10/2018","36.790","36.790","36.790","36.790","","0.00%"
"11/09/2018","36.790","36.435","36.801","36.435","","0.97%"
"11/08/2018","36.435","36.480","36.486","36.426","","-0.12%"
"11/07/2018","36.480","36.480","36.491","36.037","","0.00%"
