"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","415.590","416.090","416.090","416.090","","0.00%"
"03/01/2022","415.590","416.020","416.090","415.500","0.01K","0.02%"
"02/28/2022","415.520","415.890","416.020","415.500","0.03K","0.03%"
"02/25/2022","415.390","415.890","415.890","415.890","","0.00%"
"02/24/2022","415.390","415.890","415.890","415.890","","0.00%"
"02/23/2022","415.390","415.890","415.890","415.890","","0.00%"
"02/22/2022","415.390","415.870","415.890","415.870","0.02K","0.00%"
"02/21/2022","415.370","415.870","415.870","415.870","","0.00%"
"02/18/2022","415.370","415.870","415.900","415.870","0.02K","0.00%"
"02/17/2022","415.370","415.810","415.870","415.800","0.02K","0.01%"
"02/16/2022","415.310","415.810","415.810","415.800","0.01K","0.00%"
"02/15/2022","415.310","416.410","416.450","415.810","0.02K","-0.14%"
"02/14/2022","415.910","417.010","417.050","415.500","0.02K","-0.14%"
"02/11/2022","416.510","416.870","417.010","416.870","0.02K","0.03%"
"02/10/2022","416.370","416.750","416.870","416.750","0.02K","0.03%"
"02/09/2022","416.250","416.550","416.750","416.550","0.02K","0.05%"
"02/08/2022","416.050","416.380","416.550","415.500","0.01K","0.04%"
"02/07/2022","415.880","416.200","416.380","415.500","0.03K","0.04%"
"02/04/2022","415.700","416.040","416.200","416.020","0.02K","0.04%"
"02/03/2022","415.540","415.830","416.040","415.800","0.01K","0.05%"
"02/02/2022","415.330","414.760","415.860","414.760","0.04K","0.26%"
"02/01/2022","414.260","415.830","415.830","414.760","0.02K","-0.26%"
"01/31/2022","415.330","415.660","415.830","415.500","0.03K","0.04%"
"01/28/2022","415.160","415.490","415.660","415.490","0.02K","0.04%"
"01/27/2022","414.990","415.320","415.490","415.320","0.02K","0.04%"
"01/26/2022","414.820","415.120","415.320","415.120","0.03K","0.05%"
"01/25/2022","414.620","415.030","415.140","415.030","0.02K","0.02%"
"01/24/2022","414.530","414.950","415.500","414.950","0.02K","0.02%"
"01/21/2022","414.450","414.950","415.000","414.950","0.02K","0.00%"
"01/20/2022","414.450","414.670","414.950","414.670","0.03K","0.07%"
"01/19/2022","414.170","414.500","414.670","414.500","0.02K","0.04%"
"01/18/2022","414.000","414.290","414.500","414.290","0.03K","0.05%"
"01/17/2022","413.790","414.290","415.500","414.290","0.01K","0.00%"
"01/14/2022","413.790","414.100","414.290","414.100","0.02K","0.05%"
"01/13/2022","413.600","413.940","414.110","413.940","0.01K","0.04%"
"01/12/2022","413.440","413.600","414.500","413.600","0.03K","0.08%"
"01/11/2022","413.100","413.640","413.640","413.600","0.03K","-0.01%"
"01/10/2022","413.140","413.210","414.290","413.210","0.02K","0.04%"
"01/07/2022","412.960","413.040","413.210","413.040","0.03K","0.04%"
"01/06/2022","412.790","412.800","413.040","412.800","0.04K","0.06%"
"01/05/2022","412.550","412.740","412.920","412.740","0.04K","0.01%"
"01/04/2022","412.490","412.740","413.500","412.740","0.02K","0.00%"
"01/03/2022","412.490","411.950","412.740","411.930","0.03K","0.19%"
"12/31/2021","411.700","411.250","411.950","411.250","0.02K","0.17%"
"12/30/2021","411.000","411.200","413.500","411.200","0.02K","0.01%"
"12/29/2021","410.950","411.200","413.500","411.190","0.01K","0.00%"
"12/28/2021","410.950","411.200","411.200","411.150","0.02K","0.00%"
"12/27/2021","410.950","411.180","411.200","411.170","0.04K","0.00%"
"12/24/2021","410.930","411.180","411.180","411.180","","0.00%"
"12/23/2021","410.930","411.170","411.180","411.150","0.02K","0.00%"
"12/22/2021","410.920","411.160","411.170","411.150","0.02K","0.00%"
"12/21/2021","410.910","410.160","411.160","410.160","0.02K","0.24%"
"12/20/2021","409.910","410.160","413.500","410.160","0.01K","0.00%"
"12/17/2021","409.910","410.080","410.160","410.070","0.03K","0.02%"
"12/16/2021","409.830","409.980","410.080","409.970","0.01K","0.02%"
"12/15/2021","409.730","409.970","413.500","409.950","0.02K","0.00%"
"12/14/2021","409.720","410.200","413.500","409.970","0.02K","-0.06%"
"12/13/2021","409.950","409.970","413.500","409.970","0.03K","0.06%"
"12/10/2021","409.720","410.000","410.000","409.970","0.01K","0.00%"
"12/09/2021","409.740","409.990","410.000","409.990","0.01K","0.00%"
"12/08/2021","409.740","409.990","409.990","409.970","0.00K","0.00%"
"12/07/2021","409.740","409.990","409.990","409.990","","0.00%"
"12/06/2021","409.740","409.980","413.500","409.980","0.02K","0.00%"
"12/03/2021","409.730","409.950","409.980","409.950","0.01K","0.01%"
"12/02/2021","409.700","409.910","409.970","409.910","0.02K","0.01%"
"12/01/2021","409.660","409.890","409.910","409.890","0.02K","0.00%"
"11/30/2021","409.640","409.890","409.900","409.890","0.01K","0.00%"
"11/29/2021","409.640","409.890","413.500","409.890","0.02K","0.00%"
"11/26/2021","409.640","409.900","409.900","409.890","0.01K","0.00%"
"11/25/2021","409.630","409.880","409.880","409.880","","0.00%"
"11/24/2021","409.630","409.880","409.880","409.850","0.00K","0.00%"
"11/23/2021","409.630","410.840","410.840","409.880","0.01K","-0.23%"
"11/22/2021","410.590","410.840","413.500","410.840","0.00K","0.00%"
"11/19/2021","410.590","410.820","410.850","410.820","0.01K","0.00%"
"11/18/2021","410.570","410.680","410.820","410.680","0.02K","0.03%"
"11/17/2021","410.430","410.680","410.680","410.650","0.01K","0.00%"
"11/16/2021","410.430","410.670","410.680","410.650","0.02K","0.00%"
"11/15/2021","410.420","410.640","413.500","410.640","0.02K","0.01%"
"11/12/2021","410.390","410.620","410.640","410.600","0.02K","0.00%"
"11/11/2021","410.370","410.590","410.620","410.580","0.01K","0.01%"
"11/10/2021","410.340","410.570","410.590","410.550","0.02K","0.00%"
"11/09/2021","410.320","410.540","410.570","410.500","0.01K","0.01%"
"11/08/2021","410.290","410.520","413.500","409.500","0.02K","0.00%"
"11/05/2021","410.270","410.490","410.520","410.470","0.02K","0.01%"
"11/04/2021","410.240","410.460","413.830","410.450","0.02K","0.01%"
"11/03/2021","410.210","410.420","414.230","410.400","0.02K","0.01%"
"11/02/2021","410.170","410.300","410.420","410.300","0.02K","0.03%"
"11/01/2021","410.050","410.310","413.500","409.500","0.02K","0.00%"
"10/29/2021","410.060","410.250","410.310","410.250","0.01K","0.01%"
"10/28/2021","410.000","410.270","410.270","410.250","0.04K","0.00%"
"10/27/2021","410.020","410.240","410.270","410.230","0.03K","0.01%"
"10/26/2021","409.990","410.210","410.240","410.200","0.01K","0.01%"
"10/25/2021","409.960","410.900","413.500","410.180","0.02K","0.01%"
"10/22/2021","409.910","410.880","410.910","410.880","0.02K","0.01%"
"10/21/2021","409.880","410.820","410.880","410.800","0.01K","0.01%"
"10/20/2021","409.820","410.890","410.890","410.820","0.01K","-0.02%"
"10/19/2021","409.890","410.910","410.950","410.890","0.02K","0.00%"
"10/18/2021","409.910","410.910","413.500","410.900","0.01K","0.00%"
"10/15/2021","409.910","410.850","410.910","410.820","0.01K","0.01%"
"10/14/2021","409.850","410.820","410.850","410.800","0.01K","0.01%"
"10/13/2021","409.820","410.870","412.750","410.800","0.03K","-0.01%"
"10/12/2021","409.870","410.770","413.270","410.750","0.04K","0.02%"
"10/11/2021","409.770","410.810","413.500","410.770","0.02K","-0.01%"
"10/08/2021","409.810","410.810","410.810","410.800","0.01K","0.00%"
"10/07/2021","409.810","410.820","412.250","410.780","0.01K","0.00%"
"10/06/2021","409.820","410.800","410.820","410.800","0.01K","0.00%"
"10/05/2021","409.800","410.800","410.800","410.800","","0.00%"
"10/04/2021","409.800","410.770","413.500","410.770","0.01K","0.01%"
"10/01/2021","409.770","410.800","410.800","410.770","0.02K","-0.01%"
"09/30/2021","409.800","409.760","410.800","409.760","0.01K","0.25%"
"09/29/2021","408.760","409.760","413.500","409.760","0.01K","0.00%"
"09/28/2021","408.760","411.500","411.500","409.260","0.03K","-0.55%"
"09/27/2021","411.000","411.500","413.500","411.500","0.01K","0.00%"
"09/24/2021","411.000","411.500","412.430","411.500","0.01K","0.00%"
"09/23/2021","411.000","411.500","411.750","411.500","0.01K","0.00%"
"09/22/2021","411.000","411.500","412.500","411.500","0.01K","0.00%"
"09/21/2021","411.000","411.500","411.500","411.000","0.01K","0.00%"
"09/20/2021","411.000","411.500","411.750","411.500","0.01K","0.00%"
"09/17/2021","411.000","411.500","411.500","411.500","","0.00%"
"09/16/2021","411.000","411.500","412.000","411.500","0.02K","0.00%"
"09/15/2021","411.000","411.500","411.500","411.500","","0.00%"
"09/14/2021","411.000","411.500","411.500","409.500","0.01K","0.00%"
"09/13/2021","411.000","411.430","412.000","411.430","0.01K","0.02%"
"09/10/2021","410.930","411.400","411.750","411.200","0.01K","0.01%"
"09/09/2021","410.900","411.300","411.450","410.750","0.02K","0.02%"
"09/08/2021","410.800","411.500","411.500","411.000","0.01K","-0.05%"
"09/07/2021","411.000","411.520","411.520","410.250","0.01K","0.00%"
"09/06/2021","411.020","411.520","411.520","411.500","0.01K","0.00%"
"09/03/2021","411.020","411.500","411.520","410.750","0.02K","0.00%"
"09/02/2021","411.000","411.500","412.000","410.500","0.02K","0.00%"
"09/01/2021","411.000","411.500","412.000","411.500","0.01K","0.00%"
"08/31/2021","411.000","411.500","412.000","409.500","0.01K","0.00%"
"08/30/2021","411.000","411.500","412.000","411.500","0.01K","0.00%"
"08/27/2021","411.000","411.500","411.500","410.500","0.01K","0.00%"
"08/26/2021","411.000","411.550","411.550","411.500","0.01K","-0.01%"
"08/25/2021","411.050","411.500","411.550","411.500","0.01K","0.01%"
"08/24/2021","411.000","411.550","411.550","409.500","0.01K","-0.01%"
"08/23/2021","411.050","411.700","411.700","411.500","0.01K","-0.04%"
"08/20/2021","411.200","411.800","411.800","411.700","0.02K","-0.02%"
"08/19/2021","411.300","411.900","411.900","411.800","0.01K","-0.02%"
"08/18/2021","411.400","411.700","412.000","411.700","0.02K","0.05%"
"08/17/2021","411.200","411.500","412.000","411.500","0.01K","0.05%"
"08/16/2021","411.000","411.500","411.500","411.065","0.01K","0.00%"
"08/13/2021","411.000","411.500","411.500","410.500","0.01K","0.00%"
"08/12/2021","411.000","411.500","411.500","409.500","0.01K","0.00%"
"08/11/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/10/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/09/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/06/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/05/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/04/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/03/2021","411.000","411.500","411.500","411.500","","0.00%"
"08/02/2021","411.000","411.500","411.550","411.250","0.02K","0.00%"
"07/30/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/29/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/28/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/27/2021","411.000","411.500","411.500","411.250","0.00K","0.00%"
"07/26/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/23/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/22/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/21/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/20/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/19/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/16/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/15/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/14/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/13/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/12/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/09/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/08/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/07/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/06/2021","411.000","411.500","411.500","411.500","","0.00%"
"07/05/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/02/2021","411.000","411.500","411.500","411.250","0.01K","0.00%"
"07/01/2021","411.000","411.500","411.500","411.500","","0.00%"
"06/30/2021","411.000","411.500","411.500","411.500","","0.00%"
"06/29/2021","411.000","411.500","411.500","411.500","","0.00%"
"06/28/2021","411.000","411.500","411.500","411.250","0.00K","0.00%"
"06/25/2021","411.000","411.500","411.500","410.750","0.01K","0.00%"
"06/24/2021","411.000","411.500","411.500","411.500","","0.00%"
"06/23/2021","411.000","411.380","411.500","410.250","0.02K","0.03%"
"06/22/2021","410.880","410.900","411.500","408.500","0.03K","0.12%"
"06/21/2021","410.400","410.500","411.250","410.500","0.02K","0.10%"
"06/18/2021","410.000","410.500","410.500","410.500","","0.00%"
"06/17/2021","410.000","410.500","410.500","408.500","0.01K","0.00%"
"06/16/2021","410.000","412.980","412.980","408.500","0.01K","-0.12%"
"06/15/2021","410.480","412.590","413.240","408.500","0.04K","0.10%"
"06/14/2021","410.090","412.590","412.590","412.590","","0.00%"
"06/11/2021","410.090","412.540","412.595","410.250","0.03K","0.01%"
"06/10/2021","410.040","412.540","412.945","408.500","0.02K","0.00%"
"06/09/2021","410.040","412.540","412.540","410.250","0.02K","0.00%"
"06/08/2021","410.040","412.540","412.770","408.500","0.01K","0.00%"
"06/07/2021","410.050","412.550","413.025","408.500","0.01K","0.00%"
