"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2022","22.1378","22.2552","22.4990","22.1609","1.04K","0.49%"
"03/02/2022","22.0303","22.2432","22.4489","21.9346","0.85K","0.04%"
"03/01/2022","22.0204","22.0608","22.4410","21.9541","0.51K","0.84%"
"02/28/2022","21.8379","22.1279","22.2133","21.8870","0.80K","0.50%"
"02/25/2022","21.7294","22.1150","22.2929","21.8963","0.55K","-0.70%"
"02/24/2022","21.8828","21.8775","22.3721","21.7607","0.54K","0.97%"
"02/23/2022","21.6718","21.8408","22.0638","21.7684","0.47K","0.19%"
"02/22/2022","21.6297","21.8756","21.9239","21.7206","0.51K","-0.13%"
"02/21/2022","21.6584","21.8582","21.8901","21.7449","0.51K","0.13%"
"02/18/2022","21.6297","21.7850","21.8727","21.6950","0.36K","0.31%"
"02/17/2022","21.5631","21.7591","21.9380","21.6757","0.86K","0.11%"
"02/16/2022","21.5403","21.7832","21.8468","21.6814","0.60K","-0.13%"
"02/15/2022","21.5688","21.8930","21.8959","21.7095","0.52K","-0.47%"
"02/14/2022","21.6699","21.6669","21.9318","21.6508","0.47K","0.41%"
"02/11/2022","21.5821","21.6592","22.0082","21.4060","6.39K","0.67%"
"02/10/2022","21.4385","21.6611","21.7654","21.3781","3.05K","2.09%"
"02/09/2022","21.0000","21.6782","21.7409","21.4199","0.79K","-2.12%"
"02/08/2022","21.4554","21.6308","21.8965","21.6089","1.09K","0.21%"
"02/07/2022","21.4104","21.6176","21.7287","21.4017","0.65K","0.08%"
"02/04/2022","21.3936","21.6403","21.7296","21.3885","1.15K","-0.10%"
"02/03/2022","21.4160","21.8910","21.9629","21.5680","1.11K","-1.17%"
"02/02/2022","21.6699","21.9590","22.0900","21.7913","0.75K","-0.28%"
"02/01/2022","21.7314","22.0274","22.1660","21.9335","0.52K","-0.35%"
"01/31/2022","21.8087","22.1973","22.2415","21.8252","0.52K","-0.75%"
"01/28/2022","21.9730","22.2073","22.2512","21.8252","0.55K","-0.04%"
"01/27/2022","21.9809","22.0216","22.3513","21.7060","0.56K","0.87%"
"01/26/2022","21.7913","21.9007","22.1015","21.6946","0.53K","0.52%"
"01/25/2022","21.6775","21.8456","22.0484","21.7127","0.55K","0.20%"
"01/24/2022","21.6335","21.8216","21.9984","21.6518","0.55K","0.18%"
"01/21/2022","21.5954","21.8775","21.9618","21.6470","0.56K","-0.30%"
"01/20/2022","21.6603","21.8206","21.9618","21.7034","0.54K","0.30%"
"01/19/2022","21.5954","21.8505","21.9956","21.5976","0.55K","-0.13%"
"01/18/2022","21.6240","21.5000","22.0394","21.3441","5.44K","2.97%"
"01/17/2022","21.0000","21.5000","21.7522","21.4400","4.03K","0.00%"
"01/14/2022","21.0000","21.5969","21.7456","21.3875","5.19K","-1.81%"
"01/13/2022","21.3880","21.6298","21.7150","21.4941","0.54K","-0.12%"
"01/12/2022","21.4142","21.7678","21.7956","21.6101","0.54K","-0.61%"
"01/11/2022","21.5460","21.8543","21.9466","21.6867","0.55K","-0.37%"
"01/10/2022","21.6259","21.7994","22.0013","21.7350","0.34K","0.29%"
"01/07/2022","21.5631","21.9075","21.9201","21.7327","1.07K","-0.54%"
"01/06/2022","21.6794","21.8746","21.9318","21.8286","1.05K","0.11%"
"01/05/2022","21.6545","21.9337","22.0108","21.7610","1.09K","-0.21%"
"01/04/2022","21.7006","21.9066","22.0647","21.7415","1.10K","0.07%"
"01/03/2022","21.6852","21.7659","22.0330","21.6983","0.63K","0.68%"
"12/31/2021","21.5384","21.8563","21.8959","21.7053","1.02K","-0.41%"
"12/30/2021","21.6278","21.8081","22.0147","21.7259","0.53K","0.18%"
"12/29/2021","21.5897","21.8814","21.9878","21.4584","0.56K","-0.33%"
"12/28/2021","21.6622","21.8486","22.0753","21.8360","1.09K","0.16%"
"12/27/2021","21.6278","21.8562","22.0349","21.7807","0.61K","-0.06%"
"12/24/2021","21.6411","21.8447","21.9859","21.8177","0.88K","0.06%"
"12/23/2021","21.6278","21.8486","22.0474","21.4777","0.54K","0.00%"
"12/22/2021","21.6278","21.9386","22.1225","21.8235","0.54K","-0.38%"
"12/21/2021","21.7102","21.9473","21.9698","21.9318","0.16K","-0.07%"
"12/20/2021","21.7256","22.0127","22.1005","21.4938","0.50K","-0.35%"
"12/17/2021","21.8010","21.8370","22.0525","21.8081","1.16K","0.84%"
"12/16/2021","21.6201","21.9162","22.0330","21.7493","0.98K","-0.32%"
"12/15/2021","21.6890","21.9804","22.2122","21.7493","1.06K","-0.32%"
"12/14/2021","21.7584","21.9308","22.1831","21.5217","0.75K","0.27%"
"12/13/2021","21.7006","21.8707","22.0504","21.4571","0.51K","0.27%"
"12/10/2021","21.6431","21.9201","22.0475","21.4560","0.53K","-0.22%"
"12/09/2021","21.6910","21.8158","22.1340","21.8129","0.81K","0.43%"
"12/08/2021","21.5973","21.9658","22.0715","21.4879","1.09K","-0.66%"
"12/07/2021","21.7410","21.9318","22.2063","21.5063","1.00K","0.16%"
"12/06/2021","21.7063","21.8920","22.1796","21.5063","0.72K","0.22%"
"12/03/2021","21.6584","21.9007","21.9705","21.4969","1.08K","-0.08%"
"12/02/2021","21.6756","21.8629","22.0936","21.4430","1.09K","0.16%"
"12/01/2021","21.6411","21.8283","22.0878","21.4733","1.08K","0.18%"
"11/30/2021","21.6030","21.9172","22.0755","21.7458","0.72K","-0.41%"
"11/29/2021","21.6929","21.9182","22.1782","21.5373","0.53K","0.24%"
"11/26/2021","21.6411","22.0805","22.0864","21.4702","1.06K","-0.98%"
"11/25/2021","21.8554","22.1022","22.1022","22.0392","1.10K","-0.07%"
"11/24/2021","21.8710","22.0049","22.2972","21.9941","0.72K","0.44%"
"11/23/2021","21.7758","22.0254","22.0451","21.7068","0.67K","-0.13%"
"11/22/2021","21.8049","21.9551","22.1804","21.4674","0.50K","0.41%"
"11/19/2021","21.7160","21.7707","21.9951","21.5650","1.00K","0.82%"
"11/18/2021","21.5403","21.8630","22.0254","21.4271","0.99K","-0.47%"
"11/17/2021","21.6431","21.8649","21.9541","21.3019","1.00K","0.00%"
"11/16/2021","21.6431","21.7678","22.0783","21.3019","0.78K","0.43%"
"11/15/2021","21.5498","21.6120","21.9585","21.4066","1.26K","0.68%"
"11/12/2021","21.4048","21.6082","21.6432","21.2094","0.95K","0.04%"
"11/11/2021","21.3973","21.5611","21.6298","21.5442","1.08K","0.25%"
"11/10/2021","21.3433","21.3500","21.6225","21.2094","1.10K","1.01%"
"11/09/2021","21.1297","21.3565","21.4609","21.1834","0.70K","-0.06%"
"11/08/2021","21.1425","21.3971","21.4783","21.1978","1.13K","-0.16%"
"11/05/2021","21.1772","21.4239","21.5874","21.2487","0.55K","-0.10%"
"11/04/2021","21.1992","21.3123","21.5726","21.2482","0.54K","0.48%"
