"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","2.9050","2.9116","2.9365","2.8970","","-0.64%"
"03/01/2022","2.9236","2.8947","2.9299","2.8820","","0.57%"
"02/28/2022","2.9069","2.9040","2.9169","2.8733","","0.10%"
"02/25/2022","2.9040","2.9092","2.9142","2.8739","","0.17%"
"02/24/2022","2.8992","2.8785","2.9248","2.8571","","0.41%"
"02/23/2022","2.8874","2.8785","2.8913","2.8600","","0.41%"
"02/22/2022","2.8757","2.8777","2.8967","2.8609","","-0.10%"
"02/21/2022","2.8786","2.8647","2.8917","2.8599","","-0.27%"
"02/18/2022","2.8863","2.8695","2.8921","2.8581","","0.59%"
"02/17/2022","2.8695","2.8720","2.8860","2.8545","","-0.09%"
"02/16/2022","2.8720","2.8792","2.8848","2.8542","","-0.25%"
"02/15/2022","2.8792","2.8800","2.8965","2.8623","","-0.03%"
"02/14/2022","2.8800","2.8542","2.8957","2.8542","","-0.11%"
"02/11/2022","2.8832","2.8580","2.8870","2.8542","","0.47%"
"02/10/2022","2.8697","2.8584","2.8820","2.8282","","-0.01%"
"02/09/2022","2.8699","2.8768","2.8820","2.8353","","0.35%"
"02/08/2022","2.8598","2.8532","2.8804","2.8467","","0.22%"
"02/07/2022","2.8536","2.8595","2.8800","2.8437","","-0.31%"
"02/04/2022","2.8626","2.8521","2.8820","2.8396","","0.36%"
"02/03/2022","2.8523","2.8706","2.9084","2.8451","","-0.65%"
"02/02/2022","2.8709","2.8766","2.9023","2.8651","","-0.19%"
"02/01/2022","2.8764","2.8953","2.9109","2.8752","","-0.24%"
"01/31/2022","2.8833","2.9028","2.9240","2.8703","","-0.91%"
"01/28/2022","2.9099","2.9333","2.9373","2.8734","","-0.80%"
"01/27/2022","2.9334","2.8823","2.9360","2.8650","","1.47%"
"01/26/2022","2.8909","2.8800","2.9105","2.8717","","0.06%"
"01/25/2022","2.8891","2.9006","2.9118","2.8650","","-0.41%"
"01/24/2022","2.9010","2.8836","2.9076","2.8700","","0.99%"
"01/21/2022","2.8726","2.8705","2.9036","2.8600","","0.07%"
"01/20/2022","2.8705","2.8727","2.9040","2.8600","","-0.94%"
"01/19/2022","2.8976","2.8698","2.8989","2.8600","","0.94%"
"01/18/2022","2.8706","2.8746","2.8927","2.8534","","-0.17%"
"01/17/2022","2.8755","2.8705","2.8820","2.8600","","-0.31%"
"01/14/2022","2.8845","2.8577","2.8880","2.8400","","1.31%"
"01/13/2022","2.8471","2.8725","2.8820","2.8429","","-1.17%"
"01/12/2022","2.8808","2.8947","2.8970","2.8478","","-0.47%"
"01/11/2022","2.8944","2.9020","2.9035","2.8583","","-0.24%"
"01/10/2022","2.9013","2.8764","2.9044","2.8657","","1.32%"
"01/07/2022","2.8635","2.8751","2.8990","2.8628","","-0.38%"
"01/06/2022","2.8744","2.8719","2.9063","2.8650","","0.09%"
"01/05/2022","2.8719","2.8765","2.9000","2.8638","","-0.17%"
"01/04/2022","2.8767","2.8728","2.9000","2.8689","","0.14%"
"01/03/2022","2.8728","2.8745","2.9094","2.8608","","0.09%"
"12/31/2021","2.8701","2.8717","2.9000","2.8625","","-0.06%"
"12/30/2021","2.8717","2.8676","2.9000","2.8612","","0.14%"
"12/29/2021","2.8678","2.8705","2.9000","2.8597","","-0.10%"
"12/28/2021","2.8707","2.8670","2.8980","2.8661","","0.13%"
"12/27/2021","2.8670","2.8815","2.8900","2.8665","","-0.11%"
"12/24/2021","2.8702","2.8820","2.8900","2.8653","","0.06%"
"12/23/2021","2.8684","2.8852","2.9064","2.8675","","-0.35%"
"12/22/2021","2.8785","2.8770","2.9000","2.8668","","0.05%"
"12/21/2021","2.8770","2.8770","2.9000","2.8720","","0.01%"
"12/20/2021","2.8768","2.8820","2.9050","2.8726","","0.63%"
"12/17/2021","2.8587","2.8682","2.8820","2.8390","","-0.36%"
"12/16/2021","2.8689","2.8802","2.9062","2.8412","","-0.39%"
"12/15/2021","2.8802","2.8843","2.9000","2.8730","","-0.14%"
"12/14/2021","2.8843","2.8770","2.9134","2.8689","","0.25%"
"12/13/2021","2.8770","2.8820","2.9000","2.8730","","0.20%"
"12/10/2021","2.8714","2.8756","2.8902","2.8702","","-0.15%"
"12/09/2021","2.8756","2.8638","2.9070","2.8636","","0.41%"
"12/08/2021","2.8638","2.8900","2.8986","2.8619","","-0.56%"
"12/07/2021","2.8799","2.8765","2.9103","2.8737","","0.11%"
"12/06/2021","2.8767","2.8785","2.9050","2.8725","","-0.09%"
"12/03/2021","2.8793","2.8762","2.9000","2.8689","","0.12%"
"12/02/2021","2.8758","2.8699","2.8950","2.8394","","0.21%"
"12/01/2021","2.8697","2.8666","2.8950","2.8342","","-0.28%"
"11/30/2021","2.8779","2.8860","2.9000","2.8400","","0.11%"
"11/29/2021","2.8747","2.8931","2.9000","2.8512","","-0.19%"
"11/26/2021","2.8803","2.8921","2.9150","2.8773","","-0.41%"
"11/25/2021","2.8921","2.8939","2.9150","2.8800","","-0.05%"
"11/24/2021","2.8935","2.8853","2.9150","2.8700","","0.30%"
"11/23/2021","2.8848","2.8585","2.8966","2.8530","","0.90%"
"11/22/2021","2.8592","2.8685","2.8855","2.8497","","0.32%"
"11/19/2021","2.8501","2.8591","2.8900","2.8344","","-0.29%"
"11/18/2021","2.8585","2.8686","2.8827","2.8342","","-0.35%"
"11/17/2021","2.8686","2.8696","2.8880","2.8395","","-0.05%"
"11/16/2021","2.8699","2.8595","2.8801","2.8305","","1.21%"
"11/15/2021","2.8357","2.8388","2.8708","2.8200","","0.49%"
"11/12/2021","2.8219","2.8524","2.8601","2.8195","","-1.10%"
"11/11/2021","2.8532","2.8158","2.8620","2.8142","","1.32%"
