"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","2,315.00","2,320.00","2,327.00","2,315.50","0.07K","0.00%"
"03/30/2022","2,315.00","2,321.00","2,322.00","2,316.00","0.04K","0.00%"
"03/29/2022","2,315.00","2,320.00","2,322.00","2,312.00","0.05K","0.00%"
"03/28/2022","2,315.00","2,320.00","2,321.00","2,313.00","0.05K","0.00%"
"03/25/2022","2,315.00","2,319.00","2,321.00","2,312.00","0.08K","0.00%"
"03/24/2022","2,315.00","2,318.00","2,321.00","2,316.00","0.05K","0.00%"
"03/23/2022","2,315.00","2,318.00","2,320.50","2,316.00","0.06K","0.00%"
"03/22/2022","2,315.00","2,316.00","2,320.00","2,310.00","0.06K","0.09%"
"03/21/2022","2,313.00","2,316.00","2,320.00","2,315.00","0.06K","0.00%"
"03/18/2022","2,313.00","2,316.00","2,318.00","2,312.50","0.03K","0.04%"
"03/17/2022","2,312.00","2,316.00","2,317.50","2,312.00","0.05K","0.00%"
"03/16/2022","2,312.00","2,316.00","2,317.00","2,315.00","0.04K","0.04%"
"03/15/2022","2,311.00","2,316.00","2,317.00","2,314.50","0.04K","0.00%"
"03/14/2022","2,311.00","2,316.00","2,316.00","2,310.00","0.05K","0.00%"
"03/11/2022","2,311.00","2,315.00","2,316.50","2,311.50","0.03K","0.00%"
"03/10/2022","2,311.00","2,316.00","2,316.00","2,314.00","0.02K","0.04%"
"03/09/2022","2,310.00","2,315.00","2,316.00","2,313.00","0.02K","-0.04%"
"03/08/2022","2,311.00","2,315.00","2,316.00","2,312.00","0.03K","0.00%"
"03/07/2022","2,311.00","2,315.00","2,316.50","2,315.00","0.02K","0.00%"
"03/04/2022","2,311.00","2,315.00","2,316.00","2,313.00","0.02K","0.00%"
"03/03/2022","2,311.00","2,315.00","2,316.00","2,314.50","0.02K","0.00%"
"03/02/2022","2,311.00","2,309.00","2,316.00","2,314.00","0.02K","0.04%"
"03/01/2022","2,310.00","2,315.00","2,316.00","2,313.00","0.03K","0.00%"
"02/28/2022","2,310.00","2,313.00","2,316.00","2,312.00","0.05K","0.00%"
"02/25/2022","2,310.00","2,314.00","2,316.00","2,313.00","0.03K","0.00%"
"02/24/2022","2,310.00","2,315.00","2,316.00","2,313.50","0.03K","0.04%"
"02/23/2022","2,309.00","2,314.00","2,316.00","2,312.50","0.03K","0.00%"
"02/22/2022","2,309.00","2,313.00","2,314.00","2,313.00","0.03K","0.00%"
"02/21/2022","2,309.00","2,313.00","2,315.00","2,312.00","0.02K","-0.04%"
"02/18/2022","2,310.00","2,313.00","2,315.00","2,313.00","0.03K","0.00%"
"02/17/2022","2,310.00","2,314.00","2,315.00","2,312.00","0.04K","0.00%"
"02/16/2022","2,310.00","2,313.50","2,318.00","2,308.00","0.07K","0.13%"
"02/15/2022","2,307.00","2,312.00","2,314.00","2,311.50","0.04K","-0.09%"
"02/14/2022","2,309.00","2,312.00","2,314.50","2,309.50","0.03K","0.00%"
"02/11/2022","2,309.00","2,312.00","2,314.00","2,310.00","0.04K","0.00%"
"02/10/2022","2,309.00","2,312.00","2,314.00","2,310.00","0.03K","0.00%"
"02/09/2022","2,309.00","2,312.00","2,316.00","2,307.00","0.04K","0.04%"
"02/08/2022","2,308.00","2,312.00","2,313.00","2,307.00","0.03K","0.00%"
"02/07/2022","2,308.00","2,312.00","2,313.00","2,307.00","0.04K","0.00%"
"02/04/2022","2,308.00","2,310.00","2,313.00","2,306.50","0.04K","0.00%"
"02/03/2022","2,308.00","2,310.00","2,319.00","2,310.00","0.03K","0.04%"
"02/02/2022","2,307.00","2,312.00","2,319.00","2,309.50","0.08K","0.00%"
"02/01/2022","2,307.00","2,309.00","2,312.00","2,307.00","0.06K","0.04%"
"01/31/2022","2,306.00","2,310.00","2,313.00","2,307.00","0.03K","0.04%"
"01/28/2022","2,305.00","2,310.00","2,313.00","2,307.00","0.02K","0.00%"
"01/27/2022","2,305.00","2,311.00","2,311.00","2,308.00","0.03K","0.00%"
"01/26/2022","2,305.00","2,309.50","2,311.00","2,308.00","0.04K","0.00%"
"01/25/2022","2,305.00","2,310.00","2,311.00","2,308.00","0.03K","0.00%"
"01/24/2022","2,305.00","2,310.00","2,310.00","2,304.00","0.06K","0.00%"
"01/21/2022","2,305.00","2,310.00","2,310.50","2,308.00","0.02K","0.00%"
"01/20/2022","2,305.00","2,300.00","2,310.00","2,300.00","0.12K","0.04%"
"01/19/2022","2,304.00","2,300.00","2,309.50","2,300.00","0.04K","0.04%"
"01/18/2022","2,303.00","2,300.00","2,308.00","2,300.00","0.02K","0.00%"
"01/17/2022","2,303.00","2,300.00","2,308.50","2,300.00","0.02K","0.04%"
"01/14/2022","2,302.00","2,300.00","2,308.50","2,300.00","0.04K","0.00%"
"01/13/2022","2,302.00","2,300.00","2,308.00","2,300.00","0.03K","0.00%"
"01/12/2022","2,302.00","2,300.00","2,307.00","2,300.00","0.00K","0.00%"
"01/11/2022","2,302.00","2,300.00","2,308.50","2,300.00","0.02K","0.00%"
"01/10/2022","2,302.00","2,300.00","2,308.50","2,300.00","0.04K","-0.04%"
"01/07/2022","2,303.00","2,300.00","2,308.00","2,300.00","0.03K","0.04%"
"01/06/2022","2,302.00","2,300.00","2,308.00","2,300.00","0.03K","0.00%"
"01/05/2022","2,302.00","2,300.00","2,307.00","2,300.00","0.04K","0.00%"
"01/04/2022","2,302.00","2,300.00","2,309.00","2,300.00","0.05K","0.04%"
"01/03/2022","2,301.00","2,300.00","2,307.00","2,300.00","0.02K","0.00%"
"12/31/2021","2,301.00","2,300.00","2,306.00","2,300.00","0.03K","0.00%"
"12/30/2021","2,301.00","2,300.00","2,307.00","2,300.00","0.02K","0.00%"
"12/29/2021","2,301.00","2,300.00","2,306.00","2,300.00","0.01K","0.04%"
"12/28/2021","2,300.00","2,300.00","2,307.00","2,300.00","0.02K","0.00%"
"12/27/2021","2,300.00","2,300.00","2,307.00","2,300.00","0.05K","-0.04%"
"12/24/2021","2,301.00","2,300.00","2,307.00","2,300.00","0.02K","0.00%"
"12/23/2021","2,301.00","2,300.00","2,310.00","2,300.00","0.03K","0.00%"
"12/22/2021","2,301.00","2,300.00","2,310.00","2,300.00","0.04K","0.04%"
"12/21/2021","2,300.00","2,300.00","2,307.00","2,300.00","0.03K","0.00%"
"12/20/2021","2,300.00","2,300.00","2,306.50","2,300.00","0.03K","0.00%"
"12/17/2021","2,300.00","2,300.00","2,308.50","2,300.00","0.05K","0.00%"
"12/16/2021","2,300.00","2,300.00","2,305.00","2,300.00","0.04K","0.00%"
"12/15/2021","2,300.00","2,300.00","2,307.50","2,300.00","0.04K","0.00%"
"12/14/2021","2,300.00","2,300.00","2,307.50","2,300.00","0.04K","0.00%"
"12/13/2021","2,300.00","2,300.00","2,306.00","2,300.00","0.05K","0.09%"
