"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2022","602.820","594.430","595.840","588.830","","-0.44%"
"03/16/2022","605.485","598.360","598.940","593.260","","-0.09%"
"03/15/2022","606.005","599.430","600.030","593.260","","1.08%"
"03/14/2022","599.540","592.000","599.810","592.000","","-1.44%"
"03/11/2022","608.330","593.950","601.630","591.000","","2.93%"
"03/10/2022","591.000","592.180","598.000","590.530","","-2.53%"
"03/09/2022","606.355","601.630","602.290","591.060","","-0.53%"
"03/08/2022","609.585","603.900","604.570","592.000","","0.89%"
"03/07/2022","604.230","589.000","606.920","589.000","","-0.09%"
"03/04/2022","604.750","592.660","602.460","588.000","","1.12%"
"03/03/2022","598.070","589.730","594.430","585.000","","0.50%"
"03/02/2022","595.090","589.470","593.140","582.000","","-0.13%"
"03/01/2022","595.885","584.740","591.430","581.000","","0.40%"
"02/28/2022","593.520","578.000","587.510","578.000","","2.69%"
"02/25/2022","578.000","586.040","587.410","575.000","","-1.36%"
"02/24/2022","585.940","580.030","590.530","575.000","","-0.14%"
"02/23/2022","586.780","579.060","580.390","575.000","","0.16%"
"02/22/2022","585.850","579.880","581.060","574.000","","-0.18%"
"02/21/2022","586.905","575.590","580.130","573.710","","2.25%"
"02/18/2022","574.000","577.220","578.450","573.980","","-2.12%"
"02/17/2022","586.430","576.610","579.260","574.000","","0.03%"
"02/16/2022","586.260","577.430","578.140","573.650","","0.25%"
"02/15/2022","584.770","580.030","580.340","572.000","","-0.10%"
"02/14/2022","585.360","575.440","581.420","572.000","","2.16%"
"02/11/2022","573.000","573.990","576.870","572.790","","-1.55%"
"02/10/2022","582.020","574.090","576.060","570.550","","-0.01%"
"02/09/2022","582.095","574.030","574.440","572.010","","0.08%"
"02/08/2022","581.645","573.190","575.550","570.730","","-0.70%"
"02/07/2022","585.725","571.720","574.590","569.920","","0.22%"
"02/04/2022","584.445","573.340","578.000","569.570","","-0.81%"
"02/03/2022","589.245","580.130","582.090","572.740","","-0.58%"
"02/02/2022","592.690","581.880","582.940","578.780","","-0.29%"
"02/01/2022","594.385","583.750","584.530","580.000","","-0.02%"
"01/31/2022","594.500","587.820","588.460","579.050","","0.24%"
"01/28/2022","593.105","588.410","589.730","578.000","","0.79%"
"01/27/2022","588.460","583.490","589.200","578.000","","-0.33%"
"01/26/2022","590.395","580.390","583.800","577.000","","0.39%"
"01/25/2022","588.110","578.900","582.350","577.000","","0.13%"
"01/24/2022","587.325","578.530","580.960","574.750","","0.40%"
"01/21/2022","584.985","579.040","579.160","575.020","","-0.04%"
"01/20/2022","585.245","578.240","578.850","574.650","","0.03%"
"01/19/2022","585.085","579.110","579.470","573.670","","0.10%"
"01/18/2022","584.515","574.850","579.670","571.600","","0.03%"
"01/17/2022","584.360","573.240","575.750","570.170","","-0.14%"
"01/14/2022","585.180","572.590","574.140","568.820","","0.12%"
"01/13/2022","584.455","575.000","576.450","570.000","","1.64%"
"01/12/2022","575.000","577.020","577.630","573.690","","-2.11%"
"01/11/2022","587.390","579.060","579.770","575.000","","-0.10%"
"01/10/2022","588.005","577.680","581.210","575.970","","0.11%"
"01/07/2022","587.340","580.750","580.960","576.000","","-0.40%"
"01/06/2022","589.690","579.670","581.210","576.000","","0.39%"
"01/05/2022","587.415","581.210","581.630","575.000","","-0.33%"
"01/04/2022","589.355","575.000","581.830","575.000","","2.50%"
"01/03/2022","575.000","576.000","577.720","575.000","","-2.07%"
"12/31/2021","587.160","579.110","580.290","576.000","","-0.23%"
"12/30/2021","588.530","577.830","580.490","575.800","","0.12%"
"12/29/2021","587.840","578.200","581.830","576.000","","2.06%"
"12/28/2021","576.000","578.550","578.690","576.000","","-0.30%"
"12/27/2021","577.710","579.140","579.420","576.550","","-1.86%"
"12/24/2021","588.630","578.960","580.290","578.140","","0.04%"
"12/23/2021","588.400","579.160","580.960","575.710","","-0.02%"
"12/22/2021","588.505","580.520","582.040","578.000","","1.48%"
"12/21/2021","579.950","580.810","580.810","577.750","","-0.04%"
"12/20/2021","580.200","583.460","583.590","577.090","","-1.70%"
"12/17/2021","590.215","578.650","583.800","574.910","","0.39%"
