"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","587.990","599.510","603.170","584.500","1.53K","-1.79%"
"03/01/2022","598.680","586.750","601.515","584.000","9.72K","2.65%"
"02/28/2022","583.250","585.250","595.365","584.875","0.34K","0.26%"
"02/25/2022","581.750","583.750","591.680","577.500","0.17K","0.26%"
"02/24/2022","580.250","578.500","592.395","578.500","0.26K","0.91%"
"02/23/2022","575.000","580.500","583.065","578.000","0.14K","-0.35%"
"02/22/2022","577.000","576.950","584.285","576.900","0.13K","0.62%"
"02/21/2022","573.450","576.950","582.015","576.725","0.19K","0.00%"
"02/18/2022","573.450","577.250","582.015","575.500","0.56K","-0.05%"
"02/17/2022","573.750","576.750","582.225","576.000","0.14K","0.09%"
"02/16/2022","573.250","579.250","585.270","576.125","0.58K","-0.43%"
"02/15/2022","575.750","576.180","583.760","575.340","0.24K","0.54%"
"02/14/2022","572.680","576.250","584.800","575.000","0.09K","-0.06%"
"02/11/2022","573.000","573.980","580.310","573.725","0.04K","0.44%"
"02/10/2022","570.480","575.000","578.525","573.500","0.14K","-0.18%"
"02/09/2022","571.500","575.250","581.885","573.500","2.17K","-0.09%"
"02/08/2022","572.000","572.500","579.870","572.500","0.09K","0.25%"
"02/07/2022","570.600","572.500","581.835","572.000","0.95K","-1.70%"
"02/04/2022","580.490","582.130","583.585","572.000","1.22K","-0.07%"
"02/03/2022","580.890","583.500","590.420","579.995","0.37K","-1.17%"
"02/02/2022","587.780","583.500","591.230","579.500","0.81K","1.34%"
"02/01/2022","580.000","587.750","587.750","583.000","0.02K","-0.73%"
"01/31/2022","584.250","589.250","594.190","586.440","7.83K","-0.26%"
"01/28/2022","585.750","584.950","597.125","584.950","0.74K","0.74%"
"01/27/2022","581.450","581.000","585.260","580.355","0.03K","0.68%"
"01/26/2022","577.500","579.750","587.785","579.600","0.03K","0.22%"
"01/25/2022","576.250","579.000","589.630","578.750","0.50K","0.13%"
"01/24/2022","575.500","578.750","586.665","578.625","1.38K","0.04%"
