"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","0.057","0.057","0.057","0.057","","0.00%"
"04/06/2022","0.057","0.057","0.058","0.057","","5.55%"
"04/05/2022","0.054","0.054","0.054","0.054","","0.00%"
"04/04/2022","0.054","0.054","0.054","0.054","","0.00%"
"04/01/2022","0.054","0.054","0.054","0.054","","0.00%"
"03/31/2022","0.054","0.054","0.054","0.054","","0.00%"
"03/30/2022","0.054","0.055","0.055","0.055","","0.00%"
"03/29/2022","0.054","0.054","0.054","0.054","","0.00%"
"03/28/2022","0.054","0.054","0.054","0.054","","0.00%"
"03/25/2022","0.054","0.054","0.054","0.054","","0.00%"
"03/24/2022","0.054","0.054","0.054","0.054","","0.00%"
"03/23/2022","0.054","0.054","0.055","0.054","","3.07%"
"03/22/2022","0.052","0.052","0.052","0.052","","0.00%"
"03/21/2022","0.052","0.052","0.052","0.052","","0.00%"
"03/18/2022","0.052","0.052","0.052","0.052","","0.00%"
"03/17/2022","0.052","0.052","0.052","0.052","","0.00%"
"03/16/2022","0.052","0.052","0.054","0.052","","3.02%"
"03/15/2022","0.051","0.051","0.051","0.051","","0.00%"
"03/14/2022","0.051","0.051","0.051","0.051","","0.00%"
"03/11/2022","0.051","0.051","0.051","0.051","","0.00%"
"03/10/2022","0.051","0.051","0.051","0.051","","0.00%"
"03/09/2022","0.051","0.051","0.052","0.051","","2.09%"
"03/08/2022","0.050","0.050","0.050","0.050","","0.00%"
"03/07/2022","0.050","0.050","0.050","0.050","","0.00%"
"03/04/2022","0.050","0.050","0.050","0.050","","0.00%"
"03/03/2022","0.050","0.050","0.050","0.050","","0.00%"
"03/02/2022","0.050","0.050","0.050","0.050","","2.80%"
"03/01/2022","0.048","0.048","0.048","0.048","","0.00%"
"02/28/2022","0.048","0.048","0.048","0.048","","0.00%"
"02/25/2022","0.048","0.048","0.048","0.048","","0.00%"
"02/24/2022","0.048","0.048","0.048","0.048","","0.00%"
"02/23/2022","0.048","0.047","0.050","0.048","","2.90%"
"02/22/2022","0.047","0.047","0.047","0.047","","0.00%"
"02/21/2022","0.047","0.047","0.047","0.047","","0.00%"
"02/18/2022","0.047","0.047","0.047","0.047","","0.00%"
"02/17/2022","0.047","0.047","0.047","0.047","","0.00%"
"02/16/2022","0.047","0.048","0.048","0.048","","3.32%"
"02/15/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/14/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/11/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/10/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/09/2022","0.046","0.047","0.047","0.047","","0.00%"
"02/08/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/07/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/04/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/03/2022","0.046","0.046","0.046","0.046","","0.00%"
"02/02/2022","0.046","0.046","0.047","0.046","","0.00%"
"02/01/2022","0.045","0.045","0.045","0.045","","0.00%"
"01/31/2022","0.045","0.045","0.045","0.045","","0.00%"
"01/28/2022","0.045","0.045","0.045","0.045","","0.00%"
"01/27/2022","0.045","0.045","0.045","0.045","","0.00%"
"01/26/2022","0.045","0.046","0.046","0.046","","2.31%"
"01/25/2022","0.044","0.044","0.044","0.044","","0.00%"
"01/24/2022","0.044","0.044","0.044","0.044","","0.00%"
"01/21/2022","0.044","0.044","0.044","0.044","","0.00%"
"01/20/2022","0.044","0.044","0.044","0.044","","0.00%"
"01/19/2022","0.044","0.045","0.045","0.045","","3.83%"
"01/18/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/17/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/14/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/13/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/12/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/11/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/10/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/07/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/06/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/05/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/04/2022","0.042","0.042","0.042","0.042","","0.00%"
"01/03/2022","0.042","0.042","0.042","0.042","","0.00%"
"12/31/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/30/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/29/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/28/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/27/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/24/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/23/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/22/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/21/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/20/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/17/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/16/2021","0.042","0.043","0.043","0.043","","0.00%"
"12/15/2021","0.042","0.042","0.043","0.043","","0.00%"
"12/14/2021","0.042","0.042","0.042","0.042","","0.00%"
"12/13/2021","0.042","0.042","0.042","0.042","","0.00%"
